"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  25944849203584, 3.27679090928269688e+04, 0.00000000000000000e+00, 6238552700266, 3.27679090928106234e+04, 4.49301246481511134e+03, 20473354977, 3.27679090928269688e+04, 0.00000000000000000e+00, 183069057409, 3.27679090928269688e+04, 0.00000000000000000e+00, 92621315799, 3.27679090928269652e+04, 1.00000277427445172e+00, 87407485354, 3.27679090928269688e+04, 0.00000000000000000e+00, 38653748305, 3.27679090928269725e+04, 1.00000277427445172e+00, 20389548166, 3.27679090928269688e+04, 0.00000000000000000e+00, 10736479917, 3.27679090927525140e+04, 2.04660567783009283e+04, 211161361290
 2, 153077598009512, 3.27678556563555139e+04, 0.00000000000000000e+00, 6230573301424, 3.27678556563305174e+04, 6.87103026701507952e+03, 20473046043, 3.27678556563555139e+04, 0.00000000000000000e+00, 183084345758, 3.27678556563555103e+04, 1.00000440503785182e+00, 92623050687, 3.27678556563555176e+04, 1.00000440503785182e+00, 87450101181, 3.27678556563555139e+04, 0.00000000000000000e+00, 38706008398, 3.27678556563555139e+04, 0.00000000000000000e+00, 20446804464, 3.27678556563555139e+04, 0.00000000000000000e+00, 10777693875, 3.27678556562874073e+04, 1.87210824667136221e+04, 211171801034
 3,  39162661063339, 3.27677448856611336e+04, 0.00000000000000000e+00, 6230807747612, 3.27677448856413212e+04, 5.44604240000934806e+03, 20478946648, 3.27677448856611336e+04, 0.00000000000000000e+00, 182994622595, 3.27677448856611336e+04, 0.00000000000000000e+00, 92617940699, 3.27677448856611372e+04, 1.00000778553238123e+00, 87348834534, 3.27677448856611336e+04, 0.00000000000000000e+00, 38657116459, 3.27677448856611372e+04, 1.00000778553238123e+00, 20429699107, 3.27677448856611372e+04, 1.00000778553238123e+00, 10776311640, 3.27677448855828152e+04, 2.15281676069411042e+04, 211359264705
 4, 193905104641114, 3.27673015321162638e+04, 0.00000000000000000e+00, 6232465203933, 3.27673015320991217e+04, 4.71210044100411960e+03, 20542442915, 3.27673015321162638e+04, 0.00000000000000000e+00, 183250319730, 3.27673015321162638e+04, 0.00000000000000000e+00, 92778920201, 3.27673015321162638e+04, 0.00000000000000000e+00, 87574022960, 3.27673015321162638e+04, 0.00000000000000000e+00, 38752759791, 3.27673015321162602e+04, 1.00002131600257194e+00, 20428644851, 3.27673015321162602e+04, 1.00002131600257194e+00, 10817367232, 3.27673015320684754e+04, 1.31362800070097855e+04, 211496450945
 5, 125289815541128, 3.27672554105626004e+04, 0.00000000000000000e+00, 6240130772366, 3.27672554105285817e+04, 9.35121248822160669e+03, 20469940586, 3.27672554105625968e+04, 1.00002272358267641e+00, 182944998383, 3.27672554105626041e+04, 1.00002272358267641e+00, 92612165805, 3.27672554105626077e+04, 2.00004544716535282e+00, 87373150403, 3.27672554105626041e+04, 1.00002272358267641e+00, 38668703555, 3.27672554105626041e+04, 1.00002272358267641e+00, 20430626209, 3.27672554105625968e+04, 1.00002272358267641e+00, 10761714129, 3.27672554105231502e+04, 1.08442464145305421e+04, 211194256564
 6, 271689591534628, 3.27688923957255247e+04, 0.00000000000000000e+00, 6230612114403, 3.27688923957051302e+04, 5.60584733172006963e+03, 20467775774, 3.27688923957255247e+04, 0.00000000000000000e+00, 182892617381, 3.27688923957255174e+04, 1.99994553397077035e+00, 92575624885, 3.27688923957255174e+04, 1.99994553397077035e+00, 87356430256, 3.27688923957255247e+04, 0.00000000000000000e+00, 38663188881, 3.27688923957255247e+04, 0.00000000000000000e+00, 20425395001, 3.27688923957255174e+04, 1.99994553397077035e+00, 10793110940, 3.27688923956956351e+04, 8.21577625355192504e+03, 211167561006
 7, 149243941829742, 3.27683901135785418e+04, 0.00000000000000000e+00, 6231570863171, 3.27683901135361230e+04, 1.16598611856026491e+04, 20457020922, 3.27683901135785418e+04, 0.00000000000000000e+00, 183043427774, 3.27683901135785418e+04, 0.00000000000000000e+00, 92651130244, 3.27683901135785418e+04, 0.00000000000000000e+00, 87362501054, 3.27683901135785418e+04, 0.00000000000000000e+00, 38656014152, 3.27683901135785345e+04, 1.99997618964024837e+00, 20407506053, 3.27683901135785418e+04, 0.00000000000000000e+00, 10749817748, 3.27683901135498891e+04, 7.87590623480329850e+03, 211133114306
 8, 153477789009873, 3.27682913147138970e+04, 0.00000000000000000e+00, 6230758370011, 3.27682913146943029e+04, 5.38595211770324022e+03, 20485191790, 3.27682913147138970e+04, 0.00000000000000000e+00, 182969448302, 3.27682913147138970e+04, 0.00000000000000000e+00, 92591201700, 3.27682913147138970e+04, 0.00000000000000000e+00, 87369308665, 3.27682913147138970e+04, 0.00000000000000000e+00, 38681391824, 3.27682913147138970e+04, 0.00000000000000000e+00, 20439505117, 3.27682913147138970e+04, 0.00000000000000000e+00, 10796751353, 3.27682913146868232e+04, 7.44193383957436163e+03, 211203259348
 9, 102464862945811, 3.27685603764021507e+04, 0.00000000000000000e+00, 6242214876145, 3.27685603763830877e+04, 5.23991039055992860e+03, 20478792812, 3.27685603764021507e+04, 0.00000000000000000e+00, 182921685592, 3.27685603764021507e+04, 0.00000000000000000e+00, 92590229874, 3.27685603764021507e+04, 0.00000000000000000e+00, 87361444463, 3.27685603764021507e+04, 0.00000000000000000e+00, 38747005103, 3.27685603764021507e+04, 0.00000000000000000e+00, 20323882105, 3.27685603764021507e+04, 0.00000000000000000e+00, 10773887198, 3.27685603763054532e+04, 2.65795454544051354e+04, 211287338448
10, 264156136387528, 3.27671645802607491e+04, 0.00000000000000000e+00, 6239067430174, 3.27671645802444727e+04, 4.47411406748070203e+03, 20464492497, 3.27671645802607491e+04, 0.00000000000000000e+00, 182910450681, 3.27671645802607491e+04, 0.00000000000000000e+00, 92637391797, 3.27671645802607527e+04, 1.00002549563717080e+00, 87381110547, 3.27671645802607454e+04, 1.00002549563717080e+00, 38665818186, 3.27671645802607491e+04, 0.00000000000000000e+00, 20243847029, 3.27671645802607491e+04, 0.00000000000000000e+00, 10787567270, 3.27671645802678613e+04, 1.95504984397066869e+03, 211180343634
