"p=1/2", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 7.79346178063822976e+17, 760440992736, 7.79346178063822976e+17, 0.00000000000000000e+00,   9465244936, 7.79346178063822976e+17, 0.00000000000000000e+00,   5694422938, 7.79346178063822848e+17, 1.47934452886022982e+00,   2802292029, 7.79346178063822848e+17, 1.47934452886022982e+00,   1280712482
 2, 7.79355480131602176e+17, 787069969560, 7.79355480131602176e+17, 0.00000000000000000e+00,   9467583090, 7.79355480131602176e+17, 0.00000000000000000e+00,   5693769898, 7.79355480131602048e+17, 1.47932687200988733e+00,   2803164385, 7.79355480131602176e+17, 0.00000000000000000e+00,   1279958600
 3, 7.79352330732995072e+17, 780318096434, 7.79352330732995200e+17, 1.47933285003780424e+00,   9464411179, 7.79352330732995200e+17, 1.47933285003780424e+00,   5694764798, 7.79352330732995072e+17, 0.00000000000000000e+00,   2801880538, 7.79352330732995328e+17, 2.95866570007560847e+00,   1280816883
 4, 7.79319424029422080e+17, 788659400538, 7.79319424029422208e+17, 1.47939531475519859e+00,   9465451273, 7.79319424029422208e+17, 1.47939531475519859e+00,   5694256332, 7.79319424029422336e+17, 2.95879062951039717e+00,   2799457900, 7.79319424029422208e+17, 1.47939531475519859e+00,   1276649904
 5, 7.79353694992181120e+17, 781280020069, 7.79353694992181120e+17, 0.00000000000000000e+00,   9463299291, 7.79353694992181120e+17, 0.00000000000000000e+00,   5694555735, 7.79353694992181120e+17, 0.00000000000000000e+00,   2802257779, 7.79353694992181120e+17, 0.00000000000000000e+00,   1281430611
 6, 7.79369229313004800e+17, 781699738134, 7.79369229313004800e+17, 0.00000000000000000e+00,   9469476765, 7.79369229313004416e+17, 4.43790232374116034e+00,   5694937477, 7.79369229313004928e+17, 1.47930077458038656e+00,   2802441524, 7.79369229313004800e+17, 0.00000000000000000e+00,   1280130076
 7, 7.79357152524543872e+17, 781695502285, 7.79357152524543872e+17, 0.00000000000000000e+00,   9461063433, 7.79357152524544128e+17, 2.95864739515696851e+00,   5695555615, 7.79357152524544000e+17, 1.47932369757848425e+00,   2802268305, 7.79357152524544000e+17, 1.47932369757848425e+00,   1282040901
 8, 7.79349841612347776e+17, 780997558126, 7.79349841612347904e+17, 1.47933757479393369e+00,   9465966012, 7.79349841612347904e+17, 1.47933757479393369e+00,   5695828726, 7.79349841612347648e+17, 1.47933757479393369e+00,   2803216014, 7.79349841612347648e+17, 1.47933757479393369e+00,   1280659860
 9, 7.79349027320475776e+17, 788864083459, 7.79349027320475648e+17, 1.47933912045899629e+00,   9473914359, 7.79349027320475776e+17, 0.00000000000000000e+00,   5694213063, 7.79349027320475904e+17, 1.47933912045899629e+00,   2801079297, 7.79349027320475776e+17, 0.00000000000000000e+00,   1281106953
10, 7.79331235835678848e+17, 782921768171, 7.79331235835678848e+17, 0.00000000000000000e+00,   9465556115, 7.79331235835678976e+17, 1.47937289254236859e+00,   5695104182, 7.79331235835678720e+17, 1.47937289254236859e+00,   2803595140, 7.79331235835678848e+17, 0.00000000000000000e+00,   1280003534
11, 7.79331064720617984e+17, 795087225912, 7.79331064720617984e+17, 0.00000000000000000e+00,   9468033250, 7.79331064720618112e+17, 1.47937321736322325e+00,   5696724205, 7.79331064720617984e+17, 0.00000000000000000e+00,   2803485227, 7.79331064720617856e+17, 1.47937321736322325e+00,   1281438268
12, 7.79337181939096960e+17, 780870900695, 7.79337181939096704e+17, 2.95872321076282141e+00,   9466083664, 7.79337181939096960e+17, 0.00000000000000000e+00,   5693295633, 7.79337181939096832e+17, 1.47936160538141070e+00,   2802032890, 7.79337181939096832e+17, 1.47936160538141070e+00,   1279720840
13, 7.79343139272433024e+17, 788682803387, 7.79343139272433152e+17, 1.47935029707603949e+00,   9468514462, 7.79343139272433152e+17, 1.47935029707603949e+00,   5694793083, 7.79343139272433152e+17, 1.47935029707603949e+00,   2803478691, 7.79343139272432896e+17, 1.47935029707603949e+00,   1280554637
14, 7.79348386001059456e+17, 789691053662, 7.79348386001059456e+17, 0.00000000000000000e+00,   9464979633, 7.79348386001059328e+17, 1.47934033779506624e+00,   5693891950, 7.79348386001059456e+17, 0.00000000000000000e+00,   2802101679, 7.79348386001059584e+17, 1.47934033779506624e+00,   1276621148
15, 7.79364591214984960e+17, 781923309983, 7.79364591214984960e+17, 0.00000000000000000e+00,   9467004472, 7.79364591214984960e+17, 0.00000000000000000e+00,   5695975375, 7.79364591214984960e+17, 0.00000000000000000e+00,   2802747401, 7.79364591214985088e+17, 1.47930957808784735e+00,   1280969826
16, 7.79354566258196864e+17, 779650121748, 7.79354566258196864e+17, 0.00000000000000000e+00,   9469319973, 7.79354566258196736e+17, 1.47932860667283106e+00,   5694801723, 7.79354566258197120e+17, 2.95865721334566212e+00,   2803039747, 7.79354566258196864e+17, 0.00000000000000000e+00,   1283029957
17, 7.79355070755506944e+17, 790069934280, 7.79355070755506944e+17, 0.00000000000000000e+00,   9465165974, 7.79355070755506944e+17, 0.00000000000000000e+00,   5695670671, 7.79355070755506944e+17, 0.00000000000000000e+00,   2799505730, 7.79355070755506816e+17, 1.47932764906399417e+00,   1277422910
18, 7.79338622673818496e+17, 789562448692, 7.79338622673818496e+17, 0.00000000000000000e+00,   9466516795, 7.79338622673818752e+17, 2.95871774107976293e+00,   5695443886, 7.79338622673818624e+17, 1.47935887053988147e+00,   2802054991, 7.79338622673818496e+17, 0.00000000000000000e+00,   1276595287
19, 7.79359738598305920e+17, 791747291388, 7.79359738598305920e+17, 0.00000000000000000e+00,   9467409849, 7.79359738598306048e+17, 1.47931878888226809e+00,   5696684754, 7.79359738598305920e+17, 0.00000000000000000e+00,   2803430510, 7.79359738598305920e+17, 0.00000000000000000e+00,   1279634992
