"p=1", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 8.56718051480071664e+08, 9446781281, 8.56718051480071783e+08, 1.25331994831321314e+00, 1224462429, 8.56718051480071783e+08, 1.25331994831321314e+00,  628622932, 8.56718051480071783e+08, 1.25331994831321314e+00,  333391291, 8.56718051480071783e+08, 1.25331994831321314e+00,  179391949
 2, 8.56722843679135680e+08, 9392706915, 8.56722843679135680e+08, 0.00000000000000000e+00, 1225082542, 8.56722843679135799e+08, 1.25331293769276853e+00,  628700873, 8.56722843679135680e+08, 0.00000000000000000e+00,  332729342, 8.56722843679135680e+08, 0.00000000000000000e+00,  176636281
 3, 8.56720036053702116e+08, 9424444635, 8.56720036053702116e+08, 0.00000000000000000e+00, 1224535247, 8.56720036053702235e+08, 1.25331704502437269e+00,  628831144, 8.56720036053702116e+08, 0.00000000000000000e+00,  333963503, 8.56720036053702116e+08, 0.00000000000000000e+00,  179958368
 4, 8.56697191150437117e+08, 9371769684, 8.56697191150437117e+08, 0.00000000000000000e+00, 1225179386, 8.56697191150437117e+08, 0.00000000000000000e+00,  628459666, 8.56697191150437117e+08, 0.00000000000000000e+00,  332198435, 8.56697191150437117e+08, 0.00000000000000000e+00,  175084074
 5, 8.56713500541781068e+08, 9459392652, 8.56713500541781187e+08, 1.25332660606021884e+00, 1224013552, 8.56713500541781187e+08, 1.25332660606021884e+00,  629618192, 8.56713500541781068e+08, 0.00000000000000000e+00,  333061900, 8.56713500541780949e+08, 1.25332660606021884e+00,  179454373
 6, 8.56745027443710089e+08, 9425877856, 8.56745027443710089e+08, 0.00000000000000000e+00, 1224305887, 8.56745027443710089e+08, 0.00000000000000000e+00,  628760179, 8.56745027443710089e+08, 0.00000000000000000e+00,  332789210, 8.56745027443709970e+08, 1.25328048556493910e+00,  177548760
 7, 8.56729708201849103e+08, 9428501991, 8.56729708201849222e+08, 1.25330289555807251e+00, 1224826901, 8.56729708201849222e+08, 1.25330289555807251e+00,  628817261, 8.56729708201849222e+08, 1.25330289555807251e+00,  332732869, 8.56729708201849222e+08, 1.25330289555807251e+00,  175458660
 8, 8.56724580016461968e+08, 9459613994, 8.56724580016461968e+08, 0.00000000000000000e+00, 1225067287, 8.56724580016461968e+08, 0.00000000000000000e+00,  628743370, 8.56724580016461849e+08, 1.25331039758351293e+00,  332864835, 8.56724580016461849e+08, 1.25331039758351293e+00,  176069672
 9, 8.56728580085325241e+08, 9424666137, 8.56728580085325241e+08, 0.00000000000000000e+00, 1224623401, 8.56728580085325241e+08, 0.00000000000000000e+00,  628634459, 8.56728580085325241e+08, 0.00000000000000000e+00,  333574234, 8.56728580085325241e+08, 0.00000000000000000e+00,  178678892
10, 8.56702333435353041e+08, 9351153353, 8.56702333435353041e+08, 0.00000000000000000e+00, 1225389952, 8.56702333435353041e+08, 0.00000000000000000e+00,  628712198, 8.56702333435353041e+08, 0.00000000000000000e+00,  332477299, 8.56702333435353041e+08, 0.00000000000000000e+00,  175857472
11, 8.56699444722778797e+08, 9404608788, 8.56699444722778797e+08, 0.00000000000000000e+00, 1224402681, 8.56699444722778797e+08, 0.00000000000000000e+00,  628900674, 8.56699444722778797e+08, 0.00000000000000000e+00,  333394578, 8.56699444722778797e+08, 0.00000000000000000e+00,  178827265
12, 8.56708840052581191e+08, 9325818029, 8.56708840052581072e+08, 1.25333342414687610e+00, 1224930761, 8.56708840052581072e+08, 1.25333342414687610e+00,  628518842, 8.56708840052581072e+08, 1.25333342414687610e+00,  333537348, 8.56708840052581191e+08, 0.00000000000000000e+00,  180434568
13, 8.56724645535775781e+08, 9453298290, 8.56724645535775781e+08, 0.00000000000000000e+00, 1225459593, 8.56724645535775900e+08, 1.25331030173470337e+00,  628721610, 8.56724645535775781e+08, 0.00000000000000000e+00,  333579315, 8.56724645535775900e+08, 1.25331030173470337e+00,  175131955
14, 8.56724441253682256e+08, 9406682561, 8.56724441253682256e+08, 0.00000000000000000e+00, 1224730528, 8.56724441253682256e+08, 0.00000000000000000e+00,  628658103, 8.56724441253682256e+08, 0.00000000000000000e+00,  333154413, 8.56724441253682256e+08, 0.00000000000000000e+00,  179382537
15, 8.56732695041534066e+08, 9484305341, 8.56732695041534066e+08, 0.00000000000000000e+00, 1224351904, 8.56732695041534185e+08, 1.25329852614991588e+00,  628906758, 8.56732695041534185e+08, 1.25329852614991588e+00,  332953009, 8.56732695041534066e+08, 0.00000000000000000e+00,  181316707
16, 8.56723932389539719e+08, 9323924663, 8.56723932389539719e+08, 0.00000000000000000e+00, 1224156562, 8.56723932389539719e+08, 0.00000000000000000e+00,  628457050, 8.56723932389539719e+08, 0.00000000000000000e+00,  332242376, 8.56723932389539719e+08, 0.00000000000000000e+00,  180587682
17, 8.56722505684944153e+08, 9467136347, 8.56722505684944153e+08, 0.00000000000000000e+00, 1224836433, 8.56722505684944153e+08, 0.00000000000000000e+00,  628505190, 8.56722505684944153e+08, 0.00000000000000000e+00,  332781572, 8.56722505684944153e+08, 0.00000000000000000e+00,  175291383
18, 8.56709697108066320e+08, 9464797453, 8.56709697108066320e+08, 0.00000000000000000e+00, 1224766302, 8.56709697108066320e+08, 0.00000000000000000e+00,  628859839, 8.56709697108066440e+08, 1.25333217030757726e+00,  333745219, 8.56709697108066320e+08, 0.00000000000000000e+00,  176070253
19, 8.56727648215466261e+08, 9445193141, 8.56727648215466261e+08, 0.00000000000000000e+00, 1224165112, 8.56727648215466261e+08, 0.00000000000000000e+00,  628997538, 8.56727648215466261e+08, 0.00000000000000000e+00,  333159105, 8.56727648215466261e+08, 0.00000000000000000e+00,  180094833
20, 8.56733201820026398e+08, 9461215585, 8.56733201820026398e+08, 0.00000000000000000e+00, 1224742246, 8.56733201820026398e+08, 0.00000000000000000e+00,  629038603, 8.56733201820026398e+08, 0.00000000000000000e+00,  332896998, 8.56733201820026398e+08, 0.00000000000000000e+00,  178094170
21, 8.56735911659779310e+08, 9435838674, 8.56735911659779310e+08, 0.00000000000000000e+00, 1225424693, 8.56735911659779310e+08, 0.00000000000000000e+00,  628508718, 8.56735911659779191e+08, 1.25329382063582329e+00,  332314042, 8.56735911659779191e+08, 1.25329382063582329e+00,  175233420
22, 8.56674998387688518e+08, 9474420921, 8.56674998387688518e+08, 0.00000000000000000e+00, 1224560275, 8.56674998387688518e+08, 0.00000000000000000e+00,  628641365, 8.56674998387688637e+08, 1.25338293520978628e+00,  332355688, 8.56674998387688637e+08, 1.25338293520978628e+00,  176522558
23, 8.56731677740281582e+08, 9443060402, 8.56731677740281582e+08, 0.00000000000000000e+00, 1224788743, 8.56731677740281582e+08, 0.00000000000000000e+00,  629138714, 8.56731677740281582e+08, 0.00000000000000000e+00,  331737038, 8.56731677740281582e+08, 0.00000000000000000e+00,  175175024
24, 8.56730306253461480e+08, 9370989921, 8.56730306253461480e+08, 0.00000000000000000e+00, 1225150028, 8.56730306253461361e+08, 1.25330202067386209e+00,  628453381, 8.56730306253461361e+08, 1.25330202067386209e+00,  333101842, 8.56730306253461480e+08, 0.00000000000000000e+00,  176002757
25, 8.56723729802600741e+08, 9444118908, 8.56723729802600741e+08, 0.00000000000000000e+00, 1224697452, 8.56723729802600741e+08, 0.00000000000000000e+00,  628622562, 8.56723729802600861e+08, 1.25331164137055340e+00,  332526894, 8.56723729802600861e+08, 1.25331164137055340e+00,  176345980
26, 8.56712346001820445e+08, 9440234502, 8.56712346001820564e+08, 1.25332829509348342e+00, 1225134963, 8.56712346001820564e+08, 1.25332829509348342e+00,  628397802, 8.56712346001820564e+08, 1.25332829509348342e+00,  332266973, 8.56712346001820564e+08, 1.25332829509348342e+00,  174897493
27, 8.56710757765788794e+08, 9444102019, 8.56710757765788794e+08, 0.00000000000000000e+00, 1224099510, 8.56710757765788913e+08, 1.25333061860948880e+00,  628767626, 8.56710757765788913e+08, 1.25333061860948880e+00,  332951003, 8.56710757765788794e+08, 0.00000000000000000e+00,  175957553
28, 8.56769529793835402e+08, 9397961899, 8.56769529793835521e+08, 1.25324464358387577e+00, 1225714652, 8.56769529793835521e+08, 1.25324464358387577e+00,  626479980, 8.56769529793835402e+08, 0.00000000000000000e+00,  331552121, 8.56769529793835402e+08, 0.00000000000000000e+00,  174649340
29, 8.56754632744553089e+08, 9480396599, 8.56754632744553089e+08, 0.00000000000000000e+00, 1223968829, 8.56754632744553089e+08, 0.00000000000000000e+00,  628430317, 8.56754632744553089e+08, 0.00000000000000000e+00,  332524377, 8.56754632744553089e+08, 0.00000000000000000e+00,  177550765
30, 8.56710106809769034e+08, 9400059285, 8.56710106809769034e+08, 0.00000000000000000e+00, 1224757220, 8.56710106809769034e+08, 0.00000000000000000e+00,  628651909, 8.56710106809769034e+08, 0.00000000000000000e+00,  333438841, 8.56710106809768915e+08, 1.25333157093058833e+00,  176369705
31, 8.56703614872521996e+08, 9461494771, 8.56703614872521996e+08, 0.00000000000000000e+00, 1225058907, 8.56703614872521877e+08, 1.25334106843913973e+00,  628643400, 8.56703614872521877e+08, 1.25334106843913973e+00,  332972814, 8.56703614872521877e+08, 1.25334106843913973e+00,  175818873
