"p≈√2", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 2.15633346844763588e+06, 1143035802369, 2.15633346844763588e+06, 0.00000000000000000e+00,    8207199824, 2.15633346844763635e+06, 1.94510916858305682e+00,    5695165614, 2.15633346844763588e+06, 0.00000000000000000e+00,    2805218111, 2.15633346844763588e+06, 0.00000000000000000e+00,    1282028462
 2, 2.15633897083068592e+06, 1166969081892, 2.15633897083068546e+06, 1.94510420520027494e+00,    8207500159, 2.15633897083068592e+06, 0.00000000000000000e+00,    5694452055, 2.15633897083068546e+06, 1.94510420520027494e+00,    2805249723, 2.15633897083068592e+06, 0.00000000000000000e+00,    1281390859
 3, 2.15633218938972708e+06, 1160429239920, 2.15633218938972708e+06, 0.00000000000000000e+00,    8206897917, 2.15633218938972661e+06, 1.94511032235114389e+00,    5694844111, 2.15633218938972661e+06, 1.94511032235114389e+00,    2806929215, 2.15633218938972661e+06, 1.94511032235114389e+00,    1276433313
 4, 2.15628951890767040e+06, 1169491064813, 2.15628951890767040e+06, 0.00000000000000000e+00,    8206233752, 2.15628951890766993e+06, 1.94514881384051974e+00,    5694745834, 2.15628951890766993e+06, 1.94514881384051974e+00,    2803167512, 2.15628951890766993e+06, 1.94514881384051974e+00,    1281618255
 5, 2.15630592930023931e+06, 1162224818585, 2.15630592930023978e+06, 1.94513401044216772e+00,    8206867066, 2.15630592930023978e+06, 1.94513401044216772e+00,    5694378635, 2.15630592930024024e+06, 3.89026802088433543e+00,    2805053339, 2.15630592930023931e+06, 0.00000000000000000e+00,    1280383441
 6, 2.15640157449434418e+06, 1163878596376, 2.15640157449434418e+06, 0.00000000000000000e+00,    8206883283, 2.15640157449434418e+06, 0.00000000000000000e+00,    5694571200, 2.15640157449434418e+06, 0.00000000000000000e+00,    2802134294, 2.15640157449434418e+06, 0.00000000000000000e+00,    1281906360
 7, 2.15636390316392574e+06, 1162177382319, 2.15636390316392528e+06, 1.94508171549612108e+00,    8207970686, 2.15636390316392621e+06, 1.94508171549612108e+00,    5696483038, 2.15636390316392574e+06, 0.00000000000000000e+00,    2804133804, 2.15636390316392574e+06, 0.00000000000000000e+00,    1281312548
 8, 2.15635461917746905e+06, 1161512517268, 2.15635461917746905e+06, 0.00000000000000000e+00,    8209179379, 2.15635461917746905e+06, 0.00000000000000000e+00,    5696990120, 2.15635461917746905e+06, 0.00000000000000000e+00,    2804869856, 2.15635461917746952e+06, 1.94509008986652510e+00,    1281180874
 9, 2.15636967519776523e+06, 1170054158911, 2.15636967519776523e+06, 0.00000000000000000e+00,    8207476384, 2.15636967519776523e+06, 0.00000000000000000e+00,    5694661630, 2.15636967519776477e+06, 1.94507650902451656e+00,    2801300027, 2.15636967519776570e+06, 1.94507650902451656e+00,    1281869305
10, 2.15629189455771912e+06, 1163941211948, 2.15629189455771912e+06, 0.00000000000000000e+00,    8208423061, 2.15629189455771912e+06, 0.00000000000000000e+00,    5695014604, 2.15629189455771912e+06, 0.00000000000000000e+00,    2804028802, 2.15629189455771912e+06, 0.00000000000000000e+00,    1281456220
11, 2.15628091945296852e+06, 1176559940838, 2.15628091945296852e+06, 0.00000000000000000e+00,    8210896397, 2.15628091945296898e+06, 1.94515657128017527e+00,    5695322807, 2.15628091945296852e+06, 0.00000000000000000e+00,    2804899154, 2.15628091945296898e+06, 1.94515657128017527e+00,    1281669583
12, 2.15631151597447321e+06, 1161628858760, 2.15631151597447321e+06, 0.00000000000000000e+00,    8207538747, 2.15631151597447367e+06, 1.94512897089663972e+00,    5695394392, 2.15631151597447367e+06, 1.94512897089663972e+00,    2801682871, 2.15631151597447321e+06, 0.00000000000000000e+00,    1279721682
13, 2.15635879618764110e+06, 1170472164329, 2.15635879618764110e+06, 0.00000000000000000e+00,    8207716408, 2.15635879618764110e+06, 0.00000000000000000e+00,    5696213014, 2.15635879618764110e+06, 0.00000000000000000e+00,    2803812011, 2.15635879618764110e+06, 0.00000000000000000e+00,    1281576448
14, 2.15635321659427229e+06, 1170350986802, 2.15635321659427229e+06, 0.00000000000000000e+00,    8205397670, 2.15635321659427183e+06, 1.94509135503526243e+00,    5694027142, 2.15635321659427229e+06, 0.00000000000000000e+00,    2803917485, 2.15635321659427183e+06, 1.94509135503526243e+00,    1281927750
15, 2.15636249340103474e+06, 1162690235119, 2.15636249340103520e+06, 1.94508298713019490e+00,    8207314199, 2.15636249340103520e+06, 1.94508298713019490e+00,    5694480080, 2.15636249340103520e+06, 1.94508298713019490e+00,    2802553223, 2.15636249340103520e+06, 1.94508298713019490e+00,    1276592250
16, 2.15633934252563212e+06, 1160138477095, 2.15633934252563212e+06, 0.00000000000000000e+00,    8206613079, 2.15633934252563212e+06, 0.00000000000000000e+00,    5694814081, 2.15633934252563212e+06, 0.00000000000000000e+00,    2799328290, 2.15633934252563212e+06, 0.00000000000000000e+00,    1277598486
17, 2.15634011826237990e+06, 1172092525150, 2.15634011826237990e+06, 0.00000000000000000e+00,    8206728996, 2.15634011826237990e+06, 0.00000000000000000e+00,    5694095311, 2.15634011826238036e+06, 1.94510317017143408e+00,    2804600784, 2.15634011826237990e+06, 0.00000000000000000e+00,    1280441606
18, 2.15631617728552921e+06, 1170386857091, 2.15631617728552921e+06, 0.00000000000000000e+00,    8206732946, 2.15631617728552874e+06, 1.94512476610920038e+00,    5696447025, 2.15631617728552921e+06, 0.00000000000000000e+00,    2804555329, 2.15631617728552921e+06, 0.00000000000000000e+00,    1281222580
19, 2.15635213504504412e+06, 1172713173985, 2.15635213504504412e+06, 0.00000000000000000e+00,    8208194754, 2.15635213504504412e+06, 0.00000000000000000e+00,    5695749312, 2.15635213504504412e+06, 0.00000000000000000e+00,    2804073406, 2.15635213504504412e+06, 0.00000000000000000e+00,    1280796906
20, 2.15636967896861350e+06, 1160912695861, 2.15636967896861350e+06, 0.00000000000000000e+00,    8206147974, 2.15636967896861350e+06, 0.00000000000000000e+00,    5695033378, 2.15636967896861350e+06, 0.00000000000000000e+00,    2805073396, 2.15636967896861350e+06, 0.00000000000000000e+00,    1280855422
