"pŹ", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 8.92020385954798485e+02, 1162081335874, 8.92020385954798371e+02, 1.14795582715739575e+00,    8360033462, 8.92020385954798485e+02, 0.00000000000000000e+00,    5695431879, 8.92020385954798599e+02, 1.14795582715739575e+00,    2802867098, 8.92020385954798485e+02, 0.00000000000000000e+00,    1281106342
 2, 8.92010038342038683e+02, 1185291160889, 8.92010038342038683e+02, 0.00000000000000000e+00,    8359605484, 8.92010038342038683e+02, 0.00000000000000000e+00,    5695121091, 8.92010038342038797e+02, 1.14796914382632775e+00,    2800423420, 8.92010038342038683e+02, 0.00000000000000000e+00,    1281239780
 3, 8.92006703331969334e+02, 1178243366298, 8.92006703331969561e+02, 2.29594687164342526e+00,    8360634642, 8.92006703331969447e+02, 1.14797343582171263e+00,    5694099620, 8.92006703331969447e+02, 1.14797343582171263e+00,    2803221917, 8.92006703331969447e+02, 1.14797343582171263e+00,    1279812582
 4, 8.92000635213287410e+02, 1187773330729, 8.92000635213287410e+02, 0.00000000000000000e+00,    8359031717, 8.92000635213287296e+02, 1.14798124527697221e+00,    5694971094, 8.92000635213287524e+02, 1.14798124527697221e+00,    2799098610, 8.92000635213287410e+02, 0.00000000000000000e+00,    1277579813
 5, 8.91994656616750831e+02, 1179863334493, 8.91994656616750945e+02, 1.14798893962429394e+00,    8359426710, 8.91994656616750945e+02, 1.14798893962429394e+00,    5694863175, 8.91994656616750945e+02, 1.14798893962429394e+00,    2803988319, 8.91994656616750945e+02, 1.14798893962429394e+00,    1280507668
 6, 8.92039955452599884e+02, 1181917481037, 8.92039955452599884e+02, 0.00000000000000000e+00,    8361765956, 8.92039955452599884e+02, 0.00000000000000000e+00,    5695012591, 8.92039955452599770e+02, 1.14793064339864315e+00,    2804778705, 8.92039955452599656e+02, 2.29586128679728629e+00,    1281538460
 7, 8.92031837310596188e+02, 1180107528536, 8.92031837310596416e+02, 2.29588218081380857e+00,    8360634782, 8.92031837310596416e+02, 2.29588218081380857e+00,    5694489581, 8.92031837310596302e+02, 1.14794109040690429e+00,    2803745318, 8.92031837310596302e+02, 1.14794109040690429e+00,    1281709466
 8, 8.92031570642324937e+02, 1179958106743, 8.92031570642325050e+02, 1.14794143357801626e+00,    8361516590, 8.92031570642325050e+02, 1.14794143357801626e+00,    5694030841, 8.92031570642325164e+02, 2.29588286715603251e+00,    2803939205, 8.92031570642325050e+02, 1.14794143357801626e+00,    1276550995
 9, 8.92036785257973747e+02, 1187661112795, 8.92036785257973747e+02, 0.00000000000000000e+00,    8361229396, 8.92036785257973975e+02, 2.29586944602035192e+00,    5693458779, 8.92036785257973747e+02, 0.00000000000000000e+00,    2803475774, 8.92036785257973747e+02, 0.00000000000000000e+00,    1279699501
10, 8.91989490772681847e+02, 1181852203954, 8.91989490772681847e+02, 0.00000000000000000e+00,    8361157551, 8.91989490772681847e+02, 0.00000000000000000e+00,    5696177171, 8.91989490772681847e+02, 0.00000000000000000e+00,    2801077974, 8.91989490772681961e+02, 1.14799558805672097e+00,    1276676525
11, 8.91988968460206024e+02, 1194884302950, 8.91988968460206024e+02, 0.00000000000000000e+00,    8359844085, 8.91988968460206024e+02, 0.00000000000000000e+00,    5692598512, 8.91988968460206138e+02, 1.14799626027626522e+00,    2802444973, 8.91988968460206024e+02, 0.00000000000000000e+00,    1278882613
12, 8.92010141257540340e+02, 1179003735571, 8.92010141257540340e+02, 0.00000000000000000e+00,    8358913856, 8.92010141257540226e+02, 1.14796901137960461e+00,    5694022422, 8.92010141257540340e+02, 0.00000000000000000e+00,    2803500230, 8.92010141257540226e+02, 1.14796901137960461e+00,    1280613253
13, 8.92035042426991026e+02, 1188463062753, 8.92035042426991026e+02, 0.00000000000000000e+00,    8362627015, 8.92035042426991140e+02, 1.14793696581018523e+00,    5694880896, 8.92035042426991140e+02, 1.14793696581018523e+00,    2801662514, 8.92035042426990913e+02, 1.14793696581018523e+00,    1280954792
14, 8.92021469709154303e+02, 1188336142124, 8.92021469709154303e+02, 0.00000000000000000e+00,    8359969054, 8.92021469709154417e+02, 1.14795443245763762e+00,    5694744742, 8.92021469709154417e+02, 1.14795443245763762e+00,    2799939303, 8.92021469709154530e+02, 2.29590886491527524e+00,    1277328361
15, 8.92021645279440918e+02, 1180308803262, 8.92021645279441032e+02, 1.14795420651391766e+00,    8359553273, 8.92021645279441032e+02, 1.14795420651391766e+00,    5694773607, 8.92021645279441032e+02, 1.14795420651391766e+00,    2803822566, 8.92021645279441032e+02, 1.14795420651391766e+00,    1279807931
16, 8.92007993555847406e+02, 1177836751233, 8.92007993555847406e+02, 0.00000000000000000e+00,    8360370813, 8.92007993555847406e+02, 0.00000000000000000e+00,    5694492548, 8.92007993555847406e+02, 0.00000000000000000e+00,    2803233154, 8.92007993555847634e+02, 2.29594355072534162e+00,    1280768301
