"p=∞", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 6.24995867939137995e+00, 4066591513, 6.24995867939137995e+00, 0.00000000000000000e+00, 1213575381, 6.24995867939137995e+00, 0.00000000000000000e+00,  609116277, 6.24995867939137995e+00, 0.00000000000000000e+00,  324003839, 6.24995867939137995e+00, 0.00000000000000000e+00,  169226649
 2, 6.12345995255047715e+00, 4069107788, 6.12345995255047715e+00, 0.00000000000000000e+00, 1213222506, 6.12345995255047715e+00, 0.00000000000000000e+00,  609541700, 6.12345995255047715e+00, 0.00000000000000000e+00,  323739468, 6.12345995255047715e+00, 0.00000000000000000e+00,  169532306
 3, 6.18881000349134247e+00, 4061578128, 6.18881000349134247e+00, 0.00000000000000000e+00, 1213666813, 6.18881000349134247e+00, 0.00000000000000000e+00,  609183963, 6.18881000349134247e+00, 0.00000000000000000e+00,  323623559, 6.18881000349134247e+00, 0.00000000000000000e+00,  169372396
 4, 5.98925708565020276e+00, 4067222010, 5.98925708565020276e+00, 0.00000000000000000e+00, 1214083575, 5.98925708565020276e+00, 0.00000000000000000e+00,  609272146, 5.98925708565020276e+00, 0.00000000000000000e+00,  323839659, 5.98925708565020276e+00, 0.00000000000000000e+00,  169488925
 5, 6.24572972632561996e+00, 4060152754, 6.24572972632561996e+00, 0.00000000000000000e+00, 1215170317, 6.24572972632561996e+00, 0.00000000000000000e+00,  609032183, 6.24572972632561996e+00, 0.00000000000000000e+00,  324443384, 6.24572972632561996e+00, 0.00000000000000000e+00,  169576438
 6, 5.91092696924919903e+00, 4064268104, 5.91092696924919903e+00, 0.00000000000000000e+00, 1215982714, 5.91092696924919903e+00, 0.00000000000000000e+00,  609329450, 5.91092696924919903e+00, 0.00000000000000000e+00,  323763834, 5.91092696924919903e+00, 0.00000000000000000e+00,  169418292
 7, 6.06439515276936092e+00, 4059509458, 6.06439515276936092e+00, 0.00000000000000000e+00, 1213660488, 6.06439515276936092e+00, 0.00000000000000000e+00,  609545889, 6.06439515276936092e+00, 0.00000000000000000e+00,  323600967, 6.06439515276936092e+00, 0.00000000000000000e+00,  169326229
 8, 6.26020057680954789e+00, 4073618712, 6.26020057680954789e+00, 0.00000000000000000e+00, 1213578588, 6.26020057680954789e+00, 0.00000000000000000e+00,  609642853, 6.26020057680954789e+00, 0.00000000000000000e+00,  323972015, 6.26020057680954789e+00, 0.00000000000000000e+00,  169315986
 9, 6.03263078302198963e+00, 4058657890, 6.03263078302198963e+00, 0.00000000000000000e+00, 1212712306, 6.03263078302198963e+00, 0.00000000000000000e+00,  609610789, 6.03263078302198963e+00, 0.00000000000000000e+00,  324019966, 6.03263078302198963e+00, 0.00000000000000000e+00,  169721913
10, 6.17082658111783466e+00, 4069520852, 6.17082658111783466e+00, 0.00000000000000000e+00, 1213117804, 6.17082658111783466e+00, 0.00000000000000000e+00,  609459750, 6.17082658111783466e+00, 0.00000000000000000e+00,  323799035, 6.17082658111783466e+00, 0.00000000000000000e+00,  169327402
11, 5.90805976326725091e+00, 4075824539, 5.90805976326725091e+00, 0.00000000000000000e+00, 1213152874, 5.90805976326725091e+00, 0.00000000000000000e+00,  609429389, 5.90805976326725091e+00, 0.00000000000000000e+00,  323800809, 5.90805976326725091e+00, 0.00000000000000000e+00,  169469610
12, 6.29253391622024694e+00, 4065138756, 6.29253391622024694e+00, 0.00000000000000000e+00, 1213154188, 6.29253391622024694e+00, 0.00000000000000000e+00,  608758599, 6.29253391622024694e+00, 0.00000000000000000e+00,  324721216, 6.29253391622024694e+00, 0.00000000000000000e+00,  169545366
