"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  84225929407270, 1.89187408178574406e+04, 0.00000000000000000e+00, 6203396075646, 1.89187408178487130e+04, 4.15516195061985491e+03, 20457974455, 1.89187408178574442e+04, 1.73203916240927702e+00, 182885930399, 1.89187408178574406e+04, 0.00000000000000000e+00, 91323589471, 1.89187408178574442e+04, 1.73203916240927702e+00, 87361964755, 1.89187408178574406e+04, 0.00000000000000000e+00, 38661806617, 1.89187408178574442e+04, 1.73203916240927702e+00, 20417525055, 1.89187408178574442e+04, 1.73203916240927702e+00, 10736216288, 1.89187408178332880e+04, 1.14990079992351893e+04, 211139509715
 2, 133283450964053, 1.89184638190071782e+04, 0.00000000000000000e+00, 6204983430126, 1.89184638189980542e+04, 4.34401782228388311e+03, 20484912454, 1.89184638190071746e+04, 1.73206452244173970e+00, 182995568862, 1.89184638190071746e+04, 1.73206452244173970e+00, 91369987377, 1.89184638190071782e+04, 0.00000000000000000e+00, 87411952035, 1.89184638190071782e+04, 0.00000000000000000e+00, 38670770571, 1.89184638190071782e+04, 0.00000000000000000e+00, 20428318156, 1.89184638190071782e+04, 0.00000000000000000e+00, 10773323104, 1.89184638189614852e+04, 2.17547304018682516e+04, 211166928394
 3,  17688476434090, 1.89183143595819456e+04, 0.00000000000000000e+00, 6203891751164, 1.89183143595730653e+04, 4.22800290129905261e+03, 20475742543, 1.89183143595819456e+04, 0.00000000000000000e+00, 183079799191, 1.89183143595819456e+04, 0.00000000000000000e+00, 91351768246, 1.89183143595819456e+04, 0.00000000000000000e+00, 87391735059, 1.89183143595819456e+04, 0.00000000000000000e+00, 38688275732, 1.89183143595819456e+04, 0.00000000000000000e+00, 20441270536, 1.89183143595819420e+04, 1.73207820618560127e+00, 10803285151, 1.89183143595418551e+04, 1.90875018321653261e+04, 211227795977
 4,  98101099171013, 1.89184980744069835e+04, 0.00000000000000000e+00, 6204528200802, 1.89184980744078312e+04, 4.03570302989780203e+02, 20458620749, 1.89184980744069835e+04, 0.00000000000000000e+00, 183151613289, 1.89184980744069835e+04, 0.00000000000000000e+00, 91342293141, 1.89184980744069835e+04, 0.00000000000000000e+00, 87434338015, 1.89184980744069835e+04, 0.00000000000000000e+00, 38665151486, 1.89184980744069835e+04, 0.00000000000000000e+00, 20458579133, 1.89184980744069835e+04, 0.00000000000000000e+00, 10772597066, 1.89184980743658707e+04, 1.95740257256974510e+04, 211139903154
 5,  43262801938392, 1.89188618644712296e+04, 0.00000000000000000e+00, 6203697944085, 1.89188618644651906e+04, 2.87516661359799537e+03, 20471094634, 1.89188618644712296e+04, 0.00000000000000000e+00, 182894250636, 1.89188618644712296e+04, 0.00000000000000000e+00, 91360870370, 1.89188618644712296e+04, 0.00000000000000000e+00, 87402664584, 1.89188618644712296e+04, 0.00000000000000000e+00, 38674752121, 1.89188618644712296e+04, 0.00000000000000000e+00, 20429997386, 1.89188618644712333e+04, 1.73202808048071999e+00, 10778409939, 1.89188618644684284e+04, 1.33366162197015433e+03, 211190647664
 6, 143838884838290, 1.89186761627964952e+04, 0.00000000000000000e+00, 6203545848292, 1.89186761627879496e+04, 4.06857389690750188e+03, 20492872919, 1.89186761627964952e+04, 0.00000000000000000e+00, 182929588605, 1.89186761627964916e+04, 1.73204508169753169e+00, 91431944588, 1.89186761627964916e+04, 1.73204508169753169e+00, 87388265380, 1.89186761627964952e+04, 0.00000000000000000e+00, 38671247703, 1.89186761627964952e+04, 0.00000000000000000e+00, 20423832390, 1.89186761627964952e+04, 0.00000000000000000e+00, 10775242290, 1.89186761627832384e+04, 6.31157227770580539e+03, 211150418703
 7, 214786254272449, 1.89187786336969184e+04, 0.00000000000000000e+00, 6212232427747, 1.89187786336811041e+04, 7.52915918928775591e+03, 20525831490, 1.89187786336969184e+04, 0.00000000000000000e+00, 183228138364, 1.89187786336969184e+04, 0.00000000000000000e+00, 91507811602, 1.89187786336969184e+04, 0.00000000000000000e+00, 87564014913, 1.89187786336969184e+04, 0.00000000000000000e+00, 38754221298, 1.89187786336969184e+04, 0.00000000000000000e+00, 20485875720, 1.89187786336969184e+04, 0.00000000000000000e+00, 10799946827, 1.89187786336886820e+04, 3.92132882552276942e+03, 211474686953
 8, 132582279127473, 1.89189212707995393e+04, 0.00000000000000000e+00, 6204755078671, 1.89189212707960614e+04, 1.65581364558826726e+03, 20462568692, 1.89189212707995393e+04, 0.00000000000000000e+00, 182882966871, 1.89189212707995393e+04, 0.00000000000000000e+00, 91276314819, 1.89189212707995393e+04, 0.00000000000000000e+00, 87365393208, 1.89189212707995393e+04, 0.00000000000000000e+00, 38670381442, 1.89189212707995393e+04, 0.00000000000000000e+00, 20424154063, 1.89189212707995393e+04, 0.00000000000000000e+00, 10757778104, 1.89189212707665138e+04, 1.57233015425212252e+04, 211167348335
 9, 143967321166012, 1.89186215572781730e+04, 0.00000000000000000e+00, 6203796686318, 1.89186215572721703e+04, 2.85788263358964605e+03, 20456599719, 1.89186215572781730e+04, 0.00000000000000000e+00, 182864232450, 1.89186215572781766e+04, 1.73205008096342206e+00, 91289818082, 1.89186215572781730e+04, 0.00000000000000000e+00, 87354588741, 1.89186215572781730e+04, 0.00000000000000000e+00, 38731176968, 1.89186215572781730e+04, 0.00000000000000000e+00, 20280525676, 1.89186215572781730e+04, 0.00000000000000000e+00, 10786879872, 1.89186215572444926e+04, 1.60353196495593602e+04, 211211051694
10,  53715765044733, 1.89187488625154620e+04, 0.00000000000000000e+00, 6203275780939, 1.89187488625255792e+04, 4.81679886245308080e+03, 20482478089, 1.89187488625154620e+04, 0.00000000000000000e+00, 182910798504, 1.89187488625154620e+04, 0.00000000000000000e+00, 91345270031, 1.89187488625154620e+04, 0.00000000000000000e+00, 87370323660, 1.89187488625154620e+04, 0.00000000000000000e+00, 38680994005, 1.89187488625154620e+04, 0.00000000000000000e+00, 20466389070, 1.89187488625154620e+04, 0.00000000000000000e+00, 10777321534, 1.89187488624763973e+04, 1.85986286174114284e+04, 211170694657
