"p=1/2", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 5.12417213526727808e+17, 782625254848, 5.12417213526727808e+17, 0.00000000000000000e+00,   9499393668, 5.12417213526727744e+17, 1.12498319159872473e+00,   5695379609, 5.12417213526727936e+17, 2.24996638319744946e+00,   2801749987, 5.12417213526727744e+17, 1.12498319159872473e+00,   1279491430
 2, 5.12405138697449472e+17, 779689350378, 5.12405138697449408e+17, 1.12500970183243187e+00,   9504371740, 5.12405138697449536e+17, 1.12500970183243187e+00,   5695171467, 5.12405138697449536e+17, 1.12500970183243187e+00,   2803281927, 5.12405138697449536e+17, 1.12500970183243187e+00,   1280738702
 3, 5.12391504220273920e+17, 782047583505, 5.12391504220273856e+17, 1.12503963776808957e+00,   9504598485, 5.12391504220273984e+17, 1.12503963776808957e+00,   5697460396, 5.12391504220273984e+17, 1.12503963776808957e+00,   2803259204, 5.12391504220274048e+17, 2.25007927553617915e+00,   1281690471
 4, 5.12407516274762368e+17, 795022617786, 5.12407516274762496e+17, 2.25000896354656366e+00,   9501132565, 5.12407516274762368e+17, 0.00000000000000000e+00,   5696309276, 5.12407516274762240e+17, 2.25000896354656366e+00,   2802580395, 5.12407516274762496e+17, 2.25000896354656366e+00,   1281289655
 5, 5.12427928161533312e+17, 788988706077, 5.12427928161533312e+17, 0.00000000000000000e+00,   9502968779, 5.12427928161533376e+17, 1.12495966871209463e+00,   5695740001, 5.12427928161533312e+17, 0.00000000000000000e+00,   2800118015, 5.12427928161533376e+17, 1.12495966871209463e+00,   1277576696
 6, 5.12416884539489152e+17, 781767870494, 5.12416884539489280e+17, 2.24996782774435999e+00,   9506421657, 5.12416884539489088e+17, 1.12498391387218000e+00,   5694841284, 5.12416884539489088e+17, 1.12498391387218000e+00,   2802755680, 5.12416884539489024e+17, 2.24996782774435999e+00,   1280612751
 7, 5.12420694301686208e+17, 783074252091, 5.12420694301686144e+17, 1.12497554980485215e+00,   9499981095, 5.12420694301686144e+17, 1.12497554980485215e+00,   5695794276, 5.12420694301686144e+17, 1.12497554980485215e+00,   2799622089, 5.12420694301686080e+17, 2.24995109960970430e+00,   1277247775
 8, 5.12422719704994176e+17, 784473186320, 5.12422719704994240e+17, 1.12497110322371441e+00,   9507042322, 5.12422719704994112e+17, 1.12497110322371441e+00,   5696754054, 5.12422719704994240e+17, 1.12497110322371441e+00,   2803839896, 5.12422719704994240e+17, 1.12497110322371441e+00,   1279523353
 9, 5.12415863337336000e+17, 782555047152, 5.12415863337336128e+17, 2.24997231174291379e+00,   9503267047, 5.12415863337335808e+17, 3.37495846761437113e+00,   5695189620, 5.12415863337336000e+17, 0.00000000000000000e+00,   2802836718, 5.12415863337335872e+17, 2.24997231174291379e+00,   1280389275
10, 5.12413741374205504e+17, 781295715567, 5.12413741374205632e+17, 2.24998162913217303e+00,   9499729162, 5.12413741374205504e+17, 0.00000000000000000e+00,   5694793073, 5.12413741374205568e+17, 1.12499081456608652e+00,   2800747761, 5.12413741374205568e+17, 1.12499081456608652e+00,   1279119079
11, 5.12413623709108800e+17, 767013881975, 5.12413623709108800e+17, 0.00000000000000000e+00,   9503086942, 5.12413623709108800e+17, 0.00000000000000000e+00,   5696448689, 5.12413623709108736e+17, 1.12499107289675315e+00,   2799560426, 5.12413623709108800e+17, 0.00000000000000000e+00,   1277152104
12, 5.12423032279833728e+17, 779409455716, 5.12423032279833728e+17, 0.00000000000000000e+00,   9503608106, 5.12423032279833664e+17, 1.12497041699838896e+00,   5694946628, 5.12423032279833600e+17, 2.24994083399677791e+00,   2803558906, 5.12423032279833728e+17, 0.00000000000000000e+00,   1280027769
13, 5.12412920217761088e+17, 786127752904, 5.12412920217761088e+17, 0.00000000000000000e+00,   9504242171, 5.12412920217760960e+17, 2.24998523479245538e+00,   5695319399, 5.12412920217760896e+17, 3.37497785218868351e+00,   2803510765, 5.12412920217761024e+17, 1.12499261739622769e+00,   1279532515
14, 5.12436646857746368e+17, 780321034163, 5.12436646857746304e+17, 1.12494052843072789e+00,   9504739440, 5.12436646857746432e+17, 1.12494052843072789e+00,   5694616585, 5.12436646857746560e+17, 3.37482158529218346e+00,   2802005957, 5.12436646857746432e+17, 1.12494052843072789e+00,   1281060646
15, 5.12409386915359808e+17, 768737482812, 5.12409386915359808e+17, 0.00000000000000000e+00,   9508310492, 5.12409386915359872e+17, 1.12500037474653780e+00,   5695668295, 5.12409386915360000e+17, 3.37500112423961340e+00,   2803251395, 5.12409386915359872e+17, 1.12500037474653780e+00,   1280304589
16, 5.12413334553353984e+17, 790412991798, 5.12413334553353984e+17, 0.00000000000000000e+00,   9501434984, 5.12413334553354048e+17, 1.12499170773121371e+00,   5695004201, 5.12413334553353920e+17, 1.12499170773121371e+00,   2803307806, 5.12413334553354048e+17, 1.12499170773121371e+00,   1281345404
17, 5.12409415800318080e+17, 788038561161, 5.12409415800318144e+17, 1.12500031132930167e+00,   9505431490, 5.12409415800318080e+17, 0.00000000000000000e+00,   5696697023, 5.12409415800317824e+17, 4.50000124531720669e+00,   2799919216, 5.12409415800318080e+17, 0.00000000000000000e+00,   1278571825
18, 5.12412866045210496e+17, 780428938057, 5.12412866045210496e+17, 0.00000000000000000e+00,   9509881803, 5.12412866045210560e+17, 1.12499273633102326e+00,   5696192547, 5.12412866045210432e+17, 1.12499273633102326e+00,   2804286177, 5.12412866045210560e+17, 1.12499273633102326e+00,   1282125256
19, 5.12417970477647552e+17, 779255722771, 5.12417970477647616e+17, 1.12498152975798016e+00,   9505580594, 5.12417970477647616e+17, 1.12498152975798016e+00,   5696030662, 5.12417970477647488e+17, 1.12498152975798016e+00,   2802711158, 5.12417970477647424e+17, 2.24996305951596032e+00,   1281260387
20, 5.12417910266583232e+17, 781625292885, 5.12417910266583232e+17, 0.00000000000000000e+00,   9503444819, 5.12417910266583360e+17, 2.24996332389522546e+00,   5697243486, 5.12417910266583360e+17, 2.24996332389522546e+00,   2802256016, 5.12417910266583424e+17, 3.37494498584283820e+00,   1281959974
21, 5.12383377778467200e+17, 760793731656, 5.12383377778467200e+17, 0.00000000000000000e+00,   9510830886, 5.12383377778467392e+17, 3.37517244296317109e+00,   5695632482, 5.12383377778467328e+17, 2.25011496197544725e+00,   2802521971, 5.12383377778467072e+17, 2.25011496197544725e+00,   1280866698
22, 5.12421283045713728e+17, 779539671470, 5.12421283045713728e+17, 0.00000000000000000e+00,   9507909115, 5.12421283045713664e+17, 1.12497425726947542e+00,   5695964981, 5.12421283045713792e+17, 1.12497425726947542e+00,   2803443519, 5.12421283045713664e+17, 1.12497425726947542e+00,   1280272014
23, 5.12402072622960256e+17, 782294220845, 5.12402072622960256e+17, 0.00000000000000000e+00,   9506246402, 5.12402072622960320e+17, 1.12501643358417747e+00,   5697178966, 5.12402072622960320e+17, 1.12501643358417747e+00,   2804710818, 5.12402072622960320e+17, 1.12501643358417747e+00,   1280519125
24, 5.12412679004495680e+17, 784304988027, 5.12412679004495744e+17, 1.12499314697551789e+00,   9503421856, 5.12412679004495680e+17, 0.00000000000000000e+00,   5695933398, 5.12412679004495680e+17, 0.00000000000000000e+00,   2803185795, 5.12412679004495744e+17, 1.12499314697551789e+00,   1282775449
25, 5.12407870454126208e+17, 759305930433, 5.12407870454126144e+17, 1.12500370416350126e+00,   9506999994, 5.12407870454126144e+17, 1.12500370416350126e+00,   5695624424, 5.12407870454126080e+17, 2.25000740832700252e+00,   2802525147, 5.12407870454126208e+17, 0.00000000000000000e+00,   1279780347
26, 5.12411148073020288e+17, 782967731674, 5.12411148073020288e+17, 0.00000000000000000e+00,   9503314237, 5.12411148073020288e+17, 0.00000000000000000e+00,   5695266938, 5.12411148073020352e+17, 1.12499650811905427e+00,   2802266239, 5.12411148073020416e+17, 2.24999301623810855e+00,   1281738052
27, 5.12410637614449728e+17, 790352019954, 5.12410637614449792e+17, 1.12499762882980314e+00,   9506486628, 5.12410637614449792e+17, 1.12499762882980314e+00,   5699799893, 5.12410637614449728e+17, 0.00000000000000000e+00,   2804290858, 5.12410637614449664e+17, 1.12499762882980314e+00,   1280411275
28, 5.12413057410131008e+17, 788067331644, 5.12413057410131136e+17, 2.24998463238624780e+00,   9498816193, 5.12413057410131136e+17, 2.24998463238624780e+00,   5695345149, 5.12413057410131200e+17, 3.37497694857937169e+00,   2803065055, 5.12413057410131072e+17, 1.12499231619312390e+00,   1280973374
29, 5.12424878746989376e+17, 780499401835, 5.12424878746989248e+17, 2.24993272658040455e+00,   9501665537, 5.12424878746989376e+17, 0.00000000000000000e+00,   5695015527, 5.12424878746989248e+17, 2.24993272658040455e+00,   2802890302, 5.12424878746989376e+17, 0.00000000000000000e+00,   1279578962
30, 5.12413398541175936e+17, 779526826147, 5.12413398541175936e+17, 0.00000000000000000e+00,   9503378896, 5.12413398541175872e+17, 1.12499156724743776e+00,   5696644431, 5.12413398541176000e+17, 1.12499156724743776e+00,   2801499297, 5.12413398541175872e+17, 1.12499156724743776e+00,   1276857543
31, 5.12413843365908992e+17, 788884143254, 5.12413843365908992e+17, 0.00000000000000000e+00,   9500088142, 5.12413843365908864e+17, 2.24998118129208802e+00,   5697162719, 5.12413843365908992e+17, 0.00000000000000000e+00,   2803438598, 5.12413843365908992e+17, 0.00000000000000000e+00,   1280829883
