"p≈√2", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 1.30362071508230525e+06, 1154619897757, 1.30362071508230502e+06, 1.60871331341769475e+00, 8269260514, 1.30362071508230525e+06, 0.00000000000000000e+00, 5703878638, 1.30362071508230502e+06, 1.60871331341769475e+00, 2797295683, 1.30362071508230502e+06, 1.60871331341769475e+00, 1280613734
 2, 1.30359720003483980e+06, 1153297950289, 1.30359720003483980e+06, 0.00000000000000000e+00, 8269351003, 1.30359720003483980e+06, 0.00000000000000000e+00, 5700878585, 1.30359720003484003e+06, 1.60874233232777097e+00, 2798598685, 1.30359720003483980e+06, 0.00000000000000000e+00, 1281753808
 3, 1.30358235180826182e+06, 1153916267988, 1.30358235180826182e+06, 0.00000000000000000e+00, 8270199955, 1.30358235180826206e+06, 1.60876065642568689e+00, 5704135712, 1.30358235180826182e+06, 0.00000000000000000e+00, 2799524424, 1.30358235180826182e+06, 0.00000000000000000e+00, 1280907372
 4, 1.30359983328059153e+06, 1166483621079, 1.30359983328059153e+06, 0.00000000000000000e+00, 8271401272, 1.30359983328059153e+06, 0.00000000000000000e+00, 5704259047, 1.30359983328059153e+06, 0.00000000000000000e+00, 2798369214, 1.30359983328059153e+06, 0.00000000000000000e+00, 1281390950
 5, 1.30363078715768084e+06, 1150418259708, 1.30363078715768084e+06, 0.00000000000000000e+00, 8271488051, 1.30363078715768107e+06, 1.60870088422231983e+00, 5702064326, 1.30363078715768130e+06, 3.21740176844463965e+00, 2799497802, 1.30363078715768084e+06, 0.00000000000000000e+00, 1281319354
 6, 1.30361661409404688e+06, 1152464437468, 1.30361661409404688e+06, 0.00000000000000000e+00, 8269264253, 1.30361661409404664e+06, 1.60871837419579333e+00, 5699770064, 1.30361661409404664e+06, 1.60871837419579333e+00, 2798842799, 1.30361661409404688e+06, 0.00000000000000000e+00, 1280743092
 7, 1.30362423863222823e+06, 1166151693351, 1.30362423863222823e+06, 0.00000000000000000e+00, 8268126494, 1.30362423863222823e+06, 0.00000000000000000e+00, 5701379212, 1.30362423863222823e+06, 0.00000000000000000e+00, 2798691078, 1.30362423863222823e+06, 0.00000000000000000e+00, 1280167832
 8, 1.30363324494480272e+06, 1150876949709, 1.30363324494480272e+06, 0.00000000000000000e+00, 8268725238, 1.30363324494480249e+06, 1.60869785128009357e+00, 5702648525, 1.30363324494480272e+06, 0.00000000000000000e+00, 2799887362, 1.30363324494480272e+06, 0.00000000000000000e+00, 1281688387
 9, 1.30361301511045359e+06, 1130822142343, 1.30361301511045336e+06, 1.60872281550695528e+00, 8268805222, 1.30361301511045359e+06, 0.00000000000000000e+00, 5702350728, 1.30361301511045359e+06, 0.00000000000000000e+00, 2799441222, 1.30361301511045336e+06, 1.60872281550695528e+00, 1280685720
10, 1.30361884211811097e+06, 1155999993393, 1.30361884211811097e+06, 0.00000000000000000e+00, 8269472555, 1.30361884211811074e+06, 1.60871562472398888e+00, 5701250665, 1.30361884211811097e+06, 0.00000000000000000e+00, 2799356716, 1.30361884211811074e+06, 1.60871562472398888e+00, 1281736628
11, 1.30361029539386276e+06, 1161460352385, 1.30361029539386276e+06, 0.00000000000000000e+00, 8273059804, 1.30361029539386276e+06, 0.00000000000000000e+00, 5702813186, 1.30361029539386276e+06, 0.00000000000000000e+00, 2799370738, 1.30361029539386230e+06, 3.21745234355698706e+00, 1279561181
12, 1.30362992747781239e+06, 1162445111839, 1.30362992747781239e+06, 0.00000000000000000e+00, 8270375521, 1.30362992747781239e+06, 0.00000000000000000e+00, 5706632652, 1.30362992747781216e+06, 1.60870194508149122e+00, 2800654495, 1.30362992747781216e+06, 1.60870194508149122e+00, 1280572669
13, 1.30361269998325664e+06, 1150686985399, 1.30361269998325664e+06, 0.00000000000000000e+00, 8268170205, 1.30361269998325687e+06, 1.60872320438956717e+00, 5700927719, 1.30361269998325664e+06, 0.00000000000000000e+00, 2798709951, 1.30361269998325710e+06, 3.21744640877913435e+00, 1280051885
14, 1.30366481133910944e+06, 1156099344965, 1.30366481133910920e+06, 1.60865889894337921e+00, 8268118295, 1.30366481133910944e+06, 0.00000000000000000e+00, 5703858340, 1.30366481133910920e+06, 1.60865889894337921e+00, 2798890118, 1.30366481133910920e+06, 1.60865889894337921e+00, 1280182587
15, 1.30360452382504800e+06, 1163226697197, 1.30360452382504824e+06, 1.60873329424058609e+00, 8268167338, 1.30360452382504824e+06, 1.60873329424058609e+00, 5697784926, 1.30360452382504800e+06, 0.00000000000000000e+00, 2799084577, 1.30360452382504800e+06, 0.00000000000000000e+00, 1279336332
16, 1.30361588972394052e+06, 1151969857452, 1.30361588972394075e+06, 1.60871926809982524e+00, 8270026775, 1.30361588972394052e+06, 0.00000000000000000e+00, 5700907883, 1.30361588972394052e+06, 0.00000000000000000e+00, 2799421225, 1.30361588972394052e+06, 0.00000000000000000e+00, 1277842560
17, 1.30360390861123335e+06, 1155357519704, 1.30360390861123335e+06, 0.00000000000000000e+00, 8268133080, 1.30360390861123311e+06, 1.60873405345505316e+00, 5700496923, 1.30360390861123335e+06, 0.00000000000000000e+00, 2798554422, 1.30360390861123311e+06, 1.60873405345505316e+00, 1282221578
18, 1.30361088995895023e+06, 1150015328304, 1.30361088995895023e+06, 0.00000000000000000e+00, 8269439388, 1.30361088995895046e+06, 1.60872543805309709e+00, 5702062631, 1.30361088995895046e+06, 1.60872543805309709e+00, 2799127827, 1.30361088995895023e+06, 0.00000000000000000e+00, 1279185022
19, 1.30361863543029199e+06, 1154632102600, 1.30361863543029199e+06, 0.00000000000000000e+00, 8271564599, 1.30361863543029223e+06, 1.60871587978472119e+00, 5701702258, 1.30361863543029199e+06, 0.00000000000000000e+00, 2799458431, 1.30361863543029223e+06, 1.60871587978472119e+00, 1282858600
20, 1.30363508186204010e+06, 1152344526627, 1.30363508186204010e+06, 0.00000000000000000e+00, 8268757592, 1.30363508186204010e+06, 0.00000000000000000e+00, 5699423413, 1.30363508186204033e+06, 1.60869558450708783e+00, 2799486947, 1.30363508186204033e+06, 1.60869558450708783e+00, 1277682239
21, 1.30356687080163741e+06, 1156074311768, 1.30356687080163718e+06, 1.60877976187776395e+00, 8269514923, 1.30356687080163718e+06, 1.60877976187776395e+00, 5700918097, 1.30356687080163741e+06, 0.00000000000000000e+00, 2799167238, 1.30356687080163741e+06, 0.00000000000000000e+00, 1279727806
22, 1.30363388946795370e+06, 1162782989266, 1.30363388946795370e+06, 0.00000000000000000e+00, 8269933058, 1.30363388946795394e+06, 1.60869705593178569e+00, 5702391562, 1.30363388946795370e+06, 0.00000000000000000e+00, 2799895201, 1.30363388946795347e+06, 1.60869705593178569e+00, 1281708914
23, 1.30359427749905107e+06, 1152026902451, 1.30359427749905107e+06, 0.00000000000000000e+00, 8273986616, 1.30359427749905107e+06, 0.00000000000000000e+00, 5700224614, 1.30359427749905130e+06, 1.60874593897680462e+00, 2799549301, 1.30359427749905153e+06, 3.21749187795360925e+00, 1279981964
