"p=1", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 5.36877153255779266e+08, 8877992522, 5.36877153255779266e+08, 0.00000000000000000e+00, 1224978561, 5.36877153255779266e+08, 0.00000000000000000e+00,  628794949, 5.36877153255779266e+08, 0.00000000000000000e+00,  331768621, 5.36877153255779266e+08, 0.00000000000000000e+00,  174871814
 2, 5.36865889055576324e+08, 8950318163, 5.36865889055576324e+08, 0.00000000000000000e+00, 1224517315, 5.36865889055576324e+08, 0.00000000000000000e+00,  628716518, 5.36865889055576324e+08, 0.00000000000000000e+00,  332371635, 5.36865889055576324e+08, 0.00000000000000000e+00,  174924305
 3, 5.36857475990306854e+08, 8952792340, 5.36857475990306854e+08, 0.00000000000000000e+00, 1224853102, 5.36857475990306854e+08, 0.00000000000000000e+00,  628898189, 5.36857475990306854e+08, 0.00000000000000000e+00,  333171102, 5.36857475990306854e+08, 0.00000000000000000e+00,  176166085
 4, 5.36867350440341949e+08, 9001900901, 5.36867350440341949e+08, 0.00000000000000000e+00, 1224700559, 5.36867350440341949e+08, 0.00000000000000000e+00,  628697946, 5.36867350440341949e+08, 0.00000000000000000e+00,  332684959, 5.36867350440341949e+08, 0.00000000000000000e+00,  178876960
 5, 5.36882937482112885e+08, 8943568987, 5.36882937482112885e+08, 0.00000000000000000e+00, 1224649050, 5.36882937482112885e+08, 0.00000000000000000e+00,  628667074, 5.36882937482112885e+08, 0.00000000000000000e+00,  332405172, 5.36882937482112885e+08, 0.00000000000000000e+00,  175494112
 6, 5.36875738096035004e+08, 8918274837, 5.36875738096035004e+08, 0.00000000000000000e+00, 1224342071, 5.36875738096035004e+08, 0.00000000000000000e+00,  628939995, 5.36875738096035004e+08, 0.00000000000000000e+00,  333556964, 5.36875738096035004e+08, 0.00000000000000000e+00,  176418267
 7, 5.36879164741146088e+08, 8980569698, 5.36879164741146088e+08, 0.00000000000000000e+00, 1224110646, 5.36879164741146088e+08, 0.00000000000000000e+00,  628877982, 5.36879164741146088e+08, 0.00000000000000000e+00,  332482120, 5.36879164741146088e+08, 0.00000000000000000e+00,  177355713
 8, 5.36882335197429657e+08, 8966461537, 5.36882335197429657e+08, 0.00000000000000000e+00, 1224892583, 5.36882335197429657e+08, 0.00000000000000000e+00,  628593475, 5.36882335197429657e+08, 0.00000000000000000e+00,  331984100, 5.36882335197429657e+08, 0.00000000000000000e+00,  175099360
 9, 5.36874325883289337e+08, 8997155585, 5.36874325883289337e+08, 0.00000000000000000e+00, 1225377303, 5.36874325883289337e+08, 0.00000000000000000e+00,  628855981, 5.36874325883289337e+08, 0.00000000000000000e+00,  333261441, 5.36874325883289337e+08, 0.00000000000000000e+00,  178233913
10, 5.36875281594692230e+08, 8974466596, 5.36875281594692230e+08, 0.00000000000000000e+00, 1224734477, 5.36875281594692230e+08, 0.00000000000000000e+00,  627805904, 5.36875281594692230e+08, 0.00000000000000000e+00,  332015993, 5.36875281594692230e+08, 0.00000000000000000e+00,  175045254
11, 5.36872649261348724e+08, 8924688758, 5.36872649261348724e+08, 0.00000000000000000e+00, 1224693773, 5.36872649261348724e+08, 0.00000000000000000e+00,  628508629, 5.36872649261348724e+08, 0.00000000000000000e+00,  333682293, 5.36872649261348724e+08, 0.00000000000000000e+00,  179231148
12, 5.36881676851123810e+08, 8997612732, 5.36881676851123810e+08, 0.00000000000000000e+00, 1224923945, 5.36881676851123810e+08, 0.00000000000000000e+00,  628810135, 5.36881676851123810e+08, 0.00000000000000000e+00,  332339029, 5.36881676851123810e+08, 0.00000000000000000e+00,  175136265
13, 5.36873660930561066e+08, 9009353913, 5.36873660930561066e+08, 0.00000000000000000e+00, 1224407311, 5.36873660930561066e+08, 0.00000000000000000e+00,  629080209, 5.36873660930561066e+08, 0.00000000000000000e+00,  333134437, 5.36873660930561066e+08, 0.00000000000000000e+00,  176354250
14, 5.36895797038616180e+08, 8985855974, 5.36895797038616180e+08, 0.00000000000000000e+00, 1224391816, 5.36895797038616180e+08, 0.00000000000000000e+00,  628575292, 5.36895797038616180e+08, 0.00000000000000000e+00,  333072554, 5.36895797038616180e+08, 0.00000000000000000e+00,  176987202
15, 5.36869921697368622e+08, 9005579831, 5.36869921697368622e+08, 0.00000000000000000e+00, 1224627159, 5.36869921697368622e+08, 0.00000000000000000e+00,  628661732, 5.36869921697368622e+08, 0.00000000000000000e+00,  333109490, 5.36869921697368622e+08, 0.00000000000000000e+00,  175735700
16, 5.36874387460079193e+08, 8928298931, 5.36874387460079193e+08, 0.00000000000000000e+00, 1224606783, 5.36874387460079193e+08, 0.00000000000000000e+00,  628659316, 5.36874387460079193e+08, 0.00000000000000000e+00,  332872612, 5.36874387460079193e+08, 0.00000000000000000e+00,  175472572
17, 5.36869262083011627e+08, 8997889120, 5.36869262083011627e+08, 0.00000000000000000e+00, 1224886760, 5.36869262083011627e+08, 0.00000000000000000e+00,  628685157, 5.36869262083011627e+08, 0.00000000000000000e+00,  332243669, 5.36869262083011627e+08, 0.00000000000000000e+00,  175092073
18, 5.36872237541294098e+08, 8996209499, 5.36872237541294098e+08, 0.00000000000000000e+00, 1224853703, 5.36872237541294098e+08, 0.00000000000000000e+00,  628547378, 5.36872237541294098e+08, 0.00000000000000000e+00,  332293444, 5.36872237541294098e+08, 0.00000000000000000e+00,  178109405
19, 5.36876699549594879e+08, 8979085539, 5.36876699549594879e+08, 0.00000000000000000e+00, 1225354630, 5.36876699549594879e+08, 0.00000000000000000e+00,  628719867, 5.36876699549594879e+08, 0.00000000000000000e+00,  332838714, 5.36876699549594879e+08, 0.00000000000000000e+00,  179198152
20, 5.36881690732311249e+08, 8918077501, 5.36881690732311249e+08, 0.00000000000000000e+00, 1226155942, 5.36881690732311249e+08, 0.00000000000000000e+00,  628753825, 5.36881690732311249e+08, 0.00000000000000000e+00,  332693759, 5.36881690732311249e+08, 0.00000000000000000e+00,  177561950
21, 5.36849861772975922e+08, 8965278704, 5.36849861772975922e+08, 0.00000000000000000e+00, 1224855346, 5.36849861772975922e+08, 0.00000000000000000e+00,  628705303, 5.36849861772975922e+08, 0.00000000000000000e+00,  333469993, 5.36849861772975922e+08, 0.00000000000000000e+00,  175410369
22, 5.36881618380153656e+08, 8974427144, 5.36881618380153656e+08, 0.00000000000000000e+00, 1224574337, 5.36881618380153656e+08, 0.00000000000000000e+00,  628763557, 5.36881618380153656e+08, 0.00000000000000000e+00,  333442790, 5.36881618380153656e+08, 0.00000000000000000e+00,  175886299
23, 5.36864247649936676e+08, 8952269893, 5.36864247649936676e+08, 0.00000000000000000e+00, 1224571100, 5.36864247649936676e+08, 0.00000000000000000e+00,  629127549, 5.36864247649936676e+08, 0.00000000000000000e+00,  332683435, 5.36864247649936676e+08, 0.00000000000000000e+00,  175540870
24, 5.36873489234195709e+08, 8999683907, 5.36873489234195709e+08, 0.00000000000000000e+00, 1224847709, 5.36873489234195709e+08, 0.00000000000000000e+00,  628493955, 5.36873489234195709e+08, 0.00000000000000000e+00,  332382881, 5.36873489234195709e+08, 0.00000000000000000e+00,  177950027
25, 5.36869324086353302e+08, 8991849905, 5.36869324086353302e+08, 0.00000000000000000e+00, 1224422346, 5.36869324086353302e+08, 0.00000000000000000e+00,  628413769, 5.36869324086353302e+08, 0.00000000000000000e+00,  332187539, 5.36869324086353302e+08, 0.00000000000000000e+00,  180547199
26, 5.36870571128505707e+08, 8911229818, 5.36870571128505707e+08, 0.00000000000000000e+00, 1224867495, 5.36870571128505707e+08, 0.00000000000000000e+00,  628635702, 5.36870571128505707e+08, 0.00000000000000000e+00,  332483553, 5.36870571128505707e+08, 0.00000000000000000e+00,  178491419
