"p≈e", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 1.29558906068904821e+03, 1168772583034, 1.29558906068904844e+03, 1.58074814162971422e+00,    8320355665, 1.29558906068904844e+03, 1.58074814162971422e+00,    5695859738, 1.29558906068904821e+03, 0.00000000000000000e+00,    2800599979, 1.29558906068904844e+03, 1.58074814162971422e+00,    1276384591
 2, 1.29557378923848205e+03, 1166362277237, 1.29557378923848205e+03, 0.00000000000000000e+00,    8322239990, 1.29557378923848228e+03, 1.58076677454534043e+00,    5697739472, 1.29557378923848228e+03, 1.58076677454534043e+00,    2799547647, 1.29557378923848228e+03, 1.58076677454534043e+00,    1277100284
 3, 1.29556704341757541e+03, 1168287015054, 1.29556704341757541e+03, 0.00000000000000000e+00,    8322580596, 1.29556704341757563e+03, 1.58077500535794901e+00,    5696870423, 1.29556704341757563e+03, 1.58077500535794901e+00,    2806406396, 1.29556704341757563e+03, 1.58077500535794901e+00,    1281287531
 4, 1.29557667960803815e+03, 1183577439610, 1.29557667960803815e+03, 0.00000000000000000e+00,    8320200507, 1.29557667960803815e+03, 0.00000000000000000e+00,    5694464403, 1.29557667960803815e+03, 0.00000000000000000e+00,    2804306484, 1.29557667960803815e+03, 0.00000000000000000e+00,    1280598658
 5, 1.29559716885763714e+03, 1177758222418, 1.29559716885763714e+03, 0.00000000000000000e+00,    8320173374, 1.29559716885763714e+03, 0.00000000000000000e+00,    5695843550, 1.29559716885763714e+03, 0.00000000000000000e+00,    2804531333, 1.29559716885763692e+03, 1.58073824891557657e+00,    1281157069
 6, 1.29558445324440595e+03, 1170027430557, 1.29558445324440595e+03, 0.00000000000000000e+00,    8320692484, 1.29558445324440618e+03, 1.58075376319266026e+00,    5695847349, 1.29558445324440595e+03, 0.00000000000000000e+00,    2804584497, 1.29558445324440595e+03, 0.00000000000000000e+00,    1280615819
 7, 1.29559115435060926e+03, 1168826940153, 1.29559115435060926e+03, 0.00000000000000000e+00,    8320628956, 1.29559115435060926e+03, 0.00000000000000000e+00,    5694573335, 1.29559115435060926e+03, 0.00000000000000000e+00,    2804595131, 1.29559115435060926e+03, 0.00000000000000000e+00,    1280350294
 8, 1.29560086372072101e+03, 1173252810488, 1.29560086372072055e+03, 3.16146748176522641e+00,    8320003982, 1.29560086372072101e+03, 0.00000000000000000e+00,    5693590203, 1.29560086372072101e+03, 0.00000000000000000e+00,    2803191277, 1.29560086372072101e+03, 0.00000000000000000e+00,    1281220035
 9, 1.29558055531592299e+03, 1171586540650, 1.29558055531592322e+03, 1.58075851910312282e+00,    8320277415, 1.29558055531592299e+03, 0.00000000000000000e+00,    5696014665, 1.29558055531592299e+03, 0.00000000000000000e+00,    2804011161, 1.29558055531592322e+03, 1.58075851910312282e+00,    1281910139
10, 1.29559121740910405e+03, 1168183351368, 1.29559121740910405e+03, 0.00000000000000000e+00,    8320750187, 1.29559121740910427e+03, 1.58074551022007315e+00,    5695513748, 1.29559121740910427e+03, 1.58074551022007315e+00,    2803337324, 1.29559121740910405e+03, 0.00000000000000000e+00,    1280909065
11, 1.29558161346564793e+03, 1155774432296, 1.29558161346564793e+03, 0.00000000000000000e+00,    8320686119, 1.29558161346564793e+03, 0.00000000000000000e+00,    5695866563, 1.29558161346564793e+03, 0.00000000000000000e+00,    2801795742, 1.29558161346564793e+03, 0.00000000000000000e+00,    1280944729
12, 1.29559451671263650e+03, 1165550045833, 1.29559451671263650e+03, 0.00000000000000000e+00,    8320598957, 1.29559451671263673e+03, 1.58074148476366805e+00,    5696888695, 1.29559451671263673e+03, 1.58074148476366805e+00,    2803694018, 1.29559451671263673e+03, 1.58074148476366805e+00,    1276438986
13, 1.29558030659232122e+03, 1174484962776, 1.29558030659232099e+03, 1.58075882257481837e+00,    8322763780, 1.29558030659232122e+03, 0.00000000000000000e+00,    5696314900, 1.29558030659232122e+03, 0.00000000000000000e+00,    2804674966, 1.29558030659232122e+03, 0.00000000000000000e+00,    1281034576
14, 1.29562942107765480e+03, 1167453099220, 1.29562942107765480e+03, 0.00000000000000000e+00,    8321548391, 1.29562942107765480e+03, 0.00000000000000000e+00,    5697521879, 1.29562942107765480e+03, 0.00000000000000000e+00,    2803738141, 1.29562942107765480e+03, 0.00000000000000000e+00,    1281439522
15, 1.29557483761173307e+03, 1156380270858, 1.29557483761173330e+03, 1.58076549539607458e+00,    8320050330, 1.29557483761173307e+03, 0.00000000000000000e+00,    5695717559, 1.29557483761173307e+03, 0.00000000000000000e+00,    2805140451, 1.29557483761173307e+03, 0.00000000000000000e+00,    1282056077
16, 1.29558553649190230e+03, 1178144776478, 1.29558553649190208e+03, 1.58075244151415428e+00,    8320987375, 1.29558553649190230e+03, 0.00000000000000000e+00,    5694939591, 1.29558553649190253e+03, 1.58075244151415428e+00,    2804535894, 1.29558553649190230e+03, 0.00000000000000000e+00,    1282640096
17, 1.29557772187584396e+03, 1176167053423, 1.29557772187584374e+03, 1.58076197623615911e+00,    8322460469, 1.29557772187584419e+03, 1.58076197623615911e+00,    5695927975, 1.29557772187584396e+03, 0.00000000000000000e+00,    2802108645, 1.29557772187584374e+03, 1.58076197623615911e+00,    1281717864
18, 1.29558590635878159e+03, 1167353151832, 1.29558590635878159e+03, 0.00000000000000000e+00,    8321085782, 1.29558590635878159e+03, 0.00000000000000000e+00,    5696853063, 1.29558590635878181e+03, 1.58075199023726909e+00,    2804804144, 1.29558590635878159e+03, 0.00000000000000000e+00,    1280609123
19, 1.29558660358073871e+03, 1166966675081, 1.29558660358073871e+03, 0.00000000000000000e+00,    8321868270, 1.29558660358073871e+03, 0.00000000000000000e+00,    5694659113, 1.29558660358073871e+03, 0.00000000000000000e+00,    2804669674, 1.29558660358073871e+03, 0.00000000000000000e+00,    1281589268
20, 1.29560617592753351e+03, 1169566160224, 1.29560617592753374e+03, 1.58072725960404026e+00,    8322244049, 1.29560617592753351e+03, 0.00000000000000000e+00,    5697094701, 1.29560617592753351e+03, 0.00000000000000000e+00,    2804815390, 1.29560617592753351e+03, 0.00000000000000000e+00,    1282142526
21, 1.29555850182215454e+03, 1148116146022, 1.29555850182215454e+03, 0.00000000000000000e+00,    8322316015, 1.29555850182215454e+03, 0.00000000000000000e+00,    5696142431, 1.29555850182215454e+03, 0.00000000000000000e+00,    2803336663, 1.29555850182215477e+03, 1.58078542738098249e+00,    1281189173
22, 1.29560691784285177e+03, 1167412730145, 1.29560691784285177e+03, 0.00000000000000000e+00,    8322188500, 1.29560691784285154e+03, 1.58072635441763554e+00,    5699602416, 1.29560691784285200e+03, 1.58072635441763554e+00,    2803981794, 1.29560691784285177e+03, 0.00000000000000000e+00,    1280091466
23, 1.29557375502897798e+03, 1169258897170, 1.29557375502897776e+03, 1.58076681628533966e+00,    8322426681, 1.29557375502897798e+03, 0.00000000000000000e+00,    5698910097, 1.29557375502897776e+03, 1.58076681628533966e+00,    2804791143, 1.29557375502897798e+03, 0.00000000000000000e+00,    1282202464
24, 1.29559050941241480e+03, 1171533247841, 1.29559050941241480e+03, 0.00000000000000000e+00,    8319877571, 1.29559050941241458e+03, 1.58074637404439100e+00,    5695127897, 1.29559050941241480e+03, 0.00000000000000000e+00,    2804293814, 1.29559050941241480e+03, 0.00000000000000000e+00,    1281739184
25, 1.29557920290479046e+03, 1149561620625, 1.29557920290479046e+03, 0.00000000000000000e+00,    8322139607, 1.29557920290479069e+03, 1.58076016920325890e+00,    5694499004, 1.29557920290479046e+03, 0.00000000000000000e+00,    2805469501, 1.29557920290479069e+03, 1.58076016920325890e+00,    1282127922
26, 1.29557456559322122e+03, 1171470228246, 1.29557456559322122e+03, 0.00000000000000000e+00,    8319806286, 1.29557456559322122e+03, 0.00000000000000000e+00,    5695687340, 1.29557456559322100e+03, 1.58076582729320259e+00,    2804476126, 1.29557456559322122e+03, 0.00000000000000000e+00,    1282112126
27, 1.29557239161002917e+03, 1178801769197, 1.29557239161002894e+03, 1.58076847983377955e+00,    8319959790, 1.29557239161002917e+03, 0.00000000000000000e+00,    5695878882, 1.29557239161002917e+03, 0.00000000000000000e+00,    2803898872, 1.29557239161002940e+03, 1.58076847983377955e+00,    1280515998
28, 1.29559410351828865e+03, 1177278343573, 1.29559410351828865e+03, 0.00000000000000000e+00,    8322142384, 1.29559410351828888e+03, 1.58074198889798390e+00,    5697491578, 1.29559410351828888e+03, 1.58074198889798390e+00,    2805167514, 1.29559410351828888e+03, 1.58074198889798390e+00,    1281379122
29, 1.29560512563861607e+03, 1168288409626, 1.29560512563861607e+03, 0.00000000000000000e+00,    8322039156, 1.29560512563861630e+03, 1.58072854102867288e+00,    5696416354, 1.29560512563861607e+03, 0.00000000000000000e+00,    2804715068, 1.29560512563861607e+03, 0.00000000000000000e+00,    1281993161
30, 1.29558040713887817e+03, 1167526595385, 1.29558040713887817e+03, 0.00000000000000000e+00,    8320923037, 1.29558040713887817e+03, 0.00000000000000000e+00,    5696301108, 1.29558040713887817e+03, 0.00000000000000000e+00,    2803676618, 1.29558040713887840e+03, 1.58075869989632145e+00,    1281285816
31, 1.29558788731275581e+03, 1177767250591, 1.29558788731275581e+03, 0.00000000000000000e+00,    8319878603, 1.29558788731275604e+03, 1.58074957326736065e+00,    5695864859, 1.29558788731275581e+03, 0.00000000000000000e+00,    2804608242, 1.29558788731275604e+03, 1.58074957326736065e+00,    1280950862
