"pŹ", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 4.76624080370637557e+02, 1174061402443, 4.76624080370637614e+02, 1.07422184712499846e+00,    8381405189, 4.76624080370637614e+02, 1.07422184712499846e+00,    5695685746, 4.76624080370637557e+02, 0.00000000000000000e+00,    2802872841, 4.76624080370637614e+02, 1.07422184712499846e+00,    1280591712
 2, 4.76619033248238566e+02, 1171705977816, 4.76619033248238566e+02, 0.00000000000000000e+00,    8380723373, 4.76619033248238622e+02, 1.07423322251869435e+00,    5694696008, 4.76619033248238622e+02, 1.07423322251869435e+00,    2803253290, 4.76619033248238509e+02, 1.07423322251869435e+00,    1281265530
 3, 4.76617122654642515e+02, 1173974666754, 4.76617122654642458e+02, 1.07423752874903733e+00,    8383540082, 4.76617122654642458e+02, 1.07423752874903733e+00,    5696001605, 4.76617122654642515e+02, 0.00000000000000000e+00,    2803472737, 4.76617122654642515e+02, 0.00000000000000000e+00,    1280835415
 4, 4.76620288662874316e+02, 1188706543668, 4.76620288662874373e+02, 1.07423039299560874e+00,    8381549622, 4.76620288662874373e+02, 1.07423039299560874e+00,    5695265264, 4.76620288662874373e+02, 1.07423039299560874e+00,    2801359725, 4.76620288662874430e+02, 2.14846078599121748e+00,    1278780757
 5, 4.76627109228133577e+02, 1183184373051, 4.76627109228133634e+02, 1.07421502068808161e+00,    8383444231, 4.76627109228133634e+02, 1.07421502068808161e+00,    5695564535, 4.76627109228133577e+02, 0.00000000000000000e+00,    2800133441, 4.76627109228133520e+02, 1.07421502068808161e+00,    1277221895
 6, 4.76622366015731131e+02, 1174825233184, 4.76622366015731131e+02, 0.00000000000000000e+00,    8380912600, 4.76622366015731131e+02, 0.00000000000000000e+00,    5694944223, 4.76622366015731188e+02, 1.07422571097534525e+00,    2803499850, 4.76622366015731131e+02, 0.00000000000000000e+00,    1279718925
 7, 4.76624796682697649e+02, 1173947494104, 4.76624796682697649e+02, 0.00000000000000000e+00,    8382007560, 4.76624796682697706e+02, 1.07422023269354283e+00,    5695327758, 4.76624796682697649e+02, 0.00000000000000000e+00,    2803746130, 4.76624796682697763e+02, 2.14844046538708566e+00,    1280405051
 8, 4.76628241968486350e+02, 1178576842927, 4.76628241968486350e+02, 0.00000000000000000e+00,    8380804130, 4.76628241968486464e+02, 2.14842493548190694e+00,    5695581074, 4.76628241968486350e+02, 0.00000000000000000e+00,    2799663505, 4.76628241968486350e+02, 0.00000000000000000e+00,    1276634879
 9, 4.76620910466684961e+02, 1176979311370, 4.76620910466684961e+02, 0.00000000000000000e+00,    8382820399, 4.76620910466684961e+02, 0.00000000000000000e+00,    5694952371, 4.76620910466684904e+02, 1.07422899154523765e+00,    2804614245, 4.76620910466684904e+02, 1.07422899154523765e+00,    1281127120
10, 4.76625084586566516e+02, 1173613014397, 4.76625084586566459e+02, 1.07421958381422233e+00,    8381642366, 4.76625084586566629e+02, 2.14843916762844467e+00,    5694355522, 4.76625084586566572e+02, 1.07421958381422233e+00,    2802970247, 4.76625084586566572e+02, 1.07421958381422233e+00,    1279775717
11, 4.76621657473366099e+02, 1162023072991, 4.76621657473366099e+02, 0.00000000000000000e+00,    8381984668, 4.76621657473366156e+02, 1.07422730791164445e+00,    5695556958, 4.76621657473366099e+02, 0.00000000000000000e+00,    2804014068, 4.76621657473366099e+02, 0.00000000000000000e+00,    1280412859
