"p=∞", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 9.99999997958997966e-01, 4073083856, 9.99999997958997966e-01, 0.00000000000000000e+00, 1213634568, 9.99999997958997966e-01, 0.00000000000000000e+00,  609274612, 9.99999997958997966e-01, 0.00000000000000000e+00,  323600997, 9.99999997958997966e-01, 0.00000000000000000e+00,  169200700
 2, 9.99999999254736593e-01, 4066434340, 9.99999999254736593e-01, 0.00000000000000000e+00, 1214580083, 9.99999999254736593e-01, 0.00000000000000000e+00,  609409283, 9.99999999254736593e-01, 0.00000000000000000e+00,  323805250, 9.99999999254736593e-01, 0.00000000000000000e+00,  169362723
 3, 9.99999999825309516e-01, 4071046507, 9.99999999825309516e-01, 0.00000000000000000e+00, 1213402321, 9.99999999825309516e-01, 0.00000000000000000e+00,  609411358, 9.99999999825309516e-01, 0.00000000000000000e+00,  323883901, 9.99999999825309516e-01, 0.00000000000000000e+00,  169104527
 4, 9.99999999791196359e-01, 4074484251, 9.99999999791196359e-01, 0.00000000000000000e+00, 1213228830, 9.99999999791196359e-01, 0.00000000000000000e+00,  609419197, 9.99999999791196359e-01, 0.00000000000000000e+00,  324367629, 9.99999999791196359e-01, 0.00000000000000000e+00,  169774846
 5, 9.99999999914297888e-01, 4062853957, 9.99999999914297888e-01, 0.00000000000000000e+00, 1215204907, 9.99999999914297888e-01, 0.00000000000000000e+00,  609491434, 9.99999999914297888e-01, 0.00000000000000000e+00,  323909951, 9.99999999914297888e-01, 0.00000000000000000e+00,  169805747
 6, 9.99999999068894141e-01, 4066547882, 9.99999999068894141e-01, 0.00000000000000000e+00, 1213499596, 9.99999999068894141e-01, 0.00000000000000000e+00,  609062843, 9.99999999068894141e-01, 0.00000000000000000e+00,  323848098, 9.99999999068894141e-01, 0.00000000000000000e+00,  169380184
 7, 9.99999999532310113e-01, 4072245128, 9.99999999532310113e-01, 0.00000000000000000e+00, 1213019386, 9.99999999532310113e-01, 0.00000000000000000e+00,  609844449, 9.99999999532310113e-01, 0.00000000000000000e+00,  324059176, 9.99999999532310113e-01, 0.00000000000000000e+00,  169264817
 8, 9.99999999571048903e-01, 4081665186, 9.99999999571048903e-01, 0.00000000000000000e+00, 1213266657, 9.99999999571048903e-01, 0.00000000000000000e+00,  609742293, 9.99999999571048903e-01, 0.00000000000000000e+00,  324253214, 9.99999999571048903e-01, 0.00000000000000000e+00,  169249472
 9, 9.99999999577408261e-01, 4073406010, 9.99999999577408261e-01, 0.00000000000000000e+00, 1214442464, 9.99999999577408261e-01, 0.00000000000000000e+00,  609965409, 9.99999999577408261e-01, 0.00000000000000000e+00,  323920777, 9.99999999577408261e-01, 0.00000000000000000e+00,  169572970
10, 9.99999998909860466e-01, 4074031485, 9.99999998909860466e-01, 0.00000000000000000e+00, 1215918215, 9.99999998909860466e-01, 0.00000000000000000e+00,  609292062, 9.99999998909860466e-01, 0.00000000000000000e+00,  324024586, 9.99999998909860466e-01, 0.00000000000000000e+00,  169484024
11, 9.99999998552414837e-01, 4067555611, 9.99999998552414837e-01, 0.00000000000000000e+00, 1212794256, 9.99999998552414837e-01, 0.00000000000000000e+00,  609645810, 9.99999998552414837e-01, 0.00000000000000000e+00,  323550541, 9.99999998552414837e-01, 0.00000000000000000e+00,  169272686
12, 9.99999999375983606e-01, 4072494644, 9.99999999375983606e-01, 0.00000000000000000e+00, 1213205246, 9.99999999375983606e-01, 0.00000000000000000e+00,  609413272, 9.99999999375983606e-01, 0.00000000000000000e+00,  324162736, 9.99999999375983606e-01, 0.00000000000000000e+00,  169459217
13, 9.99999998618090302e-01, 4070184516, 9.99999998618090302e-01, 0.00000000000000000e+00, 1212992444, 9.99999998618090302e-01, 0.00000000000000000e+00,  609207527, 9.99999998618090302e-01, 0.00000000000000000e+00,  323722639, 9.99999998618090302e-01, 0.00000000000000000e+00,  169524989
14, 9.99999999872432710e-01, 4063694288, 9.99999999872432710e-01, 0.00000000000000000e+00, 1215912051, 9.99999999872432710e-01, 0.00000000000000000e+00,  609920926, 9.99999999872432710e-01, 0.00000000000000000e+00,  324704448, 9.99999999872432710e-01, 0.00000000000000000e+00,  170198475
15, 9.99999998415294300e-01, 4070142549, 9.99999998415294300e-01, 0.00000000000000000e+00, 1216130686, 9.99999998415294300e-01, 0.00000000000000000e+00,  610108530, 9.99999998415294300e-01, 0.00000000000000000e+00,  324062564, 9.99999998415294300e-01, 0.00000000000000000e+00,  169980491
16, 9.99999999974281906e-01, 4059803878, 9.99999999974281906e-01, 0.00000000000000000e+00, 1212615423, 9.99999999974281906e-01, 0.00000000000000000e+00,  609772042, 9.99999999974281906e-01, 0.00000000000000000e+00,  324062483, 9.99999999974281906e-01, 0.00000000000000000e+00,  169225156
17, 9.99999999258545103e-01, 4064475935, 9.99999999258545103e-01, 0.00000000000000000e+00, 1215017313, 9.99999999258545103e-01, 0.00000000000000000e+00,  607908154, 9.99999999258545103e-01, 0.00000000000000000e+00,  323994166, 9.99999999258545103e-01, 0.00000000000000000e+00,  169463436
18, 9.99999998770658038e-01, 4070163127, 9.99999998770658038e-01, 0.00000000000000000e+00, 1214664588, 9.99999998770658038e-01, 0.00000000000000000e+00,  609475516, 9.99999998770658038e-01, 0.00000000000000000e+00,  324200954, 9.99999998770658038e-01, 0.00000000000000000e+00,  169931057
19, 9.99999999607208423e-01, 4065788688, 9.99999999607208423e-01, 0.00000000000000000e+00, 1213696972, 9.99999999607208423e-01, 0.00000000000000000e+00,  609720462, 9.99999999607208423e-01, 0.00000000000000000e+00,  323870090, 9.99999999607208423e-01, 0.00000000000000000e+00,  169731195
20, 9.99999999865554656e-01, 4082918281, 9.99999999865554656e-01, 0.00000000000000000e+00, 1214054508, 9.99999999865554656e-01, 0.00000000000000000e+00,  609653678, 9.99999999865554656e-01, 0.00000000000000000e+00,  324132506, 9.99999999865554656e-01, 0.00000000000000000e+00,  169317549
21, 9.99999999826886921e-01, 4063817824, 9.99999999826886921e-01, 0.00000000000000000e+00, 1218418713, 9.99999999826886921e-01, 0.00000000000000000e+00,  609778046, 9.99999999826886921e-01, 0.00000000000000000e+00,  323765698, 9.99999999826886921e-01, 0.00000000000000000e+00,  169464699
22, 9.99999999928906647e-01, 4072229432, 9.99999999928906647e-01, 0.00000000000000000e+00, 1214573768, 9.99999999928906647e-01, 0.00000000000000000e+00,  608804405, 9.99999999928906647e-01, 0.00000000000000000e+00,  323753260, 9.99999999928906647e-01, 0.00000000000000000e+00,  169015551
23, 9.99999999788240501e-01, 4062002820, 9.99999999788240501e-01, 0.00000000000000000e+00, 1213007840, 9.99999999788240501e-01, 0.00000000000000000e+00,  609802152, 9.99999999788240501e-01, 0.00000000000000000e+00,  324357446, 9.99999999788240501e-01, 0.00000000000000000e+00,  169470864
24, 9.99999999678731655e-01, 4066100368, 9.99999999678731655e-01, 0.00000000000000000e+00, 1215913013, 9.99999999678731655e-01, 0.00000000000000000e+00,  609496535, 9.99999999678731655e-01, 0.00000000000000000e+00,  323890236, 9.99999999678731655e-01, 0.00000000000000000e+00,  169219743
25, 9.99999999427370057e-01, 4068299831, 9.99999999427370057e-01, 0.00000000000000000e+00, 1212856991, 9.99999999427370057e-01, 0.00000000000000000e+00,  609659963, 9.99999999427370057e-01, 0.00000000000000000e+00,  323829174, 9.99999999427370057e-01, 0.00000000000000000e+00,  169486360
26, 9.99999999523172534e-01, 4064523424, 9.99999999523172534e-01, 0.00000000000000000e+00, 1214156945, 9.99999999523172534e-01, 0.00000000000000000e+00,  609623709, 9.99999999523172534e-01, 0.00000000000000000e+00,  324488569, 9.99999999523172534e-01, 0.00000000000000000e+00,  169604392
