"p=1/2", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 1.94842924025962848e+17, 396576988474, 1.94842924025962848e+17, 0.00000000000000000e+00,   4737913846, 1.94842924025962784e+17, 2.95859218488534914e+00,   2851322208, 1.94842924025962752e+17, 4.43788827732802371e+00,   1403058819, 1.94842924025962752e+17, 4.43788827732802371e+00,    640442334
 2, 1.94833470147664192e+17, 395891586417, 1.94833470147664192e+17, 0.00000000000000000e+00,   4737783394, 1.94833470147664224e+17, 1.47936787212824417e+00,   2851439199, 1.94833470147664192e+17, 0.00000000000000000e+00,   1402602315, 1.94833470147664192e+17, 0.00000000000000000e+00,    641538898
 3, 1.94837873715059584e+17, 397246710619, 1.94837873715059584e+17, 0.00000000000000000e+00,   4738493285, 1.94837873715059616e+17, 1.47933443665698139e+00,   2852046331, 1.94837873715059552e+17, 1.47933443665698139e+00,   1401254701, 1.94837873715059552e+17, 1.47933443665698139e+00,    639851299
 4, 1.94829684105055264e+17, 395843298724, 1.94829684105055296e+17, 1.47939662005658912e+00,   4738907091, 1.94829684105055296e+17, 1.47939662005658912e+00,   2851984177, 1.94829684105055328e+17, 2.95879324011317824e+00,   1403391809, 1.94829684105055296e+17, 1.47939662005658912e+00,    640740484
 5, 1.94846956471597664e+17, 396841952524, 1.94846956471597632e+17, 1.47926547774291950e+00,   4739141011, 1.94846956471597568e+17, 4.43779643322875827e+00,   2851814285, 1.94846956471597632e+17, 1.47926547774291950e+00,   1402901165, 1.94846956471597664e+17, 0.00000000000000000e+00,    641348308
 6, 1.94834285931098848e+17, 390227111012, 1.94834285931098880e+17, 1.47936167792172601e+00,   4736887995, 1.94834285931098816e+17, 1.47936167792172601e+00,   2852068563, 1.94834285931098880e+17, 1.47936167792172601e+00,   1402338745, 1.94834285931098880e+17, 1.47936167792172601e+00,    640899300
 7, 1.94835506392520160e+17, 391916580098, 1.94835506392520160e+17, 0.00000000000000000e+00,   4738569972, 1.94835506392520192e+17, 1.47935241111050919e+00,   2852371703, 1.94835506392520160e+17, 0.00000000000000000e+00,   1402659627, 1.94835506392520160e+17, 0.00000000000000000e+00,    640864912
 8, 1.94833545328766144e+17, 394634684667, 1.94833545328766176e+17, 1.47936730127938620e+00,   4737394595, 1.94833545328766176e+17, 1.47936730127938620e+00,   2852481507, 1.94833545328766144e+17, 0.00000000000000000e+00,   1403005676, 1.94833545328766144e+17, 0.00000000000000000e+00,    640786831
 9, 1.94823396530250912e+17, 397048061881, 1.94823396530250848e+17, 2.95888872984469486e+00,   4735706024, 1.94823396530250912e+17, 0.00000000000000000e+00,   2852310692, 1.94823396530250976e+17, 2.95888872984469486e+00,   1403462012, 1.94823396530250976e+17, 2.95888872984469486e+00,    640703177
10, 1.94835884475474976e+17, 391543735038, 1.94835884475474944e+17, 1.47934954039738420e+00,   4737553814, 1.94835884475475008e+17, 1.47934954039738420e+00,   2851886612, 1.94835884475474944e+17, 1.47934954039738420e+00,   1403433044, 1.94835884475474944e+17, 1.47934954039738420e+00,    640835052
11, 1.94827888287072032e+17, 392361381456, 1.94827888287072064e+17, 1.47941025633360268e+00,   4740495360, 1.94827888287072000e+17, 1.47941025633360268e+00,   2851769261, 1.94827888287072032e+17, 0.00000000000000000e+00,   1402514332, 1.94827888287072064e+17, 1.47941025633360268e+00,    640647839
12, 1.94836026558954688e+17, 392193488459, 1.94836026558954688e+17, 0.00000000000000000e+00,   4740010079, 1.94836026558954624e+17, 2.95869692317398192e+00,   2851637436, 1.94836026558954656e+17, 1.47934846158699096e+00,   1403355294, 1.94836026558954592e+17, 4.43804538476097310e+00,    640860732
13, 1.94830909862550112e+17, 383010974557, 1.94830909862550112e+17, 0.00000000000000000e+00,   4740234539, 1.94830909862550112e+17, 0.00000000000000000e+00,   2852134515, 1.94830909862550112e+17, 0.00000000000000000e+00,   1402539078, 1.94830909862550112e+17, 0.00000000000000000e+00,    640671815
14, 1.94845508915799136e+17, 382779677626, 1.94845508915799136e+17, 0.00000000000000000e+00,   4738913666, 1.94845508915799136e+17, 0.00000000000000000e+00,   2852716540, 1.94845508915799136e+17, 0.00000000000000000e+00,   1403599509, 1.94845508915799168e+17, 1.47927646757446229e+00,    640569158
15, 1.94839447846218080e+17, 391105478194, 1.94839447846218080e+17, 0.00000000000000000e+00,   4736492381, 1.94839447846218080e+17, 0.00000000000000000e+00,   2850832275, 1.94839447846218112e+17, 1.47932248493746910e+00,   1403418100, 1.94839447846218112e+17, 1.47932248493746910e+00,    640725419
16, 1.94836874560802048e+17, 392843196143, 1.94836874560802048e+17, 0.00000000000000000e+00,   4740138215, 1.94836874560802016e+17, 1.47934202291755978e+00,   2852664930, 1.94836874560802080e+17, 1.47934202291755978e+00,   1403616528, 1.94836874560802016e+17, 1.47934202291755978e+00,    642197932
17, 1.94838975616579744e+17, 393611015100, 1.94838975616579808e+17, 2.95865214071865523e+00,   4738046973, 1.94838975616579776e+17, 1.47932607035932762e+00,   2852261909, 1.94838975616579744e+17, 0.00000000000000000e+00,   1404154772, 1.94838975616579744e+17, 0.00000000000000000e+00,    641163702
