"p≈2/3", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 8.94100086166183789e+12, 593754962811, 8.94100086166183594e+12, 1.96758576770187132e+00,   4620024627, 8.94100086166183594e+12, 1.96758576770187132e+00,   2851264304, 8.94100086166183984e+12, 1.96758576770187132e+00,   1402471973, 8.94100086166183594e+12, 1.96758576770187132e+00,    641275219
 2, 8.94060327160429102e+12, 593890290677, 8.94060327160428906e+12, 1.96767326655567842e+00,   4620551084, 8.94060327160429297e+12, 1.96767326655567842e+00,   2850394715, 8.94060327160429102e+12, 0.00000000000000000e+00,   1402220061, 8.94060327160428906e+12, 1.96767326655567842e+00,    640795191
 3, 8.94077855424308203e+12, 594600279690, 8.94077855424308398e+12, 1.96763469061283991e+00,   4620884153, 8.94077855424308008e+12, 1.96763469061283991e+00,   2852102852, 8.94077855424308008e+12, 1.96763469061283991e+00,   1402269947, 8.94077855424308203e+12, 0.00000000000000000e+00,    640612408
 4, 8.94048371276138477e+12, 593126845407, 8.94048371276138281e+12, 1.96769957975600684e+00,   4620697843, 8.94048371276138281e+12, 1.96769957975600684e+00,   2851792415, 8.94048371276138477e+12, 0.00000000000000000e+00,   1402209296, 8.94048371276138477e+12, 0.00000000000000000e+00,    640738158
 5, 8.94116966366566797e+12, 594461277504, 8.94116966366566797e+12, 0.00000000000000000e+00,   4619750614, 8.94116966366566602e+12, 1.96754862128447972e+00,   2852009516, 8.94116966366566797e+12, 0.00000000000000000e+00,   1402444510, 8.94116966366566602e+12, 1.96754862128447972e+00,    641013886
 6, 8.94063329537750391e+12, 587128357416, 8.94063329537750195e+12, 1.96766665886090331e+00,   4620828765, 8.94063329537750000e+12, 3.93533331772180661e+00,   2851250763, 8.94063329537750391e+12, 0.00000000000000000e+00,   1402032578, 8.94063329537750391e+12, 0.00000000000000000e+00,    640794629
 7, 8.94069972669855078e+12, 589091172330, 8.94069972669854883e+12, 1.96765203867461769e+00,   4620241569, 8.94069972669855078e+12, 0.00000000000000000e+00,   2851735823, 8.94069972669855078e+12, 0.00000000000000000e+00,   1402522521, 8.94069972669854883e+12, 1.96765203867461769e+00,    640647880
 8, 8.94063336367927930e+12, 591768119812, 8.94063336367927734e+12, 1.96766664382895629e+00,   4621361205, 8.94063336367927734e+12, 1.96766664382895629e+00,   2851927587, 8.94063336367927734e+12, 1.96766664382895629e+00,   1402251554, 8.94063336367927930e+12, 0.00000000000000000e+00,    641058779
 9, 8.94017944031873047e+12, 595200310231, 8.94017944031873047e+12, 0.00000000000000000e+00,   4620371980, 8.94017944031873047e+12, 0.00000000000000000e+00,   2851178757, 8.94017944031873047e+12, 0.00000000000000000e+00,   1402021893, 8.94017944031872852e+12, 1.96776654896636094e+00,    640580705
10, 8.94074784788057031e+12, 588955140588, 8.94074784788056641e+12, 3.93528289662844655e+00,   4621673447, 8.94074784788057031e+12, 0.00000000000000000e+00,   2852210871, 8.94074784788057031e+12, 0.00000000000000000e+00,   1401763627, 8.94074784788057031e+12, 0.00000000000000000e+00,    640994902
11, 8.94038052522694922e+12, 589544094142, 8.94038052522694922e+12, 0.00000000000000000e+00,   4620794406, 8.94038052522694727e+12, 1.96772229043007396e+00,   2851727946, 8.94038052522694922e+12, 0.00000000000000000e+00,   1401718973, 8.94038052522694922e+12, 0.00000000000000000e+00,    641970275
12, 8.94074756041369141e+12, 589635802182, 8.94074756041368945e+12, 1.96764151157870337e+00,   4620395233, 8.94074756041368945e+12, 1.96764151157870337e+00,   2851187808, 8.94074756041369141e+12, 0.00000000000000000e+00,   1401974534, 8.94074756041369336e+12, 1.96764151157870337e+00,    641275651
13, 8.94059515911680664e+12, 580991064213, 8.94059515911680469e+12, 1.96767505197649917e+00,   4620394532, 8.94059515911680664e+12, 0.00000000000000000e+00,   2853036901, 8.94059515911680664e+12, 0.00000000000000000e+00,   1403663126, 8.94059515911680469e+12, 1.96767505197649917e+00,    640394153
14, 8.94118274278720117e+12, 581603949188, 8.94118274278719922e+12, 1.96754574316328701e+00,   4622617037, 8.94118274278719922e+12, 1.96754574316328701e+00,   2851819828, 8.94118274278720117e+12, 0.00000000000000000e+00,   1402250231, 8.94118274278720312e+12, 1.96754574316328701e+00,    640663165
15, 8.94085533512301172e+12, 587978593361, 8.94085533512300977e+12, 1.96761779326719854e+00,   4620627019, 8.94085533512301172e+12, 0.00000000000000000e+00,   2851173504, 8.94085533512300977e+12, 1.96761779326719854e+00,   1402244408, 8.94085533512300977e+12, 1.96761779326719854e+00,    639970344
16, 8.94073268517240039e+12, 589609398538, 8.94073268517240039e+12, 0.00000000000000000e+00,   4620373643, 8.94073268517240234e+12, 1.96764478526367848e+00,   2851736926, 8.94073268517240039e+12, 0.00000000000000000e+00,   1402229072, 8.94073268517240039e+12, 0.00000000000000000e+00,    639733136
17, 8.94079253013101953e+12, 590826872828, 8.94079253013101758e+12, 1.96763161488528593e+00,   4620554521, 8.94079253013101953e+12, 0.00000000000000000e+00,   2852680718, 8.94079253013101953e+12, 0.00000000000000000e+00,   1402405169, 8.94079253013101953e+12, 0.00000000000000000e+00,    641174327
18, 8.94055274248624219e+12, 589157797176, 8.94055274248624219e+12, 0.00000000000000000e+00,   4621371038, 8.94055274248624219e+12, 0.00000000000000000e+00,   2852691171, 8.94055274248624219e+12, 0.00000000000000000e+00,   1401847962, 8.94055274248624219e+12, 0.00000000000000000e+00,    640038732
19, 8.94086693853050391e+12, 594507641672, 8.94086693853050391e+12, 0.00000000000000000e+00,   4625313428, 8.94086693853050391e+12, 0.00000000000000000e+00,   2852457591, 8.94086693853050391e+12, 0.00000000000000000e+00,   1402451756, 8.94086693853050195e+12, 1.96761523970374652e+00,    640927054
20, 8.94051171380715625e+12, 588610163635, 8.94051171380715625e+12, 0.00000000000000000e+00,   4619948441, 8.94051171380715625e+12, 0.00000000000000000e+00,   2852663818, 8.94051171380715625e+12, 0.00000000000000000e+00,   1402400077, 8.94051171380715625e+12, 0.00000000000000000e+00,    640653072
