"p=1", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 4.28369280805924416e+08, 4733269714, 4.28369280805924416e+08, 0.00000000000000000e+00,  613506441, 4.28369280805924416e+08, 0.00000000000000000e+00,  315188488, 4.28369280805924416e+08, 0.00000000000000000e+00,  167293341, 4.28369280805924416e+08, 0.00000000000000000e+00,   91130244
 2, 4.28353326439527094e+08, 4701373328, 4.28353326439527035e+08, 1.25333662390921785e+00,  613475650, 4.28353326439527094e+08, 0.00000000000000000e+00,  315174465, 4.28353326439527094e+08, 0.00000000000000000e+00,  166849737, 4.28353326439527035e+08, 1.25333662390921785e+00,   89869340
 3, 4.28359892124478877e+08, 4728214041, 4.28359892124478936e+08, 1.25331741339590330e+00,  613627350, 4.28359892124478936e+08, 1.25331741339590330e+00,  315134543, 4.28359892124478877e+08, 0.00000000000000000e+00,  167512738, 4.28359892124478936e+08, 1.25331741339590330e+00,   90027987
 4, 4.28350716725350440e+08, 4732939761, 4.28350716725350440e+08, 0.00000000000000000e+00,  613503284, 4.28350716725350440e+08, 0.00000000000000000e+00,  315113425, 4.28350716725350440e+08, 0.00000000000000000e+00,  167037640, 4.28350716725350440e+08, 0.00000000000000000e+00,   91550485
 5, 4.28375953528449595e+08, 4742872664, 4.28375953528449595e+08, 0.00000000000000000e+00,  613322596, 4.28375953528449535e+08, 1.25327042187568760e+00,  315207762, 4.28375953528449535e+08, 1.25327042187568760e+00,  166974926, 4.28375953528449535e+08, 1.25327042187568760e+00,   91083776
 6, 4.28354035150100887e+08, 4732154105, 4.28354035150100887e+08, 0.00000000000000000e+00,  613463021, 4.28354035150100887e+08, 0.00000000000000000e+00,  315140758, 4.28354035150100887e+08, 0.00000000000000000e+00,  167160355, 4.28354035150100887e+08, 0.00000000000000000e+00,   89901866
 7, 4.28358187322790027e+08, 4695179495, 4.28358187322790027e+08, 0.00000000000000000e+00,  613848833, 4.28358187322790027e+08, 0.00000000000000000e+00,  315084067, 4.28358187322790027e+08, 0.00000000000000000e+00,  166995503, 4.28358187322790027e+08, 0.00000000000000000e+00,   90547357
 8, 4.28356733716181159e+08, 4742735076, 4.28356733716181159e+08, 0.00000000000000000e+00,  614422818, 4.28356733716181159e+08, 0.00000000000000000e+00,  315157436, 4.28356733716181159e+08, 0.00000000000000000e+00,  167085852, 4.28356733716181159e+08, 0.00000000000000000e+00,   91687582
 9, 4.28336309849508345e+08, 4730207869, 4.28336309849508345e+08, 0.00000000000000000e+00,  613660868, 4.28336309849508286e+08, 1.25338641542815776e+00,  315149618, 4.28336309849508286e+08, 1.25338641542815776e+00,  167049098, 4.28336309849508286e+08, 1.25338641542815776e+00,   90628424
10, 4.28362029437826276e+08, 4707940453, 4.28362029437826276e+08, 0.00000000000000000e+00,  613331276, 4.28362029437826276e+08, 0.00000000000000000e+00,  315090481, 4.28362029437826276e+08, 0.00000000000000000e+00,  167425608, 4.28362029437826276e+08, 0.00000000000000000e+00,   90093738
