"pŹ", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 7.15413184144017578e+02, 586249672851, 7.15413184144017578e+02, 0.00000000000000000e+00, 4186842470, 7.15413184144017691e+02, 1.43134068912247181e+00, 2859317814, 7.15413184144017578e+02, 0.00000000000000000e+00, 1401632393, 7.15413184144017691e+02, 1.43134068912247181e+00, 641542036
 2, 7.15404475359863909e+02, 589509867862, 7.15404475359863909e+02, 0.00000000000000000e+00, 4186967368, 7.15404475359863909e+02, 0.00000000000000000e+00, 2857273600, 7.15404475359863909e+02, 0.00000000000000000e+00, 1401864921, 7.15404475359864023e+02, 1.43135811316375383e+00, 641760831
 3, 7.15397690235598247e+02, 585245772627, 7.15397690235598361e+02, 1.43137168874947207e+00, 4186993649, 7.15397690235598361e+02, 1.43137168874947207e+00, 2857567008, 7.15397690235598247e+02, 0.00000000000000000e+00, 1401682238, 7.15397690235598247e+02, 0.00000000000000000e+00, 641585285
 4, 7.15397166635841472e+02, 587266594554, 7.15397166635841586e+02, 1.43137273637155249e+00, 4186503787, 7.15397166635841586e+02, 1.43137273637155249e+00, 2855549697, 7.15397166635841586e+02, 1.43137273637155249e+00, 1401526018, 7.15397166635841586e+02, 1.43137273637155249e+00, 641856723
 5, 7.15417991692597411e+02, 589400225902, 7.15417991692597411e+02, 0.00000000000000000e+00, 4186989239, 7.15417991692597298e+02, 1.43133107063373233e+00, 2856667510, 7.15417991692597298e+02, 1.43133107063373233e+00, 1401716547, 7.15417991692597298e+02, 1.43133107063373233e+00, 640780877
 6, 7.15395424903429785e+02, 586190302808, 7.15395424903429671e+02, 1.43137622125306208e+00, 4187135396, 7.15395424903429785e+02, 0.00000000000000000e+00, 2855929885, 7.15395424903429785e+02, 0.00000000000000000e+00, 1401906296, 7.15395424903429898e+02, 1.43137622125306208e+00, 641559085
 7, 7.15414359472049910e+02, 586863931068, 7.15414359472050023e+02, 1.43133833762531015e+00, 4186892074, 7.15414359472050137e+02, 2.86267667525062031e+00, 2858030058, 7.15414359472049910e+02, 0.00000000000000000e+00, 1401486386, 7.15414359472050137e+02, 2.86267667525062031e+00, 641348438
 8, 7.15412369087790012e+02, 575421004654, 7.15412369087790012e+02, 0.00000000000000000e+00, 4187381886, 7.15412369087790125e+02, 1.43134231982274041e+00, 2856428297, 7.15412369087789898e+02, 1.43134231982274041e+00, 1401703738, 7.15412369087790012e+02, 0.00000000000000000e+00, 641234996
 9, 7.15393853266109886e+02, 590731063141, 7.15393853266109772e+02, 1.43137936582060044e+00, 4187362401, 7.15393853266109886e+02, 0.00000000000000000e+00, 2856535465, 7.15393853266109886e+02, 0.00000000000000000e+00, 1401815076, 7.15393853266109886e+02, 0.00000000000000000e+00, 641138393
10, 7.15411475931783912e+02, 588429774872, 7.15411475931783912e+02, 0.00000000000000000e+00, 4186921021, 7.15411475931783798e+02, 1.43134410678315804e+00, 2855763290, 7.15411475931783684e+02, 2.86268821356631609e+00, 1401462481, 7.15411475931783798e+02, 1.43134410678315804e+00, 641578360
11, 7.15395972885603328e+02, 585682664747, 7.15395972885603328e+02, 0.00000000000000000e+00, 4187039956, 7.15395972885603442e+02, 1.43137512484116902e+00, 2856967102, 7.15395972885603555e+02, 2.86275024968233804e+00, 1401614001, 7.15395972885603328e+02, 0.00000000000000000e+00, 640242443
