"p=∞", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 6.24995867939137995e+00, 2049889938, 6.24995867939137995e+00, 0.00000000000000000e+00,  609326151, 6.24995867939137995e+00, 0.00000000000000000e+00,  305285855, 6.24995867939137995e+00, 0.00000000000000000e+00,  163836513, 6.24995867939137995e+00, 0.00000000000000000e+00,   85571829
 2, 5.89166755103258755e+00, 2050859358, 5.89166755103258755e+00, 0.00000000000000000e+00,  608058793, 5.89166755103258755e+00, 0.00000000000000000e+00,  305321678, 5.89166755103258755e+00, 0.00000000000000000e+00,  162611062, 5.89166755103258755e+00, 0.00000000000000000e+00,   85555161
 3, 6.17269247561657952e+00, 2053493564, 6.17269247561657952e+00, 0.00000000000000000e+00,  608919090, 6.17269247561657952e+00, 0.00000000000000000e+00,  305524507, 6.17269247561657952e+00, 0.00000000000000000e+00,  162617968, 6.17269247561657952e+00, 0.00000000000000000e+00,   85521142
 4, 5.98925708565020276e+00, 2046773105, 5.98925708565020276e+00, 0.00000000000000000e+00,  608187380, 5.98925708565020276e+00, 0.00000000000000000e+00,  305843533, 5.98925708565020276e+00, 0.00000000000000000e+00,  162803125, 5.98925708565020276e+00, 0.00000000000000000e+00,   85518315
 5, 6.24572972632561996e+00, 2050964460, 6.24572972632561996e+00, 0.00000000000000000e+00,  610567510, 6.24572972632561996e+00, 0.00000000000000000e+00,  305444402, 6.24572972632561996e+00, 0.00000000000000000e+00,  163090269, 6.24572972632561996e+00, 0.00000000000000000e+00,   85871172
 6, 5.80692042829027510e+00, 2045170272, 5.80692042829027510e+00, 0.00000000000000000e+00,  608821725, 5.80692042829027510e+00, 0.00000000000000000e+00,  305785239, 5.80692042829027510e+00, 0.00000000000000000e+00,  162828895, 5.80692042829027510e+00, 0.00000000000000000e+00,   85476830
 7, 6.06439515276936092e+00, 2045454949, 6.06439515276936092e+00, 0.00000000000000000e+00,  607991488, 6.06439515276936092e+00, 0.00000000000000000e+00,  305776729, 6.06439515276936092e+00, 0.00000000000000000e+00,  162916077, 6.06439515276936092e+00, 0.00000000000000000e+00,   85854122
 8, 6.01618508412332442e+00, 2047690916, 6.01618508412332442e+00, 0.00000000000000000e+00,  607923089, 6.01618508412332442e+00, 0.00000000000000000e+00,  305739352, 6.01618508412332442e+00, 0.00000000000000000e+00,  162712577, 6.01618508412332442e+00, 0.00000000000000000e+00,   85399802
 9, 6.03263078302198963e+00, 2049491877, 6.03263078302198963e+00, 0.00000000000000000e+00,  608132544, 6.03263078302198963e+00, 0.00000000000000000e+00,  305403898, 6.03263078302198963e+00, 0.00000000000000000e+00,  162669797, 6.03263078302198963e+00, 0.00000000000000000e+00,   85432117
10, 5.97080489497499567e+00, 2051247795, 5.97080489497499567e+00, 0.00000000000000000e+00,  608742403, 5.97080489497499567e+00, 0.00000000000000000e+00,  305668689, 5.97080489497499567e+00, 0.00000000000000000e+00,  162838778, 5.97080489497499567e+00, 0.00000000000000000e+00,   85584448
11, 5.82902363238495713e+00, 2050681868, 5.82902363238495713e+00, 0.00000000000000000e+00,  608714778, 5.82902363238495713e+00, 0.00000000000000000e+00,  305558996, 5.82902363238495713e+00, 0.00000000000000000e+00,  162755055, 5.82902363238495713e+00, 0.00000000000000000e+00,   85693591
12, 6.29253391622024694e+00, 2050038741, 6.29253391622024694e+00, 0.00000000000000000e+00,  608344593, 6.29253391622024694e+00, 0.00000000000000000e+00,  305515596, 6.29253391622024694e+00, 0.00000000000000000e+00,  162712957, 6.29253391622024694e+00, 0.00000000000000000e+00,   85542862
13, 5.89342111469790098e+00, 2047054806, 5.89342111469790098e+00, 0.00000000000000000e+00,  608032642, 5.89342111469790098e+00, 0.00000000000000000e+00,  305813103, 5.89342111469790098e+00, 0.00000000000000000e+00,  162729335, 5.89342111469790098e+00, 0.00000000000000000e+00,   85869297
14, 6.28179073426673806e+00, 2045568391, 6.28179073426673806e+00, 0.00000000000000000e+00,  609229548, 6.28179073426673806e+00, 0.00000000000000000e+00,  305390988, 6.28179073426673806e+00, 0.00000000000000000e+00,  162761229, 6.28179073426673806e+00, 0.00000000000000000e+00,   85502610
15, 6.03679989667527916e+00, 2047695266, 6.03679989667527916e+00, 0.00000000000000000e+00,  608646711, 6.03679989667527916e+00, 0.00000000000000000e+00,  305565852, 6.03679989667527916e+00, 0.00000000000000000e+00,  162981478, 6.03679989667527916e+00, 0.00000000000000000e+00,   85879911
16, 6.14605304970888078e+00, 2047951879, 6.14605304970888078e+00, 0.00000000000000000e+00,  607980762, 6.14605304970888078e+00, 0.00000000000000000e+00,  305586790, 6.14605304970888078e+00, 0.00000000000000000e+00,  162640169, 6.14605304970888078e+00, 0.00000000000000000e+00,   85538442
