"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  25944849203584, 3.27680156250000000e+04, 0.00000000000000000e+00, 6244078578360, 1.39498271484375000e+04, 9.63490790571789443e+06, 21139893916, 3.27680156250000000e+04, 0.00000000000000000e+00, 70253128992, 3.27680156250000000e+04, 0.00000000000000000e+00, 62349622623, 3.27680195312500000e+04, 1.99999904632613834e+00, 63913727017, 3.27680156250000000e+04, 0.00000000000000000e+00, 20430652249, 3.27680156250000000e+04, 0.00000000000000000e+00, 10393365508, 3.27680156250000000e+04, 0.00000000000000000e+00, 5480689633, 1.04370986328125000e+04, 1.14334240481185690e+07, 82900866946
 2, 153077598009512, 3.27680039062500000e+04, 0.00000000000000000e+00, 6243041941499, 1.39490634765625000e+04, 9.63529635138316825e+06, 21130248477, 3.27680039062500000e+04, 0.00000000000000000e+00, 70248433832, 3.27680039062500000e+04, 0.00000000000000000e+00, 62255402249, 3.27680039062500000e+04, 0.00000000000000000e+00, 63930443635, 3.27680078125000000e+04, 1.99999976158144932e+00, 20394491489, 3.27680078125000000e+04, 1.99999976158144932e+00, 10320662736, 3.27680039062500000e+04, 0.00000000000000000e+00, 5467165010, 1.04383642578125000e+04, 1.14327741371071171e+07, 82906233157
 3,  39162661063339, 3.27676933593750000e+04, 0.00000000000000000e+00, 6245569479857, 1.39495156250000000e+04, 9.63499716362158582e+06, 21127785134, 3.27676933593750000e+04, 0.00000000000000000e+00, 70208155638, 3.27676933593750000e+04, 0.00000000000000000e+00, 62318873016, 3.27676953125000000e+04, 1.00000935801680146e+00, 63916028024, 3.27676933593750000e+04, 0.00000000000000000e+00, 20370561992, 3.27676914062500000e+04, 1.00000935801680146e+00, 10356391789, 3.27676933593750000e+04, 0.00000000000000000e+00, 5478538251, 1.04390937500000000e+04, 1.14323499831220713e+07, 82889246264
 4, 193905104641114, 3.27676777343750000e+04, 0.00000000000000000e+00, 6243555874956, 1.39494804687500000e+04, 9.63501175808978640e+06, 21138487325, 3.27676757812500000e+04, 1.00000983486311146e+00, 70237784945, 3.27676757812500000e+04, 1.00000983486311146e+00, 62335960252, 3.27676757812500000e+04, 1.00000983486311146e+00, 64033083466, 3.27676796875000000e+04, 1.00000983486311146e+00, 20398234127, 3.27676757812500000e+04, 1.00000983486311146e+00, 10368422701, 3.27676757812500000e+04, 1.00000983486311146e+00, 5845673447, 1.04378535156250000e+04, 1.14329824407114219e+07, 83045364141
 5, 125289815541128, 3.27683125000000000e+04, 0.00000000000000000e+00, 6244124985517, 1.39496269531250000e+04, 9.63507511276328377e+06, 21135096319, 3.27683125000000000e+04, 0.00000000000000000e+00, 70228779245, 3.27683125000000000e+04, 0.00000000000000000e+00, 62302968144, 3.27683125000000000e+04, 0.00000000000000000e+00, 63921782852, 3.27683085937500000e+04, 1.99998092669556904e+00, 20381264925, 3.27683125000000000e+04, 0.00000000000000000e+00, 10375560193, 3.27683125000000000e+04, 0.00000000000000000e+00, 5459874383, 1.04379296875000000e+04, 1.14330469659675024e+07, 82903144619
 6, 271689591534628, 3.27686171875000000e+04, 0.00000000000000000e+00, 6244191926865, 1.39508066406250000e+04, 9.63453753283283859e+06, 21179455043, 3.27686210937500000e+04, 1.99996233057400818e+00, 70326664879, 3.27686210937500000e+04, 1.99996233057400818e+00, 62264980252, 3.27686210937500000e+04, 1.99996233057400818e+00, 63954580771, 3.27686210937500000e+04, 1.99996233057400818e+00, 20377640670, 3.27686171875000000e+04, 0.00000000000000000e+00, 10378001285, 3.27686171875000000e+04, 0.00000000000000000e+00, 5468003146, 1.04386113281250000e+04, 1.14327476634232011e+07, 82896096422
 7, 149243941829742, 3.27686875000000000e+04, 0.00000000000000000e+00, 6251542590786, 1.39519404296875000e+04, 9.63397237121566199e+06, 21181166990, 3.27686914062500000e+04, 1.99995803921045057e+00, 70265230377, 3.27686914062500000e+04, 1.99995803921045057e+00, 62258269524, 3.27686875000000000e+04, 0.00000000000000000e+00, 63920373616, 3.27686875000000000e+04, 0.00000000000000000e+00, 20426748729, 3.27686875000000000e+04, 0.00000000000000000e+00, 10361001321, 3.27686875000000000e+04, 0.00000000000000000e+00, 5446758826, 1.04391357421875000e+04, 1.14324906368007567e+07, 82870662450
 8, 153477789009873, 3.27678027343750000e+04, 0.00000000000000000e+00, 6247867574525, 1.39506474609375000e+04, 9.63444150000378489e+06, 21128976859, 3.27678027343750000e+04, 0.00000000000000000e+00, 70213072470, 3.27678027343750000e+04, 0.00000000000000000e+00, 62290385748, 3.27678027343750000e+04, 0.00000000000000000e+00, 63927718729, 3.27678046875000000e+04, 1.00000602010536377e+00, 20352997335, 3.27678027343750000e+04, 0.00000000000000000e+00, 10380984799, 3.27678027343750000e+04, 0.00000000000000000e+00, 5482519380, 1.04390097656250000e+04, 1.14324108239033949e+07, 82886501701
 9, 102464862945811, 3.27684531250000000e+04, 0.00000000000000000e+00, 6244117676046, 1.39489697265625000e+04, 9.63544225842976756e+06, 21129881338, 3.27684531250000000e+04, 0.00000000000000000e+00, 70231070289, 3.27684531250000000e+04, 0.00000000000000000e+00, 62296489092, 3.27684531250000000e+04, 0.00000000000000000e+00, 63921781739, 3.27684531250000000e+04, 0.00000000000000000e+00, 20397305993, 3.27684531250000000e+04, 0.00000000000000000e+00, 10362098196, 3.27684531250000000e+04, 0.00000000000000000e+00, 5493157202, 1.04383115234375000e+04, 1.14328744030391276e+07, 82895193205
10, 264156136387528, 3.27671757812500000e+04, 0.00000000000000000e+00, 6253604672025, 1.39491513671875000e+04, 9.63507085247968137e+06, 21137605968, 3.27671757812500000e+04, 0.00000000000000000e+00, 70331402286, 3.27671757812500000e+04, 0.00000000000000000e+00, 62424692013, 3.27671757812500000e+04, 0.00000000000000000e+00, 64061139026, 3.27671757812500000e+04, 0.00000000000000000e+00, 20452432388, 3.27671757812500000e+04, 0.00000000000000000e+00, 10398771721, 3.27671757812500000e+04, 0.00000000000000000e+00, 5432693152, 1.04378623046875000e+04, 1.14328960734652877e+07, 83021881157
