"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  84225929407270, 1.89187402343750000e+04, 0.00000000000000000e+00, 6221879758107, 4.09600000000000000e+03, 1.31448664944479354e+07, 21136162613, 1.89187402343750000e+04, 0.00000000000000000e+00, 70270571989, 1.89187402343750000e+04, 0.00000000000000000e+00, 62331462689, 1.89187402343750000e+04, 0.00000000000000000e+00, 64176013158, 1.89187402343750000e+04, 0.00000000000000000e+00, 20393351013, 1.89187402343750000e+04, 0.00000000000000000e+00, 10392241450, 1.89187402343750000e+04, 0.00000000000000000e+00, 5439181235, 4.09599951171875000e+03, 1.31448669274577387e+07, 81986239906
 2, 133283450964053, 1.89184628906250000e+04, 0.00000000000000000e+00, 6214999477889, 4.09600000000000000e+03, 1.31448132443800513e+07, 21148743074, 1.89184628906250000e+04, 0.00000000000000000e+00, 70252996667, 1.89184628906250000e+04, 0.00000000000000000e+00, 62366650701, 1.89184609375000000e+04, 1.73206460743901691e+00, 64148897870, 1.89184628906250000e+04, 0.00000000000000000e+00, 20424863883, 1.89184628906250000e+04, 0.00000000000000000e+00, 10399591215, 1.89184628906250000e+04, 0.00000000000000000e+00, 5514202123, 4.09599951171875000e+03, 1.31448136773962025e+07, 81994768834
 3,  17688476434090, 1.89183144531250000e+04, 0.00000000000000000e+00, 6214078233998, 4.09600000000000000e+03, 1.31447847437022887e+07, 21159375824, 1.89183144531250000e+04, 0.00000000000000000e+00, 70228293612, 1.89183144531250000e+04, 0.00000000000000000e+00, 62310828888, 1.89183144531250000e+04, 0.00000000000000000e+00, 63911261690, 1.89183125000000000e+04, 1.73207819762120807e+00, 20390889936, 1.89183144531250000e+04, 0.00000000000000000e+00, 10353615243, 1.89183125000000000e+04, 1.73207819762120807e+00, 5473414631, 4.09599951171875000e+03, 1.31447851767218374e+07, 82003622353
 4,  98101099171013, 1.89184980468750000e+04, 0.00000000000000000e+00, 6224079144370, 4.09600000000000000e+03, 1.31448199944750667e+07, 21123593499, 1.89184980468750000e+04, 0.00000000000000000e+00, 70274429834, 1.89184980468750000e+04, 0.00000000000000000e+00, 62296209205, 1.89184980468750000e+04, 0.00000000000000000e+00, 63914948669, 1.89184960937500000e+04, 1.73206138874289195e+00, 20390165703, 1.89184960937500000e+04, 1.73206138874289195e+00, 10331430278, 1.89184960937500000e+04, 1.73206138874289195e+00, 5416138257, 4.09599951171875000e+03, 1.31448204274904132e+07, 81991754960
 5,  43262801938392, 1.89188613281250000e+04, 0.00000000000000000e+00, 6214671603025, 4.09600000000000000e+03, 1.31448897439879198e+07, 21133082506, 1.89188613281250000e+04, 0.00000000000000000e+00, 70233288715, 1.89188613281250000e+04, 0.00000000000000000e+00, 62259430777, 1.89188613281250000e+04, 0.00000000000000000e+00, 63950257591, 1.89188613281250000e+04, 0.00000000000000000e+00, 20391642075, 1.89188613281250000e+04, 0.00000000000000000e+00, 10398755965, 1.89188613281250000e+04, 0.00000000000000000e+00, 5474716580, 4.09599951171875000e+03, 1.31448901769949533e+07, 82028767077
 6, 143838884838290, 1.89186757812500000e+04, 0.00000000000000000e+00, 6215451131450, 4.09600000000000000e+03, 1.31448541195714138e+07, 21137142978, 1.89186757812500000e+04, 0.00000000000000000e+00, 70232916816, 1.89186757812500000e+04, 0.00000000000000000e+00, 62322980227, 1.89186757812500000e+04, 0.00000000000000000e+00, 63907842418, 1.89186757812500000e+04, 0.00000000000000000e+00, 20375589741, 1.89186757812500000e+04, 0.00000000000000000e+00, 10407079077, 1.89186757812500000e+04, 0.00000000000000000e+00, 5472584794, 4.09599951171875000e+03, 1.31448545525826924e+07, 82019457334
 7, 214786254272449, 1.89187773437500000e+04, 0.00000000000000000e+00, 6222295552293, 4.09600000000000000e+03, 1.31448736193385907e+07, 21182995725, 1.89187792968750000e+04, 1.73203581841535992e+00, 70345124245, 1.89187792968750000e+04, 1.73203581841535992e+00, 62416853009, 1.89187773437500000e+04, 0.00000000000000000e+00, 64062365530, 1.89187773437500000e+04, 0.00000000000000000e+00, 20426585622, 1.89187773437500000e+04, 0.00000000000000000e+00, 10385747816, 1.89187773437500000e+04, 0.00000000000000000e+00, 5440486972, 4.09599951171875000e+03, 1.31448740523475464e+07, 82115144970
 8, 132582279127473, 1.89189199218750000e+04, 0.00000000000000000e+00, 6213451243818, 4.09600000000000000e+03, 1.31449009936584849e+07, 21122701097, 1.89189218750000000e+04, 1.73202276532245381e+00, 70219649869, 1.89189218750000000e+04, 1.73202276532245381e+00, 62321446714, 1.89189218750000000e+04, 1.73202276532245381e+00, 64021621159, 1.89189218750000000e+04, 1.73202276532245381e+00, 20376812116, 1.89189218750000000e+04, 1.73202276532245381e+00, 10343370610, 1.89189199218750000e+04, 0.00000000000000000e+00, 5455258075, 4.09599951171875000e+03, 1.31449014266641773e+07, 81993152429
 9, 143967321166012, 1.89186210937500000e+04, 0.00000000000000000e+00, 6213859908721, 4.09600000000000000e+03, 1.31448436196100600e+07, 21128872197, 1.89186210937500000e+04, 0.00000000000000000e+00, 70229025323, 1.89186210937500000e+04, 0.00000000000000000e+00, 62290556503, 1.89186210937500000e+04, 0.00000000000000000e+00, 64185961266, 1.89186210937500000e+04, 0.00000000000000000e+00, 20403005514, 1.89186191406250000e+04, 1.73205012340065911e+00, 10404769140, 1.89186210937500000e+04, 0.00000000000000000e+00, 5462715608, 4.09599951171875000e+03, 1.31448440526225921e+07, 81997034249
10,  53715765044733, 1.89187480468750000e+04, 0.00000000000000000e+00, 6214956121932, 4.09600000000000000e+03, 1.31448679944272377e+07, 21150796088, 1.89187480468750000e+04, 0.00000000000000000e+00, 70233649018, 1.89187480468750000e+04, 0.00000000000000000e+00, 62315508031, 1.89187480468750000e+04, 0.00000000000000000e+00, 63913524188, 1.89187480468750000e+04, 0.00000000000000000e+00, 20411357904, 1.89187480468750000e+04, 0.00000000000000000e+00, 10389594404, 1.89187480468750000e+04, 0.00000000000000000e+00, 5603988642, 4.09599951171875000e+03, 1.31448684274368621e+07, 82125444459
11, 189489026904977, 1.89186074218750000e+04, 0.00000000000000000e+00, 6217511425259, 4.09600000000000000e+03, 1.31448409946102370e+07, 21135496424, 1.89186093750000000e+04, 1.73205137509811502e+00, 70246010222, 1.89186093750000000e+04, 1.73205137509811502e+00, 62310655487, 1.89186074218750000e+04, 0.00000000000000000e+00, 63919109254, 1.89186074218750000e+04, 0.00000000000000000e+00, 20393190663, 1.89186074218750000e+04, 0.00000000000000000e+00, 10354430327, 1.89186074218750000e+04, 0.00000000000000000e+00, 5516095719, 4.09599951171875000e+03, 1.31448414276230820e+07, 81999886961
12, 261677460603461, 1.89188476562500000e+04, 0.00000000000000000e+00, 6213798748172, 4.09600000000000000e+03, 1.31448871190547626e+07, 21122334268, 1.89188476562500000e+04, 0.00000000000000000e+00, 70239661952, 1.89188476562500000e+04, 0.00000000000000000e+00, 62305014422, 1.89188457031250000e+04, 1.73202938124906436e+00, 63942702043, 1.89188476562500000e+04, 0.00000000000000000e+00, 20422634883, 1.89188457031250000e+04, 1.73202938124906436e+00, 10384941873, 1.89188457031250000e+04, 1.73202938124906436e+00, 5455974260, 4.09599951171875000e+03, 1.31448875520621073e+07, 81984968056
13, 196194720220788, 1.89186210937500000e+04, 0.00000000000000000e+00, 6214383091002, 4.09600000000000000e+03, 1.31448436196100600e+07, 21133433507, 1.89186210937500000e+04, 0.00000000000000000e+00, 70265010699, 1.89186210937500000e+04, 0.00000000000000000e+00, 62239798591, 1.89186191406250000e+04, 1.73205012340065911e+00, 63901454928, 1.89186210937500000e+04, 0.00000000000000000e+00, 20400940751, 1.89186210937500000e+04, 0.00000000000000000e+00, 10396169137, 1.89186210937500000e+04, 0.00000000000000000e+00, 5477616060, 4.09599951171875000e+03, 1.31448440526225921e+07, 81985886549
14,  11625128473918, 1.89193593750000000e+04, 0.00000000000000000e+00, 6213367066281, 4.09600000000000000e+03, 1.31449853639666382e+07, 21125144954, 1.89193593750000000e+04, 0.00000000000000000e+00, 70294793731, 1.89193593750000000e+04, 0.00000000000000000e+00, 62235264234, 1.89193574218750000e+04, 1.73198253442447747e+00, 63916559853, 1.89193593750000000e+04, 0.00000000000000000e+00, 20394617691, 1.89193593750000000e+04, 0.00000000000000000e+00, 10431220633, 1.89193593750000000e+04, 0.00000000000000000e+00, 5491786485, 4.09599951171875000e+03, 1.31449857969622724e+07, 82037975796
