"p=1/2", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 1.28104106901033792e+17, 392408578188, 1.28104106901033776e+17, 1.12498491705025017e+00,   4757815845, 1.28104106901033792e+17, 0.00000000000000000e+00,   2852930485, 1.28104106901033856e+17, 4.49993966820100066e+00,   1402957114, 1.28104106901033760e+17, 2.24996983410050033e+00,    641010157
 2, 1.28099050165293584e+17, 382048127139, 1.28099050165293568e+17, 1.12502932605585859e+00,   4757019515, 1.28099050165293632e+17, 3.37508797816757600e+00,   2851457972, 1.28099050165293600e+17, 1.12502932605585859e+00,   1402885740, 1.28099050165293568e+17, 1.12502932605585859e+00,    641015058
 3, 1.28102139660114544e+17, 392743889265, 1.28102139660114528e+17, 1.12500219323602058e+00,   4757307300, 1.28102139660114560e+17, 1.12500219323602058e+00,   2852508489, 1.28102139660114592e+17, 3.37500657970806150e+00,   1402982313, 1.28102139660114528e+17, 1.12500219323602058e+00,    640649133
 4, 1.28102190067473504e+17, 393007845927, 1.28102190067473504e+17, 0.00000000000000000e+00,   4754322813, 1.28102190067473472e+17, 2.25000350111029412e+00,   2852167962, 1.28102190067473472e+17, 2.25000350111029412e+00,   1403700171, 1.28102190067473488e+17, 1.12500175055514706e+00,    640448900
 5, 1.28107862718403552e+17, 394212878036, 1.28107862718403536e+17, 1.12495193517230363e+00,   4756066523, 1.28107862718403600e+17, 3.37485580551691067e+00,   2851285974, 1.28107862718403536e+17, 1.12495193517230363e+00,   1402902167, 1.28107862718403568e+17, 1.12495193517230363e+00,    640657582
 6, 1.28104079125365856e+17, 396726154046, 1.28104079125365872e+17, 1.12498516097072243e+00,   4756807385, 1.28104079125365872e+17, 1.12498516097072243e+00,   2851108604, 1.28104079125365824e+17, 2.24997032194144486e+00,   1402925652, 1.28104079125365840e+17, 1.12498516097072243e+00,    640861473
 7, 1.28102617205051104e+17, 379580898555, 1.28102617205051104e+17, 0.00000000000000000e+00,   4757714621, 1.28102617205051088e+17, 1.12499799941771528e+00,   2850845035, 1.28102617205051072e+17, 2.24999599883543056e+00,   1401780135, 1.28102617205051072e+17, 2.24999599883543056e+00,    639401500
 8, 1.28105776239957728e+17, 394727127554, 1.28105776239957744e+17, 1.12497025743718670e+00,   4758316973, 1.28105776239957712e+17, 1.12497025743718670e+00,   2852422080, 1.28105776239957728e+17, 0.00000000000000000e+00,   1402927125, 1.28105776239957696e+17, 2.24994051487437341e+00,    640332932
 9, 1.28104146711257264e+17, 397640780436, 1.28104146711257296e+17, 2.24996913488970796e+00,   4755227343, 1.28104146711257264e+17, 0.00000000000000000e+00,   2853064824, 1.28104146711257248e+17, 1.12498456744485398e+00,   1403121294, 1.28104146711257248e+17, 1.12498456744485398e+00,    640697785
10, 1.28102915976652048e+17, 390501015681, 1.28102915976652048e+17, 0.00000000000000000e+00,   4758544418, 1.28102915976652000e+17, 3.37498612682920207e+00,   2851164854, 1.28102915976652064e+17, 1.12499537560973395e+00,   1402939804, 1.28102915976652032e+17, 1.12499537560973395e+00,    640835723
11, 1.28099777862367936e+17, 396513065932, 1.28099777862367920e+17, 1.12502293509591489e+00,   4758169332, 1.28099777862367952e+17, 1.12502293509591489e+00,   2851744735, 1.28099777862367904e+17, 2.25004587019182978e+00,   1423338983, 1.28099777862367936e+17, 0.00000000000000000e+00,    651266928
12, 1.28109934810108736e+17, 396759355078, 1.28109934810108704e+17, 2.24986747966847300e+00,   4755432077, 1.28109934810108736e+17, 0.00000000000000000e+00,   2851455987, 1.28109934810108720e+17, 1.12493373983423650e+00,   1402643319, 1.28109934810108752e+17, 1.12493373983423650e+00,    641959932
13, 1.28102879774976080e+17, 390955447642, 1.28102879774976064e+17, 1.12499569353168960e+00,   4814224103, 1.28102879774976080e+17, 0.00000000000000000e+00,   2878396541, 1.28102879774976096e+17, 1.12499569353168960e+00,   1402626711, 1.28102879774976064e+17, 1.12499569353168960e+00,    640338445
14, 1.28104889626825248e+17, 393944460286, 1.28104889626825216e+17, 2.24995608669847469e+00,   4755908156, 1.28104889626825280e+17, 2.24995608669847469e+00,   2852378419, 1.28104889626825248e+17, 0.00000000000000000e+00,   1402626781, 1.28104889626825280e+17, 2.24995608669847469e+00,    640862285
15, 1.28102703987072768e+17, 398059247771, 1.28102703987072768e+17, 0.00000000000000000e+00,   4757401227, 1.28102703987072768e+17, 0.00000000000000000e+00,   2852279159, 1.28102703987072752e+17, 1.12499723729796508e+00,   1403615015, 1.28102703987072784e+17, 1.12499723729796508e+00,    640921212
16, 1.28102041108526000e+17, 390889699421, 1.28102041108526000e+17, 0.00000000000000000e+00,   4757364311, 1.28102041108526000e+17, 0.00000000000000000e+00,   2852490688, 1.28102041108526000e+17, 0.00000000000000000e+00,   1403523834, 1.28102041108526000e+17, 0.00000000000000000e+00,    639444148
17, 1.28101388462394032e+17, 390151541977, 1.28101388462394032e+17, 0.00000000000000000e+00,   4757502882, 1.28101388462394016e+17, 1.12500879034705314e+00,   2855573482, 1.28101388462394064e+17, 2.25001758069410629e+00,   1402959861, 1.28101388462394000e+17, 2.25001758069410629e+00,    640560037
18, 1.28101991000644832e+17, 391494390663, 1.28101991000644800e+17, 2.25000699755135614e+00,   4758943010, 1.28101991000644832e+17, 0.00000000000000000e+00,   2851181633, 1.28101991000644784e+17, 3.37501049632703465e+00,   1403463736, 1.28101991000644816e+17, 1.12500349877567807e+00,    640827985
19, 1.28105395120188784e+17, 390679897191, 1.28105395120188800e+17, 1.12497360427831050e+00,   4757569355, 1.28105395120188784e+17, 0.00000000000000000e+00,   2850976640, 1.28105395120188768e+17, 1.12497360427831050e+00,   1401816599, 1.28105395120188800e+17, 1.12497360427831050e+00,    639877118
20, 1.28106187868261968e+17, 397562720605, 1.28106187868261952e+17, 1.12496664270469715e+00,   4757129078, 1.28106187868262000e+17, 2.24993328540939430e+00,   2851675635, 1.28106187868261984e+17, 1.12496664270469715e+00,   1402839232, 1.28106187868261936e+17, 2.24993328540939430e+00,    640255663
21, 1.28090222711387072e+17, 390747437132, 1.28090222711387072e+17, 0.00000000000000000e+00,   4755455601, 1.28090222711387104e+17, 2.25021371694506689e+00,   2850428553, 1.28090222711387104e+17, 2.25021371694506689e+00,   1403351726, 1.28090222711387072e+17, 0.00000000000000000e+00,    640229352
22, 1.28101539834568512e+17, 397022090577, 1.28101539834568496e+17, 1.12500746097172244e+00,   4758904691, 1.28101539834568512e+17, 0.00000000000000000e+00,   2851563375, 1.28101539834568496e+17, 1.12500746097172244e+00,   1402248176, 1.28101539834568480e+17, 2.25001492194344488e+00,    640875856
23, 1.28104538487961328e+17, 394110354474, 1.28104538487961344e+17, 1.12498112695202557e+00,   4756993194, 1.28104538487961344e+17, 1.12498112695202557e+00,   2851466230, 1.28104538487961296e+17, 2.24996225390405113e+00,   1402706776, 1.28104538487961376e+17, 3.37494338085607692e+00,    640955752
24, 1.28103873413629904e+17, 380421018284, 1.28103873413629904e+17, 0.00000000000000000e+00,   4757180587, 1.28103873413629888e+17, 1.12498696749416482e+00,   2852055442, 1.28103873413629920e+17, 1.12498696749416482e+00,   1402781629, 1.28103873413629904e+17, 0.00000000000000000e+00,    641109156
25, 1.28102515789472432e+17, 394268862966, 1.28102515789472464e+17, 2.24999778010135509e+00,   4756258356, 1.28102515789472416e+17, 1.12499889005067755e+00,   2852508439, 1.28102515789472448e+17, 1.12499889005067755e+00,   1402596642, 1.28102515789472432e+17, 0.00000000000000000e+00,    641157838
26, 1.28103844956259424e+17, 390774530640, 1.28103844956259440e+17, 1.12498721740212759e+00,   4755226051, 1.28103844956259408e+17, 1.12498721740212759e+00,   2851507927, 1.28103844956259408e+17, 1.12498721740212759e+00,   1402580134, 1.28103844956259392e+17, 2.24997443480425519e+00,    640348488
27, 1.28102484914378736e+17, 393198563447, 1.28102484914378752e+17, 1.12499916119644139e+00,   4755802382, 1.28102484914378720e+17, 1.12499916119644139e+00,   2851411294, 1.28102484914378720e+17, 1.12499916119644139e+00,   1402931305, 1.28102484914378704e+17, 2.24999832239288278e+00,    640651558
28, 1.28102303982929088e+17, 394032546556, 1.28102303982929056e+17, 2.25000150028621926e+00,   4756460804, 1.28102303982929120e+17, 2.25000150028621926e+00,   2852839353, 1.28102303982929072e+17, 1.12500075014310963e+00,   1403351987, 1.28102303982929072e+17, 1.12500075014310963e+00,    640986603
29, 1.28107288143056944e+17, 393993770001, 1.28107288143056944e+17, 0.00000000000000000e+00,   4760915768, 1.28107288143056976e+17, 2.24991396141214040e+00,   2852295166, 1.28107288143056960e+17, 1.12495698070607020e+00,   1403211222, 1.28107288143056960e+17, 1.12495698070607020e+00,    641268715
30, 1.28104093814463888e+17, 392129278081, 1.28104093814463888e+17, 0.00000000000000000e+00,   4756866872, 1.28104093814463888e+17, 0.00000000000000000e+00,   2852433385, 1.28104093814463872e+17, 1.12498503197392918e+00,   1402961645, 1.28104093814463888e+17, 0.00000000000000000e+00,    640976619
31, 1.28105576336411872e+17, 396298091248, 1.28105576336411872e+17, 0.00000000000000000e+00,   4755456442, 1.28105576336411872e+17, 0.00000000000000000e+00,   2851389524, 1.28105576336411872e+17, 0.00000000000000000e+00,   1402942060, 1.28105576336411872e+17, 0.00000000000000000e+00,    640264554
