"p=1", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 2.68437524127889633e+08, 4502378260, 2.68437524127889633e+08, 0.00000000000000000e+00,  614197758, 2.68437524127889633e+08, 0.00000000000000000e+00,  315237551, 2.68437524127889633e+08, 0.00000000000000000e+00,  167159873, 2.68437524127889633e+08, 0.00000000000000000e+00,   89818683
 2, 2.68431268527788162e+08, 4514489487, 2.68431268527788162e+08, 0.00000000000000000e+00,  613793625, 2.68431268527788162e+08, 0.00000000000000000e+00,  315131316, 2.68431268527788162e+08, 0.00000000000000000e+00,  166657904, 2.68431268527788162e+08, 0.00000000000000000e+00,   88217303
 3, 2.68436405995153427e+08, 4466893281, 2.68436405995153427e+08, 0.00000000000000000e+00,  613701612, 2.68436405995153427e+08, 0.00000000000000000e+00,  315197849, 2.68436405995153427e+08, 0.00000000000000000e+00,  166758886, 2.68436405995153427e+08, 0.00000000000000000e+00,   88575089
 4, 2.68435597720170975e+08, 4500359915, 2.68435597720170975e+08, 0.00000000000000000e+00,  613512966, 2.68435597720170975e+08, 0.00000000000000000e+00,  315390795, 2.68435597720170975e+08, 0.00000000000000000e+00,  167104144, 2.68435597720170975e+08, 0.00000000000000000e+00,   88870171
 5, 2.68442653241056442e+08, 4487660119, 2.68442653241056442e+08, 0.00000000000000000e+00,  613734528, 2.68442653241056442e+08, 0.00000000000000000e+00,  315373836, 2.68442653241056442e+08, 0.00000000000000000e+00,  166945879, 2.68442653241056442e+08, 0.00000000000000000e+00,   90272763
 6, 2.68437687548017502e+08, 4482385872, 2.68437687548017502e+08, 0.00000000000000000e+00,  613722911, 2.68437687548017502e+08, 0.00000000000000000e+00,  314600659, 2.68437687548017502e+08, 0.00000000000000000e+00,  166454734, 2.68437687548017502e+08, 0.00000000000000000e+00,   88201767
 7, 2.68434953370573044e+08, 4459737515, 2.68434953370573044e+08, 0.00000000000000000e+00,  613718311, 2.68434953370573044e+08, 0.00000000000000000e+00,  315103070, 2.68434953370573044e+08, 0.00000000000000000e+00,  166972671, 2.68434953370573044e+08, 0.00000000000000000e+00,   89347213
 8, 2.68443663598714828e+08, 4484044704, 2.68443663598714828e+08, 0.00000000000000000e+00,  613796782, 2.68443663598714828e+08, 0.00000000000000000e+00,  315145168, 2.68443663598714828e+08, 0.00000000000000000e+00,  167263312, 2.68443663598714828e+08, 0.00000000000000000e+00,   89821660
 9, 2.68438207441644669e+08, 4490750210, 2.68438207441644669e+08, 0.00000000000000000e+00,  614364925, 2.68438207441644669e+08, 0.00000000000000000e+00,  315190332, 2.68438207441644669e+08, 0.00000000000000000e+00,  166742719, 2.68438207441644669e+08, 0.00000000000000000e+00,   88223838
10, 2.68436970297346115e+08, 4465843295, 2.68436970297346115e+08, 0.00000000000000000e+00,  613677256, 2.68436970297346115e+08, 0.00000000000000000e+00,  315274216, 2.68436970297346115e+08, 0.00000000000000000e+00,  167265637, 2.68436970297346115e+08, 0.00000000000000000e+00,   89784764
