"p≈√2", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 7.98525648378034704e+05, 583545204994, 7.98525648378034588e+05, 1.31314003768052734e+00,   4138723717, 7.98525648378034821e+05, 1.31314003768052734e+00,   2852675365, 7.98525648378034821e+05, 1.31314003768052734e+00,   1404085281, 7.98525648378034821e+05, 1.31314003768052734e+00,    641377997
 2, 7.98514009866167791e+05, 572851743143, 7.98514009866167791e+05, 0.00000000000000000e+00,   4138393343, 7.98514009866167791e+05, 0.00000000000000000e+00,   2851155402, 7.98514009866167791e+05, 0.00000000000000000e+00,   1403176301, 7.98514009866167675e+05, 1.31315917697642282e+00,    640780887
 3, 7.98526303357004072e+05, 583183175185, 7.98526303357003955e+05, 1.31313896059752477e+00,   4139198834, 7.98526303357004072e+05, 0.00000000000000000e+00,   2851375611, 7.98526303357004072e+05, 0.00000000000000000e+00,   1403420315, 7.98526303357004072e+05, 0.00000000000000000e+00,    641369959
 4, 7.98523655864126398e+05, 584251210332, 7.98523655864126515e+05, 1.31314331428951614e+00,   4138823698, 7.98523655864126515e+05, 1.31314331428951614e+00,   2852388221, 7.98523655864126398e+05, 0.00000000000000000e+00,   1403719657, 7.98523655864126398e+05, 0.00000000000000000e+00,    641361989
 5, 7.98537788006238872e+05, 585060868169, 7.98537788006238756e+05, 1.31312007490346550e+00,   4139544453, 7.98537788006238756e+05, 1.31312007490346550e+00,   2851484793, 7.98537788006238872e+05, 0.00000000000000000e+00,   1404051353, 7.98537788006238756e+05, 1.31312007490346550e+00,    641259964
 6, 7.98525616623309324e+05, 587485591733, 7.98525616623309324e+05, 0.00000000000000000e+00,   4139697547, 7.98525616623309324e+05, 0.00000000000000000e+00,   2851801816, 7.98525616623309324e+05, 0.00000000000000000e+00,   1403838992, 7.98525616623309208e+05, 1.31314008989976783e+00,    641686179
 7, 7.98518835499143228e+05, 569602528766, 7.98518835499143112e+05, 1.31315124125350091e+00,   4139401372, 7.98518835499143112e+05, 1.31315124125350091e+00,   2851951572, 7.98518835499143112e+05, 1.31315124125350091e+00,   1403320585, 7.98518835499143344e+05, 1.31315124125350091e+00,    641252657
 8, 7.98546674718838418e+05, 585315230370, 7.98546674718838418e+05, 0.00000000000000000e+00,   4139187388, 7.98546674718838418e+05, 0.00000000000000000e+00,   2851651699, 7.98546674718838418e+05, 0.00000000000000000e+00,   1403729990, 7.98546674718838301e+05, 1.31310546170540987e+00,    641727153
 9, 7.98529073604894453e+05, 588645667527, 7.98529073604894453e+05, 0.00000000000000000e+00,   4139035507, 7.98529073604894569e+05, 1.31313440507092505e+00,   2851520867, 7.98529073604894569e+05, 1.31313440507092505e+00,   1403457791, 7.98529073604894453e+05, 0.00000000000000000e+00,    641250743
10, 7.98527253145623370e+05, 581003363875, 7.98527253145623486e+05, 1.31313739871665525e+00,   4140188832, 7.98527253145623370e+05, 0.00000000000000000e+00,   2851490236, 7.98527253145623486e+05, 1.31313739871665525e+00,   1401852542, 7.98527253145623370e+05, 0.00000000000000000e+00,    639863416
11, 7.98504476972819073e+05, 587284860594, 7.98504476972819190e+05, 1.31317485404116696e+00,   4139555248, 7.98504476972819073e+05, 0.00000000000000000e+00,   2851187556, 7.98504476972819073e+05, 0.00000000000000000e+00,   1403687041, 7.98504476972818957e+05, 1.31317485404116696e+00,    640920209
12, 7.98553826658101287e+05, 587118205577, 7.98553826658101403e+05, 1.31309370138294401e+00,   4138768751, 7.98553826658101403e+05, 1.31309370138294401e+00,   2852421007, 7.98553826658101287e+05, 0.00000000000000000e+00,   1403839403, 7.98553826658101403e+05, 1.31309370138294401e+00,    641101919
13, 7.98517932656366611e+05, 581595927402, 7.98517932656366727e+05, 1.31315272596544563e+00,   4139062198, 7.98517932656366611e+05, 0.00000000000000000e+00,   2850594035, 7.98517932656366494e+05, 1.31315272596544563e+00,   1403791102, 7.98517932656366611e+05, 0.00000000000000000e+00,    640542255
