"p=∞", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 9.99999997958997966e-01, 2027858257, 9.99999997958997966e-01, 0.00000000000000000e+00, 607535734, 9.99999997958997966e-01, 0.00000000000000000e+00, 305177875, 9.99999997958997966e-01, 0.00000000000000000e+00, 164782860, 9.99999997958997966e-01, 0.00000000000000000e+00, 88165012
 2, 9.99999997759356773e-01, 2026150219, 9.99999997759356773e-01, 0.00000000000000000e+00, 607242426, 9.99999997759356773e-01, 0.00000000000000000e+00, 305504279, 9.99999997759356773e-01, 0.00000000000000000e+00, 164697834, 9.99999997759356773e-01, 0.00000000000000000e+00, 87593631
 3, 9.99999999825309516e-01, 2027343758, 9.99999999825309516e-01, 0.00000000000000000e+00, 607527455, 9.99999999825309516e-01, 0.00000000000000000e+00, 305289192, 9.99999999825309516e-01, 0.00000000000000000e+00, 166048154, 9.99999999825309516e-01, 0.00000000000000000e+00, 88607765
 4, 9.99999999791196359e-01, 2033967845, 9.99999999791196359e-01, 0.00000000000000000e+00, 608228154, 9.99999999791196359e-01, 0.00000000000000000e+00, 305262170, 9.99999999791196359e-01, 0.00000000000000000e+00, 164047290, 9.99999999791196359e-01, 0.00000000000000000e+00, 86904128
 5, 9.99999998656210920e-01, 2027123178, 9.99999998656210920e-01, 0.00000000000000000e+00, 610207217, 9.99999998656210920e-01, 0.00000000000000000e+00, 305213738, 9.99999998656210920e-01, 0.00000000000000000e+00, 164078824, 9.99999998656210920e-01, 0.00000000000000000e+00, 86689141
 6, 9.99999999068894141e-01, 2026278627, 9.99999999068894141e-01, 0.00000000000000000e+00, 607592375, 9.99999999068894141e-01, 0.00000000000000000e+00, 305203975, 9.99999999068894141e-01, 0.00000000000000000e+00, 165458693, 9.99999999068894141e-01, 0.00000000000000000e+00, 88394041
 7, 9.99999993421287314e-01, 2027579493, 9.99999993421287314e-01, 0.00000000000000000e+00, 607636637, 9.99999993421287314e-01, 0.00000000000000000e+00, 305146633, 9.99999993421287314e-01, 0.00000000000000000e+00, 164007138, 9.99999993421287314e-01, 0.00000000000000000e+00, 86571349
 8, 9.99999999560802877e-01, 2023793834, 9.99999999560802877e-01, 0.00000000000000000e+00, 607320457, 9.99999999560802877e-01, 0.00000000000000000e+00, 305316355, 9.99999999560802877e-01, 0.00000000000000000e+00, 165266318, 9.99999999560802877e-01, 0.00000000000000000e+00, 88035754
 9, 9.99999995156994004e-01, 2026392981, 9.99999995156994004e-01, 0.00000000000000000e+00, 607344913, 9.99999995156994004e-01, 0.00000000000000000e+00, 305141291, 9.99999995156994004e-01, 0.00000000000000000e+00, 164963438, 9.99999995156994004e-01, 0.00000000000000000e+00, 88261023
10, 9.99999998909860466e-01, 2029901769, 9.99999998909860466e-01, 0.00000000000000000e+00, 607295459, 9.99999998909860466e-01, 0.00000000000000000e+00, 305074607, 9.99999998909860466e-01, 0.00000000000000000e+00, 164867556, 9.99999998909860466e-01, 0.00000000000000000e+00, 87643326
11, 9.99999998552414837e-01, 2026346574, 9.99999998552414837e-01, 0.00000000000000000e+00, 607289926, 9.99999998552414837e-01, 0.00000000000000000e+00, 305096427, 9.99999998552414837e-01, 0.00000000000000000e+00, 164446533, 9.99999998552414837e-01, 0.00000000000000000e+00, 87802665
12, 9.99999999375983606e-01, 2031061469, 9.99999999375983606e-01, 0.00000000000000000e+00, 607451870, 9.99999999375983606e-01, 0.00000000000000000e+00, 305253630, 9.99999999375983606e-01, 0.00000000000000000e+00, 165888675, 9.99999999375983606e-01, 0.00000000000000000e+00, 88566720
13, 9.99999998618090302e-01, 2022710681, 9.99999998618090302e-01, 0.00000000000000000e+00, 607457203, 9.99999998618090302e-01, 0.00000000000000000e+00, 305076340, 9.99999998618090302e-01, 0.00000000000000000e+00, 162510620, 9.99999998618090302e-01, 0.00000000000000000e+00, 85327385
14, 9.99999999872432710e-01, 2028382919, 9.99999999872432710e-01, 0.00000000000000000e+00, 607127080, 9.99999999872432710e-01, 0.00000000000000000e+00, 305244269, 9.99999999872432710e-01, 0.00000000000000000e+00, 163854325, 9.99999999872432710e-01, 0.00000000000000000e+00, 86816576
15, 9.99999997384652062e-01, 2027924169, 9.99999997384652062e-01, 0.00000000000000000e+00, 607259055, 9.99999997384652062e-01, 0.00000000000000000e+00, 305168554, 9.99999997384652062e-01, 0.00000000000000000e+00, 164052052, 9.99999997384652062e-01, 0.00000000000000000e+00, 87221321
