"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  25944849203584, 3.27679090928269688e+04, 0.00000000000000000e+00, 544656663933, 3.27679090928106234e+04, 4.49301246481511134e+03, 1325401268, 3.27679090928269652e+04, 1.00000277427445172e+00, 683339704, 3.27679090928269688e+04, 0.00000000000000000e+00, 16257290137, 3.27679090928269688e+04, 0.00000000000000000e+00, 11026421200, 3.27679090928269652e+04, 1.00000277427445172e+00, 11747200518, 3.27679090928269688e+04, 0.00000000000000000e+00, 3702040248, 3.27679090928269725e+04, 1.00000277427445172e+00, 2421350103, 3.27679090928269688e+04, 0.00000000000000000e+00, 2167504118, 3.27679090927525140e+04, 2.04660567783009283e+04, 20329889291
 2, 153077598009512, 3.27678556563555139e+04, 0.00000000000000000e+00, 544482609558, 3.27678556563305174e+04, 6.87103026701507952e+03, 1332619934, 3.27678556563555139e+04, 0.00000000000000000e+00, 684951761, 3.27678556563555139e+04, 0.00000000000000000e+00, 16238075620, 3.27678556563555103e+04, 1.00000440503785182e+00, 11036675489, 3.27678556563555176e+04, 1.00000440503785182e+00, 11778546444, 3.27678556563555139e+04, 0.00000000000000000e+00, 3716276061, 3.27678556563555139e+04, 0.00000000000000000e+00, 2423499804, 3.27678556563555139e+04, 0.00000000000000000e+00, 2166033563, 3.27678556562874073e+04, 1.87210824667136221e+04, 20173923765
 3,  39162661063339, 3.27677448856611336e+04, 0.00000000000000000e+00, 544230616750, 3.27677448856413212e+04, 5.44604240000934806e+03, 1324074310, 3.27677448856611336e+04, 0.00000000000000000e+00, 682648372, 3.27677448856611336e+04, 0.00000000000000000e+00, 16270879418, 3.27677448856611336e+04, 0.00000000000000000e+00, 11035493536, 3.27677448856611372e+04, 1.00000778553238123e+00, 11752099511, 3.27677448856611336e+04, 0.00000000000000000e+00, 3703148731, 3.27677448856611372e+04, 1.00000778553238123e+00, 2419843081, 3.27677448856611372e+04, 1.00000778553238123e+00, 2177701846, 3.27677448855828152e+04, 2.15281676069411042e+04, 20166777491
 4, 193905104641114, 3.27673015321162638e+04, 0.00000000000000000e+00, 556424687600, 3.27673015320991217e+04, 4.71210044100411960e+03, 1326048090, 3.27673015321162638e+04, 0.00000000000000000e+00, 682344056, 3.27673015321162638e+04, 0.00000000000000000e+00, 16247295306, 3.27673015321162638e+04, 0.00000000000000000e+00, 11042423972, 3.27673015321162638e+04, 0.00000000000000000e+00, 11761598645, 3.27673015321162638e+04, 0.00000000000000000e+00, 3704693200, 3.27673015321162602e+04, 1.00002131600257194e+00, 2417812907, 3.27673015321162602e+04, 1.00002131600257194e+00, 2139271733, 3.27673015320684754e+04, 1.31362800070097855e+04, 20173430836
 5, 125289815541128, 3.27672554105626004e+04, 0.00000000000000000e+00, 544250011369, 3.27672554105285817e+04, 9.35121248822160669e+03, 1329078015, 3.27672554105626004e+04, 0.00000000000000000e+00, 683854335, 3.27672554105625968e+04, 1.00002272358267641e+00, 16247335426, 3.27672554105626041e+04, 1.00002272358267641e+00, 11020543414, 3.27672554105626077e+04, 2.00004544716535282e+00, 11765346764, 3.27672554105626041e+04, 1.00002272358267641e+00, 3714803965, 3.27672554105626041e+04, 1.00002272358267641e+00, 2418038410, 3.27672554105625968e+04, 1.00002272358267641e+00, 2189262054, 3.27672554105231502e+04, 1.08442464145305421e+04, 20164905433
 6, 271689591534628, 3.27688923957255247e+04, 0.00000000000000000e+00, 567622752013, 3.27688923957051302e+04, 5.60584733172006963e+03, 1320405148, 3.27688923957255174e+04, 1.99994553397077035e+00, 650039089, 3.27688923957255247e+04, 0.00000000000000000e+00, 16257460173, 3.27688923957255174e+04, 1.99994553397077035e+00, 11023628851, 3.27688923957255174e+04, 1.99994553397077035e+00, 11760264915, 3.27688923957255247e+04, 0.00000000000000000e+00, 3703672869, 3.27688923957255247e+04, 0.00000000000000000e+00, 2432960360, 3.27688923957255174e+04, 1.99994553397077035e+00, 2160095595, 3.27688923956956351e+04, 8.21577625355192504e+03, 20195063867
 7, 149243941829742, 3.27683901135785418e+04, 0.00000000000000000e+00, 544273893483, 3.27683901135361230e+04, 1.16598611856026491e+04, 1325910694, 3.27683901135785418e+04, 0.00000000000000000e+00, 683581643, 3.27683901135785418e+04, 0.00000000000000000e+00, 16249720555, 3.27683901135785418e+04, 0.00000000000000000e+00, 11013962786, 3.27683901135785418e+04, 0.00000000000000000e+00, 11764793853, 3.27683901135785418e+04, 0.00000000000000000e+00, 3700257837, 3.27683901135785345e+04, 1.99997618964024837e+00, 2421039889, 3.27683901135785418e+04, 0.00000000000000000e+00, 2157102302, 3.27683901135498891e+04, 7.87590623480329850e+03, 20167562093
 8, 153477789009873, 3.27682913147138970e+04, 0.00000000000000000e+00, 575726948997, 3.27682913146943029e+04, 5.38595211770324022e+03, 1329271077, 3.27682913147138970e+04, 0.00000000000000000e+00, 683014407, 3.27682913147138970e+04, 0.00000000000000000e+00, 16244712291, 3.27682913147138970e+04, 0.00000000000000000e+00, 11023491809, 3.27682913147138970e+04, 0.00000000000000000e+00, 11785093714, 3.27682913147138970e+04, 0.00000000000000000e+00, 3714374145, 3.27682913147138970e+04, 0.00000000000000000e+00, 2414642506, 3.27682913147138970e+04, 0.00000000000000000e+00, 2147841774, 3.27682913146868232e+04, 7.44193383957436163e+03, 20169843552
 9, 102464862945811, 3.27685603764021507e+04, 0.00000000000000000e+00, 546909269319, 3.27685603763830877e+04, 5.23991039055992860e+03, 1322116723, 3.27685603764021507e+04, 0.00000000000000000e+00, 656822443, 3.27685603764021507e+04, 0.00000000000000000e+00, 16914968190, 3.27685603764021507e+04, 0.00000000000000000e+00, 11025034189, 3.27685603764021507e+04, 0.00000000000000000e+00, 11765325021, 3.27685603764021507e+04, 0.00000000000000000e+00, 3715520567, 3.27685603764021507e+04, 0.00000000000000000e+00, 2418668815, 3.27685603764021507e+04, 0.00000000000000000e+00, 2177769310, 3.27685603763054532e+04, 2.65795454544051354e+04, 20166979417
10, 264156136387528, 3.27671645802607491e+04, 0.00000000000000000e+00, 544292345728, 3.27671645802444727e+04, 4.47411406748070203e+03, 1329581532, 3.27671645802607527e+04, 1.00002549563717080e+00, 664177650, 3.27671645802607491e+04, 0.00000000000000000e+00, 16254135496, 3.27671645802607491e+04, 0.00000000000000000e+00, 11006043483, 3.27671645802607527e+04, 1.00002549563717080e+00, 11797509784, 3.27671645802607454e+04, 1.00002549563717080e+00, 3710286595, 3.27671645802607491e+04, 0.00000000000000000e+00, 2423839163, 3.27671645802607491e+04, 0.00000000000000000e+00, 2161942393, 3.27671645802678613e+04, 1.95504984397066869e+03, 20171499649
