"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  84225929407270, 1.89187408178574406e+04, 0.00000000000000000e+00, 549533146890, 1.89187408178487130e+04, 4.15516195061985491e+03, 1318666075, 1.89187408178574406e+04, 0.00000000000000000e+00, 652125664, 1.89187408178574442e+04, 1.73203916240927702e+00, 16250145502, 1.89187408178574406e+04, 0.00000000000000000e+00, 10508397223, 1.89187408178574442e+04, 1.73203916240927702e+00, 11740165532, 1.89187408178574406e+04, 0.00000000000000000e+00, 3702695102, 1.89187408178574442e+04, 1.73203916240927702e+00, 2419480788, 1.89187408178574442e+04, 1.73203916240927702e+00, 2142981760, 1.89187408178332880e+04, 1.14990079992351893e+04, 20174268674
 2, 133283450964053, 1.89184638190071782e+04, 0.00000000000000000e+00, 541075215338, 1.89184638189980542e+04, 4.34401782228388311e+03, 1323658339, 1.89184638190071782e+04, 0.00000000000000000e+00, 660400370, 1.89184638190071746e+04, 1.73206452244173970e+00, 16316353718, 1.89184638190071746e+04, 1.73206452244173970e+00, 10506045340, 1.89184638190071782e+04, 0.00000000000000000e+00, 11762947434, 1.89184638190071782e+04, 0.00000000000000000e+00, 3699884578, 1.89184638190071782e+04, 0.00000000000000000e+00, 2418644793, 1.89184638190071782e+04, 0.00000000000000000e+00, 2178719033, 1.89184638189614852e+04, 2.17547304018682516e+04, 20174442050
 3,  17688476434090, 1.89183143595819456e+04, 0.00000000000000000e+00, 537805791528, 1.89183143595730653e+04, 4.22800290129905261e+03, 1322833631, 1.89183143595819420e+04, 1.73207820618560127e+00, 651621004, 1.89183143595819456e+04, 0.00000000000000000e+00, 16279801798, 1.89183143595819456e+04, 0.00000000000000000e+00, 10511148146, 1.89183143595819456e+04, 0.00000000000000000e+00, 11768663461, 1.89183143595819456e+04, 0.00000000000000000e+00, 3706135964, 1.89183143595819456e+04, 0.00000000000000000e+00, 2417441890, 1.89183143595819420e+04, 1.73207820618560127e+00, 2154812204, 1.89183143595418551e+04, 1.90875018321653261e+04, 20170893305
 4,  98101099171013, 1.89184980744069835e+04, 0.00000000000000000e+00, 537902039282, 1.89184980744078312e+04, 4.03570302989780203e+02, 1328785157, 1.89184980744069835e+04, 0.00000000000000000e+00, 683682427, 1.89184980744069835e+04, 0.00000000000000000e+00, 16240550136, 1.89184980744069835e+04, 0.00000000000000000e+00, 10496692863, 1.89184980744069835e+04, 0.00000000000000000e+00, 11743534698, 1.89184980744069835e+04, 0.00000000000000000e+00, 3701867173, 1.89184980744069835e+04, 0.00000000000000000e+00, 2424848079, 1.89184980744069835e+04, 0.00000000000000000e+00, 2169893368, 1.89184980743658707e+04, 1.95740257256974510e+04, 20164472701
 5,  43262801938392, 1.89188618644712296e+04, 0.00000000000000000e+00, 538554374445, 1.89188618644651906e+04, 2.87516661359799537e+03, 1325242734, 1.89188618644712296e+04, 0.00000000000000000e+00, 682306535, 1.89188618644712296e+04, 0.00000000000000000e+00, 16266874043, 1.89188618644712296e+04, 0.00000000000000000e+00, 10513209270, 1.89188618644712296e+04, 0.00000000000000000e+00, 11766743060, 1.89188618644712296e+04, 0.00000000000000000e+00, 3702786384, 1.89188618644712296e+04, 0.00000000000000000e+00, 2411557480, 1.89188618644712333e+04, 1.73202808048071999e+00, 2182853016, 1.89188618644684284e+04, 1.33366162197015433e+03, 20179902523
 6, 143838884838290, 1.89186761627964952e+04, 0.00000000000000000e+00, 538487787644, 1.89186761627879496e+04, 4.06857389690750188e+03, 1324262414, 1.89186761627964952e+04, 0.00000000000000000e+00, 656238185, 1.89186761627964952e+04, 0.00000000000000000e+00, 16263856730, 1.89186761627964916e+04, 1.73204508169753169e+00, 10516966887, 1.89186761627964916e+04, 1.73204508169753169e+00, 11754070557, 1.89186761627964952e+04, 0.00000000000000000e+00, 3707975454, 1.89186761627964952e+04, 0.00000000000000000e+00, 2416105933, 1.89186761627964952e+04, 0.00000000000000000e+00, 2177837931, 1.89186761627832384e+04, 6.31157227770580539e+03, 20182908657
 7, 214786254272449, 1.89187786336969184e+04, 0.00000000000000000e+00, 537878730426, 1.89187786336811041e+04, 7.52915918928775591e+03, 1325480459, 1.89187786336969148e+04, 1.73203570031924436e+00, 655270046, 1.89187786336969184e+04, 0.00000000000000000e+00, 16252044926, 1.89187786336969184e+04, 0.00000000000000000e+00, 10501349210, 1.89187786336969184e+04, 0.00000000000000000e+00, 11767863412, 1.89187786336969184e+04, 0.00000000000000000e+00, 3710631515, 1.89187786336969184e+04, 0.00000000000000000e+00, 2413526104, 1.89187786336969184e+04, 0.00000000000000000e+00, 2165773538, 1.89187786336886820e+04, 3.92132882552276942e+03, 20180286049
 8, 132582279127473, 1.89189212707995393e+04, 0.00000000000000000e+00, 537960255663, 1.89189212707960614e+04, 1.65581364558826726e+03, 1322188705, 1.89189212707995393e+04, 0.00000000000000000e+00, 675176969, 1.89189212707995393e+04, 0.00000000000000000e+00, 16255772861, 1.89189212707995393e+04, 0.00000000000000000e+00, 10488654089, 1.89189212707995393e+04, 0.00000000000000000e+00, 11753887832, 1.89189212707995393e+04, 0.00000000000000000e+00, 3729615093, 1.89189212707995393e+04, 0.00000000000000000e+00, 2416794909, 1.89189212707995393e+04, 0.00000000000000000e+00, 2171518271, 1.89189212707665138e+04, 1.57233015425212252e+04, 20176043603
 9, 143967321166012, 1.89186215572781730e+04, 0.00000000000000000e+00, 538018326103, 1.89186215572721703e+04, 2.85788263358964605e+03, 1322340299, 1.89186215572781730e+04, 0.00000000000000000e+00, 660466952, 1.89186215572781730e+04, 0.00000000000000000e+00, 16284042331, 1.89186215572781766e+04, 1.73205008096342206e+00, 10506191767, 1.89186215572781730e+04, 0.00000000000000000e+00, 11761317873, 1.89186215572781730e+04, 0.00000000000000000e+00, 3700839315, 1.89186215572781730e+04, 0.00000000000000000e+00, 2420550580, 1.89186215572781730e+04, 0.00000000000000000e+00, 2164239434, 1.89186215572444926e+04, 1.60353196495593602e+04, 20167014312
10,  53715765044733, 1.89187488625154620e+04, 0.00000000000000000e+00, 538794102360, 1.89187488625255792e+04, 4.81679886245308080e+03, 1324977591, 1.89187488625154620e+04, 0.00000000000000000e+00, 683080755, 1.89187488625154620e+04, 0.00000000000000000e+00, 16301952317, 1.89187488625154620e+04, 0.00000000000000000e+00, 10488979330, 1.89187488625154620e+04, 0.00000000000000000e+00, 11785552586, 1.89187488625154620e+04, 0.00000000000000000e+00, 3706223705, 1.89187488625154620e+04, 0.00000000000000000e+00, 2418211099, 1.89187488625154620e+04, 0.00000000000000000e+00, 2167770119, 1.89187488624763973e+04, 1.85986286174114284e+04, 20182932729
