"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "RBV", "RBE", "RBT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  25944849203584, 2.31707091619655657e+04, 0.00000000000000000e+00, 442860254129, 2.31707091619718267e+04, 2.43383694498956538e+03, 3781721185, 2.31707091619655621e+04, 1.41419927076674323e+00, 683292016, 2.31707091619655621e+04, 1.41419927076674323e+00, 988840854, 2.31707091619655657e+04, 0.00000000000000000e+00, 11787403743, 2.31707091619655657e+04, 0.00000000000000000e+00, 11781248270, 2.31707091619655621e+04, 1.41419927076674323e+00, 7815179958, 2.31707091619655621e+04, 1.41419927076674323e+00, 3001790070, 2.31707091619655657e+04, 0.00000000000000000e+00, 1999204909, 2.31707091619655657e+04, 0.00000000000000000e+00, 1813846443, 2.31707091619411985e+04, 9.47230671559564689e+03, 13146834186
 2, 153077598009512, 2.31702190967235620e+04, 0.00000000000000000e+00, 436305542038, 2.31702190967164133e+04, 2.77896034263677257e+03, 4124648578, 2.31702190967235620e+04, 0.00000000000000000e+00, 826484901, 2.31702190967235620e+04, 0.00000000000000000e+00, 1127809363, 2.31702190967235620e+04, 0.00000000000000000e+00, 12690135742, 2.31702190967235620e+04, 0.00000000000000000e+00, 11760698076, 2.31702190967235656e+04, 1.41422918200344649e+00, 7592719075, 2.31702190967235583e+04, 1.41422918200344649e+00, 2720402427, 2.31702190967235620e+04, 0.00000000000000000e+00, 1817376494, 2.31702190967235620e+04, 0.00000000000000000e+00, 1685243887, 2.31702190966931885e+04, 1.18073994405467747e+04, 11792131618
 3,  39162661063339, 2.31703214724242425e+04, 0.00000000000000000e+00, 406826435193, 2.31703214724156751e+04, 3.33049500810081236e+03, 3518549721, 2.31703214724242425e+04, 0.00000000000000000e+00, 609934565, 2.31703214724242425e+04, 0.00000000000000000e+00, 965037140, 2.31703214724242425e+04, 0.00000000000000000e+00, 10610540570, 2.31703214724242425e+04, 0.00000000000000000e+00, 10980625313, 2.31703214724242425e+04, 0.00000000000000000e+00, 7573262872, 2.31703214724242425e+04, 0.00000000000000000e+00, 2980931166, 2.31703214724242425e+04, 0.00000000000000000e+00, 1671615609, 2.31703214724242425e+04, 0.00000000000000000e+00, 1560212032, 2.31703214723936653e+04, 1.18865437550264651e+04, 12331536654
 4, 193905104641114, 2.31701665928268303e+04, 0.00000000000000000e+00, 424174684015, 2.31701665928125403e+04, 5.55510481482026626e+03, 4764099766, 2.31701665928268303e+04, 0.00000000000000000e+00, 808322334, 2.31701665928268303e+04, 0.00000000000000000e+00, 1499509853, 2.31701665928268303e+04, 0.00000000000000000e+00, 15956240130, 2.31701665928268303e+04, 0.00000000000000000e+00, 14346328716, 2.31701665928268303e+04, 0.00000000000000000e+00, 9501041770, 2.31701665928268303e+04, 0.00000000000000000e+00, 3858220893, 2.31701665928268267e+04, 1.41423238666503703e+00, 2524988690, 2.31701665928268303e+04, 0.00000000000000000e+00, 2382446243, 2.31701665928113653e+04, 6.01190187571307251e+03, 14169915075
 5, 125289815541128, 2.31709235597022052e+04, 0.00000000000000000e+00, 424432923345, 2.31709235597002262e+04, 7.69317284832003452e+02, 3499485710, 2.31709235597022052e+04, 0.00000000000000000e+00, 629752172, 2.31709235597022052e+04, 0.00000000000000000e+00, 985633094, 2.31709235597022016e+04, 1.41418618535294738e+00, 12362868250, 2.31709235597022016e+04, 1.41418618535294738e+00, 12723210473, 2.31709235597022052e+04, 0.00000000000000000e+00, 8096297952, 2.31709235597022052e+04, 0.00000000000000000e+00, 3304123183, 2.31709235597022052e+04, 0.00000000000000000e+00, 1974772018, 2.31709235597022052e+04, 0.00000000000000000e+00, 1708970574, 2.31709235596947547e+04, 2.89625330760283623e+03, 12397466927
 6, 271689591534628, 2.31701340543945407e+04, 0.00000000000000000e+00, 389716652038, 2.31701340543937258e+04, 3.16788499486814999e+02, 3892370166, 2.31701340543945407e+04, 0.00000000000000000e+00, 816323636, 2.31701340543945407e+04, 0.00000000000000000e+00, 1067362169, 2.31701340543945444e+04, 1.41423437270899566e+00, 10520032646, 2.31701340543945444e+04, 1.41423437270899566e+00, 11265633653, 2.31701340543945407e+04, 0.00000000000000000e+00, 7687449635, 2.31701340543945407e+04, 0.00000000000000000e+00, 2961553592, 2.31701340543945407e+04, 0.00000000000000000e+00, 1781558192, 2.31701340543945407e+04, 0.00000000000000000e+00, 1574997785, 2.31701340543972583e+04, 1.05643307641361980e+03, 11849374344
 7, 149243941829742, 2.31705235531136095e+04, 0.00000000000000000e+00, 380934838307, 2.31705235531192193e+04, 2.18071274411104605e+03, 2789693189, 2.31705235531136095e+04, 0.00000000000000000e+00, 558454030, 2.31705235531136095e+04, 0.00000000000000000e+00, 909621178, 2.31705235531136095e+04, 0.00000000000000000e+00, 12063357087, 2.31705235531136095e+04, 0.00000000000000000e+00, 12762467363, 2.31705235531136095e+04, 0.00000000000000000e+00, 8340852069, 2.31705235531136095e+04, 0.00000000000000000e+00, 3100189227, 2.31705235531136095e+04, 0.00000000000000000e+00, 2023399151, 2.31705235531136095e+04, 0.00000000000000000e+00, 1949845634, 2.31705235530953105e+04, 7.11347931444783444e+03, 12724855633
 8, 153477789009873, 2.31705200696017091e+04, 0.00000000000000000e+00, 417736011938, 2.31705200696006323e+04, 4.18606400325252935e+02, 3261757534, 2.31705200696017091e+04, 0.00000000000000000e+00, 685058457, 2.31705200696017091e+04, 0.00000000000000000e+00, 1020770242, 2.31705200696017091e+04, 0.00000000000000000e+00, 11850954020, 2.31705200696017091e+04, 0.00000000000000000e+00, 11547533375, 2.31705200696017055e+04, 1.41421081190963815e+00, 7855253578, 2.31705200696017091e+04, 0.00000000000000000e+00, 3656942495, 2.31705200696017091e+04, 0.00000000000000000e+00, 2067607381, 2.31705200696017091e+04, 0.00000000000000000e+00, 1943192810, 2.31705200695883032e+04, 5.21136684188701656e+03, 12575238380
 9, 102464862945811, 2.31696580513467015e+04, 0.00000000000000000e+00, 447237010526, 2.31696580513405679e+04, 2.38444813805911372e+03, 3981929101, 2.31696580513467015e+04, 0.00000000000000000e+00, 719846813, 2.31696580513467015e+04, 0.00000000000000000e+00, 1138301618, 2.31696580513466979e+04, 1.41426342708132502e+00, 12956273967, 2.31696580513466979e+04, 1.41426342708132502e+00, 13297389529, 2.31696580513467015e+04, 0.00000000000000000e+00, 9669003720, 2.31696580513466979e+04, 1.41426342708132502e+00, 3599511117, 2.31696580513467015e+04, 0.00000000000000000e+00, 2132867933, 2.31696580513467015e+04, 0.00000000000000000e+00, 1971169927, 2.31696580513241679e+04, 8.75994766734172663e+03, 13195045217
10, 264156136387528, 2.31706791574951421e+04, 0.00000000000000000e+00, 442844483458, 2.31706791574924609e+04, 1.04226621221795585e+03, 3867148754, 2.31706791574951421e+04, 0.00000000000000000e+00, 721513496, 2.31706791574951421e+04, 0.00000000000000000e+00, 1131993485, 2.31706791574951421e+04, 0.00000000000000000e+00, 12612649509, 2.31706791574951421e+04, 0.00000000000000000e+00, 12435146602, 2.31706791574951385e+04, 1.41420110205964167e+00, 7845340825, 2.31706791574951421e+04, 0.00000000000000000e+00, 3375508374, 2.31706791574951421e+04, 0.00000000000000000e+00, 2210963272, 2.31706791574951421e+04, 0.00000000000000000e+00, 1925810899, 2.31706791574982926e+04, 1.22469815438364981e+03, 12781740554
