"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "RBV", "RBE", "RBT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  25944849203584, 2.31705234375000000e+04, 0.00000000000000000e+00, 354998811399, 1.24252822265625000e+04, 7.78036945320950914e+06, 1820858212, 2.31705234375000000e+04, 0.00000000000000000e+00, 344502800, 2.31705253906250000e+04, 1.41421060635026929e+00, 665935060, 2.31705234375000000e+04, 0.00000000000000000e+00, 7074455849, 2.31705234375000000e+04, 0.00000000000000000e+00, 5174093809, 2.31705253906250000e+04, 1.41421060635026929e+00, 6862856934, 2.31705234375000000e+04, 0.00000000000000000e+00, 1367147930, 2.31705234375000000e+04, 0.00000000000000000e+00, 855915232, 2.31705234375000000e+04, 0.00000000000000000e+00, 746854398, 9.49882617187500000e+03, 9.89934555128670670e+06, 5637210666
 2, 153077598009512, 2.31708593750000000e+04, 0.00000000000000000e+00, 344301485653, 1.24272890625000000e+04, 7.77904681163773220e+06, 1330234121, 2.31708593750000000e+04, 0.00000000000000000e+00, 298335858, 2.31708593750000000e+04, 0.00000000000000000e+00, 501198957, 2.31708574218750000e+04, 1.41419010273545376e+00, 6378482191, 2.31708574218750000e+04, 1.41419010273545376e+00, 4546275180, 2.31708593750000000e+04, 0.00000000000000000e+00, 5833500268, 2.31708593750000000e+04, 0.00000000000000000e+00, 1037316274, 2.31708613281250000e+04, 1.41419010273545376e+00, 727927180, 2.31708593750000000e+04, 0.00000000000000000e+00, 729201946, 9.50069824218750000e+03, 9.89808976733302511e+06, 4856000173
 3,  39162661063339, 2.31715449218750000e+04, 0.00000000000000000e+00, 360317673319, 1.24278388671875000e+04, 7.77891494622942619e+06, 1397286690, 2.31715449218750000e+04, 0.00000000000000000e+00, 285391224, 2.31715429687500000e+04, 1.41414826290091278e+00, 503277006, 2.31715449218750000e+04, 0.00000000000000000e+00, 6186216862, 2.31715449218750000e+04, 0.00000000000000000e+00, 4078024303, 2.31715449218750000e+04, 0.00000000000000000e+00, 9228106686, 2.31715449218750000e+04, 0.00000000000000000e+00, 1706282071, 2.31715449218750000e+04, 0.00000000000000000e+00, 948485838, 2.31715449218750000e+04, 0.00000000000000000e+00, 839678701, 9.50299609375000000e+03, 9.89662954581467062e+06, 5952728053
 4, 193905104641114, 2.31703359375000000e+04, 0.00000000000000000e+00, 407690096014, 1.24268691406250000e+04, 7.77914759312064853e+06, 1702840423, 2.31703359375000000e+04, 0.00000000000000000e+00, 315849156, 2.31703359375000000e+04, 0.00000000000000000e+00, 557671486, 2.31703339843750000e+04, 1.41422205048683280e+00, 6156030668, 2.31703339843750000e+04, 1.41422205048683280e+00, 4727180596, 2.31703339843750000e+04, 1.41422205048683280e+00, 6451074720, 2.31703359375000000e+04, 0.00000000000000000e+00, 1339022659, 2.31703339843750000e+04, 1.41422205048683280e+00, 775551068, 2.31703359375000000e+04, 0.00000000000000000e+00, 765666370, 9.50062109375000000e+03, 9.89799022381999157e+06, 5015681001
 5, 125289815541128, 2.31707382812500000e+04, 0.00000000000000000e+00, 360628636182, 1.24273515625000000e+04, 7.77895453153753839e+06, 1812734778, 2.31707382812500000e+04, 0.00000000000000000e+00, 300214974, 2.31707382812500000e+04, 0.00000000000000000e+00, 511312393, 2.31707382812500000e+04, 0.00000000000000000e+00, 6660171732, 2.31707382812500000e+04, 0.00000000000000000e+00, 4151587966, 2.31707363281250000e+04, 1.41419749350482293e+00, 6465158138, 2.31707382812500000e+04, 0.00000000000000000e+00, 1351948164, 2.31707382812500000e+04, 0.00000000000000000e+00, 827195822, 2.31707382812500000e+04, 0.00000000000000000e+00, 682446528, 9.50183789062500000e+03, 9.89722863175115362e+06, 4821762325
 6, 271689591534628, 2.31704941406250000e+04, 0.00000000000000000e+00, 368517327169, 1.24262949218750000e+04, 7.77962480843050871e+06, 2097241184, 2.31704941406250000e+04, 0.00000000000000000e+00, 320485977, 2.31704921875000000e+04, 1.41421239448439828e+00, 555456808, 2.31704941406250000e+04, 0.00000000000000000e+00, 6817501964, 2.31704941406250000e+04, 0.00000000000000000e+00, 4598995905, 2.31704941406250000e+04, 0.00000000000000000e+00, 5981992057, 2.31704941406250000e+04, 0.00000000000000000e+00, 1297149135, 2.31704941406250000e+04, 0.00000000000000000e+00, 840748830, 2.31704941406250000e+04, 0.00000000000000000e+00, 760944063, 9.50053222656250000e+03, 9.89810154035039060e+06, 4899281778
 7, 149243941829742, 2.31716601562500000e+04, 0.00000000000000000e+00, 365611489440, 1.24290039062500000e+04, 7.77811616020040680e+06, 1999451668, 2.31716601562500000e+04, 0.00000000000000000e+00, 345360432, 2.31716621093750000e+04, 1.41414123023729998e+00, 503513343, 2.31716621093750000e+04, 1.41414123023729998e+00, 6183406255, 2.31716621093750000e+04, 1.41414123023729998e+00, 4535212125, 2.31716601562500000e+04, 0.00000000000000000e+00, 6461813421, 2.31716621093750000e+04, 1.41414123023729998e+00, 1337850352, 2.31716621093750000e+04, 1.41414123023729998e+00, 839170931, 2.31716621093750000e+04, 1.41414123023729998e+00, 677604163, 9.50346484375000000e+03, 9.89632436958333291e+06, 4786731034
 8, 153477789009873, 2.31699414062500000e+04, 0.00000000000000000e+00, 385381937923, 1.24260058593750000e+04, 7.77961947333096713e+06, 2218867346, 2.31699414062500000e+04, 0.00000000000000000e+00, 333132827, 2.31699414062500000e+04, 0.00000000000000000e+00, 593876929, 2.31699414062500000e+04, 0.00000000000000000e+00, 6862778256, 2.31699414062500000e+04, 0.00000000000000000e+00, 4241679691, 2.31699414062500000e+04, 0.00000000000000000e+00, 6829420729, 2.31699414062500000e+04, 0.00000000000000000e+00, 1510130557, 2.31699433593750000e+04, 1.41424613146241973e+00, 916860524, 2.31699414062500000e+04, 0.00000000000000000e+00, 889030242, 9.50078125000000000e+03, 9.89775711811420508e+06, 5992773359
 9, 102464862945811, 2.31699863281250000e+04, 0.00000000000000000e+00, 356554286945, 1.24261533203125000e+04, 7.77953014245850965e+06, 1765301576, 2.31699863281250000e+04, 0.00000000000000000e+00, 297174183, 2.31699863281250000e+04, 0.00000000000000000e+00, 535456349, 2.31699863281250000e+04, 0.00000000000000000e+00, 5979147213, 2.31699863281250000e+04, 0.00000000000000000e+00, 5350218623, 2.31699843750000000e+04, 1.41424338952778772e+00, 6655654244, 2.31699863281250000e+04, 0.00000000000000000e+00, 1493373760, 2.31699863281250000e+04, 0.00000000000000000e+00, 962641561, 2.31699863281250000e+04, 0.00000000000000000e+00, 879894174, 9.50071875000000000e+03, 9.89781571176949516e+06, 5094802897
10, 264156136387528, 2.31705058593750000e+04, 0.00000000000000000e+00, 340419509313, 1.24267382812500000e+04, 7.77930833301461954e+06, 1663267836, 2.31705058593750000e+04, 0.00000000000000000e+00, 299803798, 2.31705058593750000e+04, 0.00000000000000000e+00, 549920283, 2.31705058593750000e+04, 0.00000000000000000e+00, 6516972431, 2.31705058593750000e+04, 0.00000000000000000e+00, 3943742340, 2.31705058593750000e+04, 0.00000000000000000e+00, 5931810473, 2.31705058593750000e+04, 0.00000000000000000e+00, 1209828349, 2.31705058593750000e+04, 0.00000000000000000e+00, 832252762, 2.31705058593750000e+04, 0.00000000000000000e+00, 727465717, 9.50151367187500000e+03, 9.89739437817288376e+06, 4481402807
