"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  25944849203584, 3.27680156250000000e+04, 0.00000000000000000e+00, 6253060304591, 1.39498271484375000e+04, 9.63490790571789443e+06, 21166533414, 3.27680156250000000e+04, 0.00000000000000000e+00, 69204217517, 3.27680156250000000e+04, 0.00000000000000000e+00, 54346379181, 3.27680195312500000e+04, 1.99999904632613834e+00, 78837532269, 3.27680156250000000e+04, 0.00000000000000000e+00, 20220169195, 3.27680156250000000e+04, 0.00000000000000000e+00, 10621207345, 3.27680156250000000e+04, 0.00000000000000000e+00, 5700023810, 1.04370986328125000e+04, 1.14334240481185690e+07, 105918228496
 2, 153077598009512, 3.27680039062500000e+04, 0.00000000000000000e+00, 6250864273169, 1.39490634765625000e+04, 9.63529635138316825e+06, 21178572955, 3.27680039062500000e+04, 0.00000000000000000e+00, 69209997925, 3.27680039062500000e+04, 0.00000000000000000e+00, 54379764358, 3.27680039062500000e+04, 0.00000000000000000e+00, 78931401562, 3.27680078125000000e+04, 1.99999976158144932e+00, 20194994451, 3.27680078125000000e+04, 1.99999976158144932e+00, 10629601774, 3.27680039062500000e+04, 0.00000000000000000e+00, 5696922704, 1.04383642578125000e+04, 1.14327741371071171e+07, 105870419799
 3,  39162661063339, 3.27676933593750000e+04, 0.00000000000000000e+00, 6257335601961, 1.39495156250000000e+04, 9.63499716362158582e+06, 21196186246, 3.27676933593750000e+04, 0.00000000000000000e+00, 69327748903, 3.27676933593750000e+04, 0.00000000000000000e+00, 54445876249, 3.27676953125000000e+04, 1.00000935801680146e+00, 78948499643, 3.27676933593750000e+04, 0.00000000000000000e+00, 20224710649, 3.27676914062500000e+04, 1.00000935801680146e+00, 10649463048, 3.27676933593750000e+04, 0.00000000000000000e+00, 5697010587, 1.04390937500000000e+04, 1.14323499831220713e+07, 105987715617
 4, 193905104641114, 3.27676777343750000e+04, 0.00000000000000000e+00, 6255356501144, 1.39494804687500000e+04, 9.63501175808978640e+06, 21185724661, 3.27676757812500000e+04, 1.00000983486311146e+00, 69294755222, 3.27676757812500000e+04, 1.00000983486311146e+00, 54339554852, 3.27676757812500000e+04, 1.00000983486311146e+00, 78822904838, 3.27676796875000000e+04, 1.00000983486311146e+00, 20181469187, 3.27676757812500000e+04, 1.00000983486311146e+00, 10626946598, 3.27676757812500000e+04, 1.00000983486311146e+00, 5695425665, 1.04378535156250000e+04, 1.14329824407114219e+07, 105824812740
 5, 125289815541128, 3.27683125000000000e+04, 0.00000000000000000e+00, 6251749395881, 1.39496269531250000e+04, 9.63507511276328377e+06, 21158077905, 3.27683125000000000e+04, 0.00000000000000000e+00, 69195243800, 3.27683125000000000e+04, 0.00000000000000000e+00, 54350178721, 3.27683125000000000e+04, 0.00000000000000000e+00, 78800802795, 3.27683085937500000e+04, 1.99998092669556904e+00, 20174928512, 3.27683125000000000e+04, 0.00000000000000000e+00, 10615537353, 3.27683125000000000e+04, 0.00000000000000000e+00, 5691657618, 1.04379296875000000e+04, 1.14330469659675024e+07, 105817639615
 6, 271689591534628, 3.27686171875000000e+04, 0.00000000000000000e+00, 6252313190239, 1.39508066406250000e+04, 9.63453753283283859e+06, 21157085041, 3.27686210937500000e+04, 1.99996233057400818e+00, 69193619798, 3.27686210937500000e+04, 1.99996233057400818e+00, 54339465675, 3.27686210937500000e+04, 1.99996233057400818e+00, 78811616963, 3.27686210937500000e+04, 1.99996233057400818e+00, 20178965652, 3.27686171875000000e+04, 0.00000000000000000e+00, 10619643803, 3.27686171875000000e+04, 0.00000000000000000e+00, 5690124074, 1.04386113281250000e+04, 1.14327476634232011e+07, 105832941845
 7, 149243941829742, 3.27686875000000000e+04, 0.00000000000000000e+00, 6252403614080, 1.39519404296875000e+04, 9.63397237121566199e+06, 21161268708, 3.27686914062500000e+04, 1.99995803921045057e+00, 69219453103, 3.27686914062500000e+04, 1.99995803921045057e+00, 54346613953, 3.27686875000000000e+04, 0.00000000000000000e+00, 78825309275, 3.27686875000000000e+04, 0.00000000000000000e+00, 20181675473, 3.27686875000000000e+04, 0.00000000000000000e+00, 10645708092, 3.27686875000000000e+04, 0.00000000000000000e+00, 5700939546, 1.04391357421875000e+04, 1.14324906368007567e+07, 105914464698
 8, 153477789009873, 3.27678027343750000e+04, 0.00000000000000000e+00, 6254645132742, 1.39506474609375000e+04, 9.63444150000378489e+06, 21165001324, 3.27678027343750000e+04, 0.00000000000000000e+00, 69192426761, 3.27678027343750000e+04, 0.00000000000000000e+00, 54350353113, 3.27678027343750000e+04, 0.00000000000000000e+00, 78823849019, 3.27678046875000000e+04, 1.00000602010536377e+00, 20189600115, 3.27678027343750000e+04, 0.00000000000000000e+00, 10624135552, 3.27678027343750000e+04, 0.00000000000000000e+00, 5700554636, 1.04390097656250000e+04, 1.14324108239033949e+07, 105829055495
 9, 102464862945811, 3.27684531250000000e+04, 0.00000000000000000e+00, 6256460049164, 1.39489697265625000e+04, 9.63544225842976756e+06, 21162768754, 3.27684531250000000e+04, 0.00000000000000000e+00, 69199008690, 3.27684531250000000e+04, 0.00000000000000000e+00, 54404260634, 3.27684531250000000e+04, 0.00000000000000000e+00, 78831525719, 3.27684531250000000e+04, 0.00000000000000000e+00, 20186501395, 3.27684531250000000e+04, 0.00000000000000000e+00, 10627399775, 3.27684531250000000e+04, 0.00000000000000000e+00, 5701788327, 1.04383115234375000e+04, 1.14328744030391276e+07, 105852459738
10, 264156136387528, 3.27671757812500000e+04, 0.00000000000000000e+00, 6253412419407, 1.39491513671875000e+04, 9.63507085247968137e+06, 21167767345, 3.27671757812500000e+04, 0.00000000000000000e+00, 69206211675, 3.27671757812500000e+04, 0.00000000000000000e+00, 54365204312, 3.27671757812500000e+04, 0.00000000000000000e+00, 78828735011, 3.27671757812500000e+04, 0.00000000000000000e+00, 20185286398, 3.27671757812500000e+04, 0.00000000000000000e+00, 10624405917, 3.27671757812500000e+04, 0.00000000000000000e+00, 5695663143, 1.04378623046875000e+04, 1.14328960734652877e+07, 105889211564
11,  48209008984770, 3.27662753906250000e+04, 0.00000000000000000e+00, 6252145848625, 1.39493447265625000e+04, 9.63477558692331612e+06, 21172367705, 3.27662753906250000e+04, 0.00000000000000000e+00, 69216168433, 3.27662753906250000e+04, 0.00000000000000000e+00, 54357657072, 3.27662773437500000e+04, 1.00005263367149433e+00, 78827883824, 3.27662753906250000e+04, 0.00000000000000000e+00, 20186483373, 3.27662753906250000e+04, 0.00000000000000000e+00, 10633690130, 3.27662753906250000e+04, 0.00000000000000000e+00, 5707619341, 1.04373437500000000e+04, 1.14330147298702281e+07, 105851339759
12,    926644888384, 3.27681796875000000e+04, 0.00000000000000000e+00, 6252823829073, 1.39509726562500000e+04, 9.63435716877582483e+06, 21163570066, 3.27681796875000000e+04, 0.00000000000000000e+00, 69222332617, 3.27681796875000000e+04, 0.00000000000000000e+00, 54343943833, 3.27681796875000000e+04, 0.00000000000000000e+00, 78895090965, 3.27681796875000000e+04, 0.00000000000000000e+00, 20213584900, 3.27681796875000000e+04, 0.00000000000000000e+00, 10630910688, 3.27681796875000000e+04, 0.00000000000000000e+00, 5693557758, 1.04393281250000000e+04, 1.14323093094763476e+07, 105887979938
13, 269742808093568, 3.27674648437500000e+04, 0.00000000000000000e+00, 6251861099236, 1.39502294921875000e+04, 9.63458184883705340e+06, 21156981983, 3.27674667968750000e+04, 1.00001633193939643e+00, 69204038193, 3.27674667968750000e+04, 1.00001633193939643e+00, 54385847584, 3.27674648437500000e+04, 0.00000000000000000e+00, 78869325848, 3.27674628906250000e+04, 1.00001633193939643e+00, 20181116682, 3.27674648437500000e+04, 0.00000000000000000e+00, 10625731078, 3.27674628906250000e+04, 1.00001633193939643e+00, 5691275615, 1.04376835937500000e+04, 1.14330347205806635e+07, 105915041882
