"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  84225929407270, 1.89187402343750000e+04, 0.00000000000000000e+00, 539516106027, 4.09600000000000000e+03, 1.31448664944479354e+07, 1199842049, 1.89187402343750000e+04, 0.00000000000000000e+00, 317969152, 1.89187402343750000e+04, 0.00000000000000000e+00, 10110522897, 1.89187402343750000e+04, 0.00000000000000000e+00, 7230670598, 1.89187402343750000e+04, 0.00000000000000000e+00, 10589977804, 1.89187402343750000e+04, 0.00000000000000000e+00, 1701993475, 1.89187402343750000e+04, 0.00000000000000000e+00, 1009459223, 1.89187402343750000e+04, 0.00000000000000000e+00, 848881023, 4.09599951171875000e+03, 1.31448669274577387e+07, 8047926523
 2, 133283450964053, 1.89184628906250000e+04, 0.00000000000000000e+00, 539730775151, 4.09600000000000000e+03, 1.31448132443800513e+07, 1196262076, 1.89184628906250000e+04, 0.00000000000000000e+00, 314116063, 1.89184628906250000e+04, 0.00000000000000000e+00,  9908889049, 1.89184628906250000e+04, 0.00000000000000000e+00, 7197818241, 1.89184609375000000e+04, 1.73206460743901691e+00, 10526128643, 1.89184628906250000e+04, 0.00000000000000000e+00, 1697852095, 1.89184628906250000e+04, 0.00000000000000000e+00,  984613162, 1.89184628906250000e+04, 0.00000000000000000e+00, 843066609, 4.09599951171875000e+03, 1.31448136773962025e+07, 8035150958
 3,  17688476434090, 1.89183144531250000e+04, 0.00000000000000000e+00, 539593807420, 4.09600000000000000e+03, 1.31447847437022887e+07, 1194710355, 1.89183144531250000e+04, 0.00000000000000000e+00, 313835943, 1.89183144531250000e+04, 0.00000000000000000e+00,  9982737320, 1.89183144531250000e+04, 0.00000000000000000e+00, 7195043241, 1.89183144531250000e+04, 0.00000000000000000e+00, 10531277528, 1.89183125000000000e+04, 1.73207819762120807e+00, 1701884906, 1.89183144531250000e+04, 0.00000000000000000e+00,  985718230, 1.89183125000000000e+04, 1.73207819762120807e+00, 843368384, 4.09599951171875000e+03, 1.31447851767218374e+07, 8016827707
 4,  98101099171013, 1.89184980468750000e+04, 0.00000000000000000e+00, 572562260693, 4.09600000000000000e+03, 1.31448199944750667e+07, 1199333461, 1.89184980468750000e+04, 0.00000000000000000e+00, 313764659, 1.89184980468750000e+04, 0.00000000000000000e+00,  9923014282, 1.89184980468750000e+04, 0.00000000000000000e+00, 7193229489, 1.89184980468750000e+04, 0.00000000000000000e+00, 10515361257, 1.89184960937500000e+04, 1.73206138874289195e+00, 1702631280, 1.89184960937500000e+04, 1.73206138874289195e+00,  986129436, 1.89184960937500000e+04, 1.73206138874289195e+00, 836495757, 4.09599951171875000e+03, 1.31448204274904132e+07, 8025288827
 5,  43262801938392, 1.89188613281250000e+04, 0.00000000000000000e+00, 539126893325, 4.09600000000000000e+03, 1.31448897439879198e+07, 1192598937, 1.89188613281250000e+04, 0.00000000000000000e+00, 305406310, 1.89188613281250000e+04, 0.00000000000000000e+00,  9911757102, 1.89188613281250000e+04, 0.00000000000000000e+00, 7195318396, 1.89188613281250000e+04, 0.00000000000000000e+00, 10532573399, 1.89188613281250000e+04, 0.00000000000000000e+00, 1704833254, 1.89188613281250000e+04, 0.00000000000000000e+00,  984983449, 1.89188613281250000e+04, 0.00000000000000000e+00, 847464963, 4.09599951171875000e+03, 1.31448901769949533e+07, 8022765667
 6, 143838884838290, 1.89186757812500000e+04, 0.00000000000000000e+00, 538921108376, 4.09600000000000000e+03, 1.31448541195714138e+07, 1194993273, 1.89186757812500000e+04, 0.00000000000000000e+00, 309094197, 1.89186757812500000e+04, 0.00000000000000000e+00,  9907043888, 1.89186757812500000e+04, 0.00000000000000000e+00, 7191494345, 1.89186757812500000e+04, 0.00000000000000000e+00, 10524059556, 1.89186757812500000e+04, 0.00000000000000000e+00, 1698171781, 1.89186757812500000e+04, 0.00000000000000000e+00, 1045651497, 1.89186757812500000e+04, 0.00000000000000000e+00, 844834507, 4.09599951171875000e+03, 1.31448545525826924e+07, 8014832485
 7, 214786254272449, 1.89187773437500000e+04, 0.00000000000000000e+00, 542621300718, 4.09600000000000000e+03, 1.31448736193385907e+07, 1201890361, 1.89187773437500000e+04, 0.00000000000000000e+00, 308685479, 1.89187792968750000e+04, 1.73203581841535992e+00,  9987352433, 1.89187792968750000e+04, 1.73203581841535992e+00, 7244016709, 1.89187773437500000e+04, 0.00000000000000000e+00, 10594608751, 1.89187773437500000e+04, 0.00000000000000000e+00, 1720547474, 1.89187773437500000e+04, 0.00000000000000000e+00,  996172357, 1.89187773437500000e+04, 0.00000000000000000e+00, 840050527, 4.09599951171875000e+03, 1.31448740523475464e+07, 8068896587
 8, 132582279127473, 1.89189199218750000e+04, 0.00000000000000000e+00, 539087584833, 4.09600000000000000e+03, 1.31449009936584849e+07, 1200377215, 1.89189199218750000e+04, 0.00000000000000000e+00, 308874530, 1.89189218750000000e+04, 1.73202276532245381e+00,  9908504455, 1.89189218750000000e+04, 1.73202276532245381e+00, 7189212980, 1.89189218750000000e+04, 1.73202276532245381e+00, 10537668895, 1.89189218750000000e+04, 1.73202276532245381e+00, 1705274999, 1.89189218750000000e+04, 1.73202276532245381e+00,  987894734, 1.89189199218750000e+04, 0.00000000000000000e+00, 837571912, 4.09599951171875000e+03, 1.31449014266641773e+07, 8033619617
 9, 143967321166012, 1.89186210937500000e+04, 0.00000000000000000e+00, 538861105456, 4.09600000000000000e+03, 1.31448436196100600e+07, 1195022929, 1.89186210937500000e+04, 0.00000000000000000e+00, 311769181, 1.89186210937500000e+04, 0.00000000000000000e+00,  9915059596, 1.89186210937500000e+04, 0.00000000000000000e+00, 7199569344, 1.89186210937500000e+04, 0.00000000000000000e+00, 10540723186, 1.89186210937500000e+04, 0.00000000000000000e+00, 1698752690, 1.89186191406250000e+04, 1.73205012340065911e+00,  983886725, 1.89186210937500000e+04, 0.00000000000000000e+00, 839416351, 4.09599951171875000e+03, 1.31448440526225921e+07, 8040248065
10,  53715765044733, 1.89187480468750000e+04, 0.00000000000000000e+00, 538717284472, 4.09600000000000000e+03, 1.31448679944272377e+07, 1198747181, 1.89187480468750000e+04, 0.00000000000000000e+00, 310047854, 1.89187480468750000e+04, 0.00000000000000000e+00,  9906723092, 1.89187480468750000e+04, 0.00000000000000000e+00, 7192023453, 1.89187480468750000e+04, 0.00000000000000000e+00, 10542747332, 1.89187480468750000e+04, 0.00000000000000000e+00, 1705086936, 1.89187480468750000e+04, 0.00000000000000000e+00,  987824435, 1.89187480468750000e+04, 0.00000000000000000e+00, 839116681, 4.09599951171875000e+03, 1.31448684274368621e+07, 8022137789
