"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "RBV", "RBE", "RBT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  84225929407270, 1.33775031958362306e+04, 0.00000000000000000e+00, 339666464275, 1.33775031958398595e+04, 2.44336177846502733e+03, 3314919321, 1.33775031958362288e+04, 1.22474274609775802e+00, 836907694, 1.33775031958362306e+04, 0.00000000000000000e+00, 1063577279, 1.33775031958362306e+04, 0.00000000000000000e+00, 11090852808, 1.33775031958362306e+04, 0.00000000000000000e+00, 11148790976, 1.33775031958362306e+04, 0.00000000000000000e+00, 7028808685, 1.33775031958362288e+04, 1.22474274609775802e+00, 2447189177, 1.33775031958362288e+04, 1.22474274609775802e+00, 1603112046, 1.33775031958362306e+04, 0.00000000000000000e+00, 1595462608, 1.33775031958277850e+04, 5.68648057013189100e+03, 11758527467
 2, 133283450964053, 1.33774124342671785e+04, 0.00000000000000000e+00, 334341266556, 1.33774124342644482e+04, 1.83835133444827397e+03, 3030044695, 1.33774124342671785e+04, 0.00000000000000000e+00, 668767159, 1.33774124342671785e+04, 0.00000000000000000e+00, 1092700398, 1.33774124342671785e+04, 0.00000000000000000e+00, 10073729622, 1.33774124342671785e+04, 0.00000000000000000e+00, 9908912311, 1.33774124342671803e+04, 1.22475105559511910e+00, 6938625988, 1.33774124342671785e+04, 0.00000000000000000e+00, 2605429404, 1.33774124342671803e+04, 1.22475105559511910e+00, 1697834650, 1.33774124342671785e+04, 0.00000000000000000e+00, 1575535204, 1.33774124342688610e+04, 1.13289472642548526e+03, 11746731144
 3,  17688476434090, 1.33775691645847346e+04, 0.00000000000000000e+00, 359545717772, 1.33775691645721054e+04, 8.50334695343218846e+03, 3713353326, 1.33775691645847346e+04, 0.00000000000000000e+00, 746097989, 1.33775691645847346e+04, 0.00000000000000000e+00, 1103314079, 1.33775691645847364e+04, 1.22473670652919342e+00, 11412669083, 1.33775691645847364e+04, 1.22473670652919342e+00, 11677663016, 1.33775691645847346e+04, 0.00000000000000000e+00, 7483960167, 1.33775691645847346e+04, 0.00000000000000000e+00, 3422439075, 1.33775691645847346e+04, 0.00000000000000000e+00, 1942699753, 1.33775691645847346e+04, 0.00000000000000000e+00, 1724729467, 1.33775691645722636e+04, 8.39679485996414951e+03, 12272991393
 4,  98101099171013, 1.33775270732905083e+04, 0.00000000000000000e+00, 335531642485, 1.33775270732914632e+04, 6.42988794033084332e+02, 3523283672, 1.33775270732905083e+04, 0.00000000000000000e+00, 699232900, 1.33775270732905083e+04, 0.00000000000000000e+00, 1016873655, 1.33775270732905083e+04, 0.00000000000000000e+00, 11455394098, 1.33775270732905083e+04, 0.00000000000000000e+00, 10354431981, 1.33775270732905083e+04, 0.00000000000000000e+00, 6882167212, 1.33775270732905065e+04, 1.22474056006301768e+00, 2576848607, 1.33775270732905065e+04, 1.22474056006301768e+00, 1673226755, 1.33775270732905083e+04, 0.00000000000000000e+00, 1644341942, 1.33775270732825975e+04, 5.32639669571406466e+03, 11575908579
 5,  43262801938392, 1.33776687191144647e+04, 0.00000000000000000e+00, 338784600085, 1.33776687191195488e+04, 3.42311362028041685e+03, 2637369294, 1.33776687191144647e+04, 0.00000000000000000e+00, 609586492, 1.33776687191144647e+04, 0.00000000000000000e+00, 923165399, 1.33776687191144629e+04, 1.22472759222912941e+00, 10163554063, 1.33776687191144629e+04, 1.22472759222912941e+00, 10207410176, 1.33776687191144629e+04, 1.22472759222912941e+00, 7358150004, 1.33776687191144629e+04, 1.22472759222912941e+00, 2443514742, 1.33776687191144647e+04, 0.00000000000000000e+00, 1707048307, 1.33776687191144647e+04, 0.00000000000000000e+00, 1501934857, 1.33776687191110905e+04, 2.27186968358503509e+03, 11538387738
 6, 143838884838290, 1.33774854176959016e+04, 0.00000000000000000e+00, 315455433054, 1.33774854176952576e+04, 4.33559508300997550e+02, 2750511237, 1.33774854176959016e+04, 0.00000000000000000e+00, 704900661, 1.33774854176959016e+04, 0.00000000000000000e+00, 888731823, 1.33774854176959016e+04, 0.00000000000000000e+00, 9559652080, 1.33774854176959016e+04, 0.00000000000000000e+00, 10370775392, 1.33774854176959016e+04, 0.00000000000000000e+00, 7068899971, 1.33774854176958997e+04, 1.22474437373163147e+00, 2595552730, 1.33774854176959016e+04, 0.00000000000000000e+00, 1690759791, 1.33774854176959016e+04, 0.00000000000000000e+00, 1629893554, 1.33774854177072139e+04, 7.61668526023701634e+03, 11700090681
 7, 214786254272449, 1.33774033175764343e+04, 0.00000000000000000e+00, 349860773103, 1.33774033175706973e+04, 3.86286746188661027e+03, 3100256515, 1.33774033175764343e+04, 0.00000000000000000e+00, 673051565, 1.33774033175764343e+04, 0.00000000000000000e+00, 1000435953, 1.33774033175764343e+04, 0.00000000000000000e+00, 10053066452, 1.33774033175764343e+04, 0.00000000000000000e+00, 11151674415, 1.33774033175764343e+04, 0.00000000000000000e+00, 7385189803, 1.33774033175764343e+04, 0.00000000000000000e+00, 2903597536, 1.33774033175764343e+04, 0.00000000000000000e+00, 1866763594, 1.33774033175764343e+04, 0.00000000000000000e+00, 1466709750, 1.33774033175764525e+04, 1.22475189026208309e+01, 11499337516
 8, 132582279127473, 1.33778744683810655e+04, 0.00000000000000000e+00, 320753845126, 1.33778744683840687e+04, 2.02199415639108452e+03, 3146488948, 1.33778744683810655e+04, 0.00000000000000000e+00, 649636791, 1.33778744683810655e+04, 0.00000000000000000e+00, 892031782, 1.33778744683810655e+04, 0.00000000000000000e+00, 9718046188, 1.33778744683810655e+04, 0.00000000000000000e+00, 9865053248, 1.33778744683810655e+04, 0.00000000000000000e+00, 6644299876, 1.33778744683810655e+04, 0.00000000000000000e+00, 2312646745, 1.33778744683810655e+04, 0.00000000000000000e+00, 1672784998, 1.33778744683810655e+04, 0.00000000000000000e+00, 1601793492, 1.33778744683755194e+04, 3.73413699747814462e+03, 11495234790
 9, 143967321166012, 1.33775809852667262e+04, 0.00000000000000000e+00, 330477696762, 1.33775809852614857e+04, 3.52846333369133163e+03, 2925893185, 1.33775809852667280e+04, 1.22473562432882033e+00, 573647654, 1.33775809852667262e+04, 0.00000000000000000e+00, 870284856, 1.33775809852667280e+04, 1.22473562432882033e+00, 9217816505, 1.33775809852667280e+04, 1.22473562432882033e+00, 9448199468, 1.33775809852667280e+04, 1.22473562432882033e+00, 6423538976, 1.33775809852667280e+04, 1.22473562432882033e+00, 2468721049, 1.33775809852667280e+04, 1.22473562432882033e+00, 1497174299, 1.33775809852667262e+04, 0.00000000000000000e+00, 1506778413, 1.33775809852635175e+04, 2.16043364131603903e+03, 11363280399
10,  53715765044733, 1.33775797806093815e+04, 0.00000000000000000e+00, 308774488665, 1.33775797806025257e+04, 4.61602898377086512e+03, 2459993666, 1.33775797806093815e+04, 0.00000000000000000e+00, 568616298, 1.33775797806093815e+04, 0.00000000000000000e+00, 858930156, 1.33775797806093815e+04, 0.00000000000000000e+00, 9852866344, 1.33775797806093815e+04, 0.00000000000000000e+00, 9424360006, 1.33775797806093797e+04, 1.22473573461683882e+00, 8597834119, 1.33775797806093815e+04, 0.00000000000000000e+00, 2681320270, 1.33775797806093797e+04, 1.22473573461683882e+00, 1746760329, 1.33775797806093797e+04, 1.22473573461683882e+00, 1776166881, 1.33775797806148057e+04, 3.65216196062741346e+03, 11809572578
