"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "RBV", "RBE", "RBT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  84225929407270, 1.33775029296875000e+04, 0.00000000000000000e+00, 328933565910, 4.09600000000000000e+03, 1.16402724988704287e+07, 1734092245, 1.33775029296875000e+04, 0.00000000000000000e+00, 302561460, 1.33775029296875000e+04, 0.00000000000000000e+00, 506962377, 1.33775029296875000e+04, 0.00000000000000000e+00, 6025150760, 1.33775029296875000e+04, 0.00000000000000000e+00, 3865959253, 1.33775029296875000e+04, 0.00000000000000000e+00, 6361934323, 1.33775029296875000e+04, 0.00000000000000000e+00, 1163409981, 1.33775029296875000e+04, 0.00000000000000000e+00, 755760401, 1.33775029296875000e+04, 0.00000000000000000e+00, 676412354, 4.09599902343750000e+03, 1.16402737236131988e+07, 4375534828
 2, 133283450964053, 1.33774121093750000e+04, 0.00000000000000000e+00, 335662560695, 4.09600000000000000e+03, 1.16402376237533092e+07, 1578007255, 1.33774121093750000e+04, 0.00000000000000000e+00, 316491512, 1.33774121093750000e+04, 0.00000000000000000e+00, 518927498, 1.33774121093750000e+04, 0.00000000000000000e+00, 5984928856, 1.33774121093750000e+04, 0.00000000000000000e+00, 4130471265, 1.33774111328125000e+04, 1.22475108534018773e+00, 6109096550, 1.33774121093750000e+04, 0.00000000000000000e+00, 1186046199, 1.33774121093750000e+04, 0.00000000000000000e+00, 702958570, 1.33774121093750000e+04, 0.00000000000000000e+00, 623077413, 4.09599902343750000e+03, 1.16402388485043943e+07, 4257845050
 3,  17688476434090, 1.33775683593750000e+04, 0.00000000000000000e+00, 331246823573, 4.09600000000000000e+03, 1.16402976236613449e+07, 1422756009, 1.33775683593750000e+04, 0.00000000000000000e+00, 353522042, 1.33775683593750000e+04, 0.00000000000000000e+00, 539543552, 1.33775683593750000e+04, 0.00000000000000000e+00, 5967621384, 1.33775683593750000e+04, 0.00000000000000000e+00, 4128300425, 1.33775683593750000e+04, 0.00000000000000000e+00, 5836840967, 1.33775683593750000e+04, 0.00000000000000000e+00, 1122648296, 1.33775683593750000e+04, 0.00000000000000000e+00, 729101340, 1.33775683593750000e+04, 0.00000000000000000e+00, 687671621, 4.09599951171875000e+03, 1.16402982360297348e+07, 4257748086
 4,  98101099171013, 1.33775263671875000e+04, 0.00000000000000000e+00, 318816072184, 4.09600000000000000e+03, 1.16402814988237843e+07, 1547594737, 1.33775263671875000e+04, 0.00000000000000000e+00, 306777342, 1.33775263671875000e+04, 0.00000000000000000e+00, 563002656, 1.33775263671875000e+04, 0.00000000000000000e+00, 6277248059, 1.33775263671875000e+04, 0.00000000000000000e+00, 4301095153, 1.33775263671875000e+04, 0.00000000000000000e+00, 5951464944, 1.33775263671875000e+04, 0.00000000000000000e+00, 1091706769, 1.33775263671875000e+04, 0.00000000000000000e+00, 703635716, 1.33775263671875000e+04, 0.00000000000000000e+00, 636782192, 4.09599951171875000e+03, 1.16402821111940965e+07, 4076829162
 5,  43262801938392, 1.33776679687500000e+04, 0.00000000000000000e+00, 324323482588, 4.09600000000000000e+03, 1.16403358728711531e+07, 1775359680, 1.33776679687500000e+04, 0.00000000000000000e+00, 337399879, 1.33776689453125000e+04, 1.22472766092511343e+00, 530509660, 1.33776689453125000e+04, 1.22472766092511343e+00, 5763525071, 1.33776689453125000e+04, 1.22472766092511343e+00, 4344731614, 1.33776679687500000e+04, 0.00000000000000000e+00, 6026845493, 1.33776679687500000e+04, 0.00000000000000000e+00, 1173132457, 1.33776679687500000e+04, 0.00000000000000000e+00, 735754029, 1.33776689453125000e+04, 1.22472766092511343e+00, 628279629, 4.09599951171875000e+03, 1.16403364852349833e+07, 4582439263
 6, 143838884838290, 1.33774853515625000e+04, 0.00000000000000000e+00, 353630091835, 4.09600000000000000e+03, 1.16402657488847170e+07, 1874621113, 1.33774853515625000e+04, 0.00000000000000000e+00, 322363951, 1.33774853515625000e+04, 0.00000000000000000e+00, 548557662, 1.33774853515625000e+04, 0.00000000000000000e+00, 7008045470, 1.33774853515625000e+04, 0.00000000000000000e+00, 4560057192, 1.33774853515625000e+04, 0.00000000000000000e+00, 6571408945, 1.33774843750000000e+04, 1.22474437978632045e+00, 1329866136, 1.33774853515625000e+04, 0.00000000000000000e+00, 814825272, 1.33774853515625000e+04, 0.00000000000000000e+00, 707609007, 4.09599902343750000e+03, 1.16402669736290965e+07, 4659773060
 7, 214786254272449, 1.33774033203125000e+04, 0.00000000000000000e+00, 330198206000, 4.09600000000000000e+03, 1.16402342487168442e+07, 1577432694, 1.33774033203125000e+04, 0.00000000000000000e+00, 295141762, 1.33774033203125000e+04, 0.00000000000000000e+00, 527855490, 1.33774033203125000e+04, 0.00000000000000000e+00, 5469703446, 1.33774033203125000e+04, 0.00000000000000000e+00, 3940999271, 1.33774023437500000e+04, 1.22475189001158591e+00, 7686357558, 1.33774023437500000e+04, 1.22475189001158591e+00, 1141692717, 1.33774023437500000e+04, 1.22475189001158591e+00, 787058292, 1.33774023437500000e+04, 1.22475189001158591e+00, 665659325, 4.09599951171875000e+03, 1.16402348610927891e+07, 4464734372
 8, 132582279127473, 1.33778740234375000e+04, 0.00000000000000000e+00, 309596188189, 4.09600000000000000e+03, 1.16404149944286942e+07, 1235127570, 1.33778740234375000e+04, 0.00000000000000000e+00, 288158171, 1.33778740234375000e+04, 0.00000000000000000e+00, 488572328, 1.33778750000000000e+04, 1.22470879687578815e+00, 5755317240, 1.33778750000000000e+04, 1.22470879687578815e+00, 4055522989, 1.33778740234375000e+04, 0.00000000000000000e+00, 5821069229, 1.33778750000000000e+04, 1.22470879687578815e+00, 1115345472, 1.33778740234375000e+04, 0.00000000000000000e+00, 705243270, 1.33778740234375000e+04, 0.00000000000000000e+00, 655399703, 4.09599877929687500e+03, 1.16404165253146905e+07, 3973044370
 9, 143967321166012, 1.33775810546875000e+04, 0.00000000000000000e+00, 315218949830, 4.09600000000000000e+03, 1.16403024985923059e+07, 1342563066, 1.33775810546875000e+04, 0.00000000000000000e+00, 272039551, 1.33775810546875000e+04, 0.00000000000000000e+00, 466744364, 1.33775800781250000e+04, 1.22473561797325470e+00, 5772832283, 1.33775800781250000e+04, 1.22473561797325470e+00, 4020284127, 1.33775800781250000e+04, 1.22473561797325470e+00, 6377017442, 1.33775810546875000e+04, 0.00000000000000000e+00, 1043537393, 1.33775800781250000e+04, 1.22473561797325470e+00, 739731108, 1.33775800781250000e+04, 1.22473561797325470e+00, 629629115, 4.09599829101562500e+03, 1.16403046418796368e+07, 4208998447
10,  53715765044733, 1.33775791015625000e+04, 0.00000000000000000e+00, 312223661077, 4.09600000000000000e+03, 1.16403017486035302e+07, 1692239879, 1.33775791015625000e+04, 0.00000000000000000e+00, 268557634, 1.33775791015625000e+04, 0.00000000000000000e+00, 490332006, 1.33775791015625000e+04, 0.00000000000000000e+00, 5665127810, 1.33775791015625000e+04, 0.00000000000000000e+00, 3703969774, 1.33775791015625000e+04, 0.00000000000000000e+00, 5812753538, 1.33775800781250000e+04, 1.22473579678451316e+00, 1096838950, 1.33775800781250000e+04, 1.22473579678451316e+00, 771641905, 1.33775791015625000e+04, 0.00000000000000000e+00, 632129170, 4.09599926757812500e+03, 1.16403026671553776e+07, 4140516166
