"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  25944849203584, 2.31707091619655657e+04, 0.00000000000000000e+00, 312661137063, 2.31707091619718267e+04, 2.43383694498956538e+03, 1284396528, 2.31707091619655657e+04, 0.00000000000000000e+00, 10076285047, 2.31707091619655657e+04, 0.00000000000000000e+00,  9378078227, 2.31707091619655621e+04, 1.41419927076674323e+00, 7167480523, 2.31707091619655621e+04, 1.41419927076674323e+00, 5308587229, 2.31707091619655621e+04, 1.41419927076674323e+00, 2700191744, 2.31707091619655621e+04, 1.41419927076674323e+00, 1187096009, 2.31707091619411985e+04, 9.47230671559564689e+03, 12527647924
 2, 153077598009512, 2.31702190967235620e+04, 0.00000000000000000e+00, 299550398237, 2.31702190967164133e+04, 2.77896034263677257e+03, 1130268692, 2.31702190967235620e+04, 0.00000000000000000e+00, 10046741970, 2.31702190967235620e+04, 0.00000000000000000e+00,  9155688523, 2.31702190967235656e+04, 1.41422918200344649e+00, 7267790330, 2.31702190967235620e+04, 0.00000000000000000e+00, 5214580701, 2.31702190967235583e+04, 1.41422918200344649e+00, 2736471895, 2.31702190967235620e+04, 0.00000000000000000e+00, 1415853777, 2.31702190966931885e+04, 1.18073994405467747e+04, 12269483743
 3,  39162661063339, 2.31703214724242425e+04, 0.00000000000000000e+00, 296311299867, 2.31703214724156751e+04, 3.33049500810081236e+03, 1274160939, 2.31703214724242425e+04, 0.00000000000000000e+00,  9871484698, 2.31703214724242425e+04, 0.00000000000000000e+00,  9044021267, 2.31703214724242425e+04, 0.00000000000000000e+00, 7258095617, 2.31703214724242425e+04, 0.00000000000000000e+00, 5149927431, 2.31703214724242389e+04, 1.41422293337614113e+00, 2639316530, 2.31703214724242389e+04, 1.41422293337614113e+00, 1142336139, 2.31703214723936653e+04, 1.18865437550264651e+04, 12413854391
 4, 193905104641114, 2.31701665928268303e+04, 0.00000000000000000e+00, 307976153567, 2.31701665928125403e+04, 5.55510481482026626e+03, 1227315314, 2.31701665928268303e+04, 0.00000000000000000e+00,  9871331518, 2.31701665928268303e+04, 0.00000000000000000e+00,  9920128478, 2.31701665928268303e+04, 0.00000000000000000e+00, 8925233362, 2.31701665928268267e+04, 1.41423238666503703e+00, 5545072676, 2.31701665928268303e+04, 0.00000000000000000e+00, 2824979267, 2.31701665928268267e+04, 1.41423238666503703e+00, 1223096434, 2.31701665928113653e+04, 6.01190187571307251e+03, 12428405410
 5, 125289815541128, 2.31709235597022052e+04, 0.00000000000000000e+00, 305767063782, 2.31709235597002262e+04, 7.69317284832003452e+02, 1039661227, 2.31709235597022016e+04, 1.41418618535294738e+00, 10216249408, 2.31709235597022016e+04, 1.41418618535294738e+00,  8978973638, 2.31709235597022052e+04, 0.00000000000000000e+00, 7259305424, 2.31709235597022016e+04, 1.41418618535294738e+00, 5096252657, 2.31709235597022016e+04, 1.41418618535294738e+00, 2688018377, 2.31709235597022052e+04, 0.00000000000000000e+00, 1122657028, 2.31709235596947547e+04, 2.89625330760283623e+03, 12217612575
 6, 271689591534628, 2.31701340543945407e+04, 0.00000000000000000e+00, 302943009715, 2.31701340543937258e+04, 3.16788499486814999e+02, 1292848651, 2.31701340543945444e+04, 1.41423437270899566e+00, 10252965761, 2.31701340543945444e+04, 1.41423437270899566e+00,  9433362015, 2.31701340543945407e+04, 0.00000000000000000e+00, 7217225276, 2.31701340543945407e+04, 0.00000000000000000e+00, 5017670335, 2.31701340543945407e+04, 0.00000000000000000e+00, 2635917199, 2.31701340543945407e+04, 0.00000000000000000e+00, 1148755236, 2.31701340543972583e+04, 1.05643307641361980e+03, 12237237841
 7, 149243941829742, 2.31705235531136095e+04, 0.00000000000000000e+00, 314191288080, 2.31705235531192193e+04, 2.18071274411104605e+03, 1199146297, 2.31705235531136095e+04, 0.00000000000000000e+00,  9683699559, 2.31705235531136095e+04, 0.00000000000000000e+00,  9093446460, 2.31705235531136095e+04, 0.00000000000000000e+00, 7169272431, 2.31705235531136095e+04, 0.00000000000000000e+00, 5067223081, 2.31705235531136059e+04, 1.41421059929380410e+00, 2567116571, 2.31705235531136059e+04, 1.41421059929380410e+00, 1204221977, 2.31705235530953105e+04, 7.11347931444783444e+03, 12285843287
 8, 153477789009873, 2.31705200696017091e+04, 0.00000000000000000e+00, 297314198131, 2.31705200696006323e+04, 4.18606400325252935e+02, 1080813877, 2.31705200696017091e+04, 0.00000000000000000e+00, 11750190531, 2.31705200696017091e+04, 0.00000000000000000e+00,  9322359624, 2.31705200696017055e+04, 1.41421081190963815e+00, 7159182860, 2.31705200696017055e+04, 1.41421081190963815e+00, 5242919689, 2.31705200696017055e+04, 1.41421081190963815e+00, 2696032271, 2.31705200696017055e+04, 1.41421081190963815e+00, 1196516279, 2.31705200695883032e+04, 5.21136684188701656e+03, 12208317273
 9, 102464862945811, 2.31696580513467015e+04, 0.00000000000000000e+00, 318506770947, 2.31696580513405679e+04, 2.38444813805911372e+03, 1379750339, 2.31696580513466979e+04, 1.41426342708132502e+00,  9879884105, 2.31696580513466979e+04, 1.41426342708132502e+00,  9208321459, 2.31696580513467015e+04, 0.00000000000000000e+00, 7371983516, 2.31696580513466979e+04, 1.41426342708132502e+00, 5358462303, 2.31696580513466979e+04, 1.41426342708132502e+00, 2899356586, 2.31696580513466979e+04, 1.41426342708132502e+00, 1325720240, 2.31696580513241679e+04, 8.75994766734172663e+03, 12314622423
10, 264156136387528, 2.31706791574951421e+04, 0.00000000000000000e+00, 323697592827, 2.31706791574924609e+04, 1.04226621221795585e+03, 1446861310, 2.31706791574951421e+04, 0.00000000000000000e+00, 10660651963, 2.31706791574951421e+04, 0.00000000000000000e+00,  9626963734, 2.31706791574951385e+04, 1.41420110205964167e+00, 7803694412, 2.31706791574951385e+04, 1.41420110205964167e+00, 5414398283, 2.31706791574951385e+04, 1.41420110205964167e+00, 2783270350, 2.31706791574951385e+04, 1.41420110205964167e+00, 1321381850, 2.31706791574982926e+04, 1.22469815438364981e+03, 12587138347
