"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  25944849203584, 2.31705234375000000e+04, 0.00000000000000000e+00, 304153405225, 1.24252822265625000e+04, 7.78036945320950914e+06, 1003840196, 2.31705234375000000e+04, 0.00000000000000000e+00, 6265618220, 2.31705234375000000e+04, 0.00000000000000000e+00, 3564558517, 2.31705253906250000e+04, 1.41421060635026929e+00, 6461225316, 2.31705253906250000e+04, 1.41421060635026929e+00, 2235436733, 2.31705234375000000e+04, 0.00000000000000000e+00, 1111932630, 2.31705234375000000e+04, 0.00000000000000000e+00, 602885561, 9.49882617187500000e+03, 9.89934555128670670e+06, 4273277387
 2, 153077598009512, 2.31708593750000000e+04, 0.00000000000000000e+00, 315930012393, 1.24272890625000000e+04, 7.77904681163773220e+06, 823375757, 2.31708593750000000e+04, 0.00000000000000000e+00, 6673525599, 2.31708593750000000e+04, 0.00000000000000000e+00, 3776566629, 2.31708593750000000e+04, 0.00000000000000000e+00, 7449884897, 2.31708593750000000e+04, 0.00000000000000000e+00, 2282683798, 2.31708593750000000e+04, 0.00000000000000000e+00, 1052741292, 2.31708593750000000e+04, 0.00000000000000000e+00, 580892195, 9.50069824218750000e+03, 9.89808976733302511e+06, 5068895239
 3,  39162661063339, 2.31715449218750000e+04, 0.00000000000000000e+00, 311851154571, 1.24278378906250000e+04, 7.77891565330355801e+06, 829109198, 2.31715449218750000e+04, 0.00000000000000000e+00, 6562116307, 2.31715449218750000e+04, 0.00000000000000000e+00, 3766099634, 2.31715449218750000e+04, 0.00000000000000000e+00, 6849146655, 2.31715449218750000e+04, 0.00000000000000000e+00, 2222481592, 2.31715429687500000e+04, 1.41414826290091278e+00, 1260662255, 2.31715449218750000e+04, 0.00000000000000000e+00, 610818294, 9.50299609375000000e+03, 9.89662954581467062e+06, 4669149833
 4, 193905104641114, 2.31703359375000000e+04, 0.00000000000000000e+00, 306340906968, 1.24268691406250000e+04, 7.77914759312064853e+06, 1105565131, 2.31703339843750000e+04, 1.41422205048683280e+00, 6187397641, 2.31703339843750000e+04, 1.41422205048683280e+00, 3297487936, 2.31703339843750000e+04, 1.41422205048683280e+00, 6423962280, 2.31703339843750000e+04, 1.41422205048683280e+00, 2098130652, 2.31703359375000000e+04, 0.00000000000000000e+00, 1064770297, 2.31703339843750000e+04, 1.41422205048683280e+00, 468785148, 9.50062109375000000e+03, 9.89799022381999157e+06, 3790084380
 5, 125289815541128, 2.31707382812500000e+04, 0.00000000000000000e+00, 303032871969, 1.24273515625000000e+04, 7.77895453153753839e+06, 874896326, 2.31707382812500000e+04, 0.00000000000000000e+00, 6315975048, 2.31707382812500000e+04, 0.00000000000000000e+00, 3534344632, 2.31707363281250000e+04, 1.41419749350482293e+00, 6391002102, 2.31707382812500000e+04, 0.00000000000000000e+00, 2238909694, 2.31707382812500000e+04, 0.00000000000000000e+00, 1176391505, 2.31707382812500000e+04, 0.00000000000000000e+00, 580769886, 9.50183789062500000e+03, 9.89722863175115362e+06, 3946083385
 6, 271689591534628, 2.31704941406250000e+04, 0.00000000000000000e+00, 299181421066, 1.24262949218750000e+04, 7.77962480843050871e+06, 920140728, 2.31704941406250000e+04, 0.00000000000000000e+00, 6241303859, 2.31704941406250000e+04, 0.00000000000000000e+00, 3586533371, 2.31704941406250000e+04, 0.00000000000000000e+00, 6719167952, 2.31704921875000000e+04, 1.41421239448439828e+00, 2066985190, 2.31704941406250000e+04, 0.00000000000000000e+00, 1049840909, 2.31704921875000000e+04, 1.41421239448439828e+00, 524969047, 9.50053222656250000e+03, 9.89810154035039060e+06, 4274511902
 7, 149243941829742, 2.31716601562500000e+04, 0.00000000000000000e+00, 320073877812, 1.24290039062500000e+04, 7.77811616020040680e+06, 771619370, 2.31716621093750000e+04, 1.41414123023729998e+00, 6132244720, 2.31716621093750000e+04, 1.41414123023729998e+00, 3664914937, 2.31716621093750000e+04, 1.41414123023729998e+00, 6437682628, 2.31716601562500000e+04, 0.00000000000000000e+00, 2179886268, 2.31716601562500000e+04, 0.00000000000000000e+00, 1149435851, 2.31716601562500000e+04, 0.00000000000000000e+00, 561682292, 9.50346484375000000e+03, 9.89632436958333291e+06, 4024967198
 8, 153477789009873, 2.31699414062500000e+04, 0.00000000000000000e+00, 319017631921, 1.24260058593750000e+04, 7.77961947333096713e+06, 901989505, 2.31699414062500000e+04, 0.00000000000000000e+00, 6111474183, 2.31699414062500000e+04, 0.00000000000000000e+00, 3640937670, 2.31699414062500000e+04, 0.00000000000000000e+00, 9767141993, 2.31699414062500000e+04, 0.00000000000000000e+00, 2518427308, 2.31699414062500000e+04, 0.00000000000000000e+00, 1207816314, 2.31699414062500000e+04, 0.00000000000000000e+00, 624988853, 9.50078125000000000e+03, 9.89775711811420508e+06, 5068053528
 9, 102464862945811, 2.31699863281250000e+04, 0.00000000000000000e+00, 319598712730, 1.24261533203125000e+04, 7.77953014245850965e+06, 972305260, 2.31699863281250000e+04, 0.00000000000000000e+00, 7183653519, 2.31699863281250000e+04, 0.00000000000000000e+00, 4129021205, 2.31699843750000000e+04, 1.41424338952778772e+00, 6777612504, 2.31699863281250000e+04, 0.00000000000000000e+00, 2065044760, 2.31699863281250000e+04, 0.00000000000000000e+00, 1195879186, 2.31699863281250000e+04, 0.00000000000000000e+00, 540132531, 9.50071875000000000e+03, 9.89781571176949516e+06, 4442163064
10, 264156136387528, 2.31705058593750000e+04, 0.00000000000000000e+00, 307560179345, 1.24267382812500000e+04, 7.77930833301461954e+06, 723015750, 2.31705058593750000e+04, 0.00000000000000000e+00, 6127962312, 2.31705058593750000e+04, 0.00000000000000000e+00, 3551197994, 2.31705058593750000e+04, 0.00000000000000000e+00, 6487965814, 2.31705039062500000e+04, 1.41421167923020397e+00, 2118309195, 2.31705058593750000e+04, 0.00000000000000000e+00, 1076273609, 2.31705058593750000e+04, 0.00000000000000000e+00, 499974732, 9.50151367187500000e+03, 9.89739437817288376e+06, 3951271105
