"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  84225929407270, 1.33775031958362306e+04, 0.00000000000000000e+00, 344737688681, 1.33775031958398595e+04, 2.44336177846502733e+03, 1461449626, 1.33775031958362306e+04, 0.00000000000000000e+00, 11416951984, 1.33775031958362306e+04, 0.00000000000000000e+00, 10340733355, 1.33775031958362306e+04, 0.00000000000000000e+00, 7887040249, 1.33775031958362288e+04, 1.22474274609775802e+00, 5575777387, 1.33775031958362288e+04, 1.22474274609775802e+00, 2888571951, 1.33775031958362288e+04, 1.22474274609775802e+00, 1357277759, 1.33775031958277850e+04, 5.68648057013189100e+03, 13458144248
 2, 133283450964053, 1.33774124342671785e+04, 0.00000000000000000e+00, 353024650257, 1.33774124342644482e+04, 1.83835133444827397e+03, 1316215023, 1.33774124342671785e+04, 0.00000000000000000e+00, 10866278759, 1.33774124342671785e+04, 0.00000000000000000e+00, 10651109454, 1.33774124342671803e+04, 1.22475105559511910e+00, 8201915851, 1.33774124342671785e+04, 0.00000000000000000e+00, 6093692605, 1.33774124342671785e+04, 0.00000000000000000e+00, 3225017553, 1.33774124342671785e+04, 0.00000000000000000e+00, 1420560005, 1.33774124342688610e+04, 1.13289472642548526e+03, 13753821544
 3,  17688476434090, 1.33775691645847346e+04, 0.00000000000000000e+00, 349369251324, 1.33775691645721054e+04, 8.50334695343218846e+03, 1177284455, 1.33775691645847364e+04, 1.22473670652919342e+00, 10331642276, 1.33775691645847364e+04, 1.22473670652919342e+00, 9488829992, 1.33775691645847346e+04, 0.00000000000000000e+00, 7835501954, 1.33775691645847346e+04, 0.00000000000000000e+00, 5652461364, 1.33775691645847364e+04, 1.22473670652919342e+00, 2825831642, 1.33775691645847346e+04, 0.00000000000000000e+00, 1260604997, 1.33775691645722636e+04, 8.39679485996414951e+03, 12661531074
 4,  98101099171013, 1.33775270732905083e+04, 0.00000000000000000e+00, 329368213796, 1.33775270732914632e+04, 6.42988794033084332e+02, 1180594119, 1.33775270732905083e+04, 0.00000000000000000e+00, 10445701582, 1.33775270732905083e+04, 0.00000000000000000e+00, 9229201262, 1.33775270732905083e+04, 0.00000000000000000e+00, 7524283589, 1.33775270732905083e+04, 0.00000000000000000e+00, 5306373905, 1.33775270732905083e+04, 0.00000000000000000e+00, 2767992656, 1.33775270732905065e+04, 1.22474056006301768e+00, 1215795889, 1.33775270732825975e+04, 5.32639669571406466e+03, 12392569870
 5,  43262801938392, 1.33776687191144647e+04, 0.00000000000000000e+00, 344471187965, 1.33776687191195488e+04, 3.42311362028041685e+03, 1589166971, 1.33776687191144629e+04, 1.22472759222912941e+00, 12447729681, 1.33776687191144629e+04, 1.22472759222912941e+00, 10536478109, 1.33776687191144629e+04, 1.22472759222912941e+00, 8154412185, 1.33776687191144629e+04, 1.22472759222912941e+00, 5891820253, 1.33776687191144647e+04, 0.00000000000000000e+00, 2909678943, 1.33776687191144647e+04, 0.00000000000000000e+00, 1372884914, 1.33776687191110905e+04, 2.27186968358503509e+03, 12859949506
 6, 143838884838290, 1.33774854176959016e+04, 0.00000000000000000e+00, 331462315798, 1.33774854176952576e+04, 4.33559508300997550e+02, 1495738633, 1.33774854176959016e+04, 0.00000000000000000e+00, 10424871792, 1.33774854176959016e+04, 0.00000000000000000e+00, 9771159450, 1.33774854176959016e+04, 0.00000000000000000e+00, 7812438136, 1.33774854176959016e+04, 0.00000000000000000e+00, 5568262525, 1.33774854176959016e+04, 0.00000000000000000e+00, 3183668029, 1.33774854176959016e+04, 0.00000000000000000e+00, 1316092887, 1.33774854177072139e+04, 7.61668526023701634e+03, 12617330091
 7, 214786254272449, 1.33774033175764343e+04, 0.00000000000000000e+00, 343096370338, 1.33774033175706973e+04, 3.86286746188661027e+03, 1186546776, 1.33774033175764343e+04, 0.00000000000000000e+00, 11227988566, 1.33774033175764343e+04, 0.00000000000000000e+00, 10051884474, 1.33774033175764343e+04, 0.00000000000000000e+00, 8052224494, 1.33774033175764343e+04, 0.00000000000000000e+00, 5610933442, 1.33774033175764343e+04, 0.00000000000000000e+00, 2669670354, 1.33774033175764343e+04, 0.00000000000000000e+00, 1258903785, 1.33774033175764525e+04, 1.22475189026208309e+01, 12379038308
 8, 132582279127473, 1.33778744683810655e+04, 0.00000000000000000e+00, 363434242023, 1.33778744683840687e+04, 2.02199415639108452e+03, 1178902188, 1.33778744683810655e+04, 0.00000000000000000e+00, 11050613626, 1.33778744683810655e+04, 0.00000000000000000e+00, 10638005517, 1.33778744683810655e+04, 0.00000000000000000e+00, 7983192086, 1.33778744683810637e+04, 1.22470875614238905e+00, 5432793918, 1.33778744683810655e+04, 0.00000000000000000e+00, 2869466805, 1.33778744683810637e+04, 1.22470875614238905e+00, 1562120893, 1.33778744683755194e+04, 3.73413699747814462e+03, 14027753147
 9, 143967321166012, 1.33775809852667262e+04, 0.00000000000000000e+00, 331057130832, 1.33775809852614857e+04, 3.52846333369133163e+03, 1292599234, 1.33775809852667280e+04, 1.22473562432882033e+00, 11052766806, 1.33775809852667280e+04, 1.22473562432882033e+00, 10083467807, 1.33775809852667280e+04, 1.22473562432882033e+00, 7858357387, 1.33775809852667262e+04, 0.00000000000000000e+00, 5861478051, 1.33775809852667262e+04, 0.00000000000000000e+00, 2904370570, 1.33775809852667262e+04, 0.00000000000000000e+00, 1279038972, 1.33775809852635175e+04, 2.16043364131603903e+03, 12619295472
10,  53715765044733, 1.33775797806093815e+04, 0.00000000000000000e+00, 343816034694, 1.33775797806025257e+04, 4.61602898377086512e+03, 1771548266, 1.33775797806093815e+04, 0.00000000000000000e+00, 11017430294, 1.33775797806093815e+04, 0.00000000000000000e+00, 9995050682, 1.33775797806093797e+04, 1.22473573461683882e+00, 7452620897, 1.33775797806093797e+04, 1.22473573461683882e+00, 5507125561, 1.33775797806093797e+04, 1.22473573461683882e+00, 2938779510, 1.33775797806093797e+04, 1.22473573461683882e+00, 1379046915, 1.33775797806148057e+04, 3.65216196062741346e+03, 12747312110
11, 189489026904977, 1.33771942565410864e+04, 0.00000000000000000e+00, 320510927643, 1.33771942565341524e+04, 4.66882716975278981e+03, 983756929, 1.33771942565410864e+04, 0.00000000000000000e+00, 10315926393, 1.33771942565410864e+04, 0.00000000000000000e+00, 9309645351, 1.33771942565410845e+04, 1.22477103089002881e+00, 7643036322, 1.33771942565410864e+04, 0.00000000000000000e+00, 5159416575, 1.33771942565410864e+04, 0.00000000000000000e+00, 2743136527, 1.33771942565410864e+04, 0.00000000000000000e+00, 1238985254, 1.33771942565511326e+04, 6.76441040360562965e+03, 12437263611
12, 261677460603461, 1.33779126510376846e+04, 0.00000000000000000e+00, 340782100233, 1.33779126510363094e+04, 9.25877177037722049e+02, 1202184521, 1.33779126510376827e+04, 1.22470526063190754e+00, 10576085799, 1.33779126510376827e+04, 1.22470526063190754e+00, 9734807898, 1.33779126510376827e+04, 1.22470526063190754e+00, 7495134623, 1.33779126510376846e+04, 0.00000000000000000e+00, 5337163748, 1.33779126510376827e+04, 1.22470526063190754e+00, 2855156091, 1.33779126510376846e+04, 0.00000000000000000e+00, 1198595850, 1.33779126510411515e+04, 2.33428822676441587e+03, 12279077157
13, 196194720220788, 1.33773710799088203e+04, 0.00000000000000000e+00, 311574026836, 1.33773710799067230e+04, 1.41214233253734028e+03, 1495632003, 1.33773710799088203e+04, 0.00000000000000000e+00, 10963220859, 1.33773710799088203e+04, 0.00000000000000000e+00, 10231664760, 1.33773710799088203e+04, 0.00000000000000000e+00, 8111971753, 1.33773710799088203e+04, 0.00000000000000000e+00, 5755492546, 1.33773710799088203e+04, 0.00000000000000000e+00, 2937628726, 1.33773710799088203e+04, 0.00000000000000000e+00, 1158491232, 1.33773710798951470e+04, 9.20648214543207905e+03, 12708892339
