"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  84225929407270, 1.33775029296875000e+04, 0.00000000000000000e+00, 307947953316, 4.09600000000000000e+03, 1.16402724988704287e+07,  871380695, 1.33775029296875000e+04, 0.00000000000000000e+00, 6377392888, 1.33775029296875000e+04, 0.00000000000000000e+00, 3647786472, 1.33775029296875000e+04, 0.00000000000000000e+00, 6711769674, 1.33775029296875000e+04, 0.00000000000000000e+00, 2222635853, 1.33775029296875000e+04, 0.00000000000000000e+00, 1199879364, 1.33775029296875000e+04, 0.00000000000000000e+00, 530455063, 4.09599902343750000e+03, 1.16402737236131988e+07, 4388918697
 2, 133283450964053, 1.33774121093750000e+04, 0.00000000000000000e+00, 333867722852, 4.09600000000000000e+03, 1.16402376237533092e+07,  951034796, 1.33774121093750000e+04, 0.00000000000000000e+00, 6376773247, 1.33774121093750000e+04, 0.00000000000000000e+00, 3802339209, 1.33774111328125000e+04, 1.22475108534018773e+00, 6734778077, 1.33774111328125000e+04, 1.22475108534018773e+00, 2056750153, 1.33774111328125000e+04, 1.22475108534018773e+00, 1112243425, 1.33774121093750000e+04, 0.00000000000000000e+00, 507671199, 4.09599902343750000e+03, 1.16402388485043943e+07, 3998089642
 3,  17688476434090, 1.33775683593750000e+04, 0.00000000000000000e+00, 302795874837, 4.09600000000000000e+03, 1.16402976236613449e+07, 1151320516, 1.33775683593750000e+04, 0.00000000000000000e+00, 6239731278, 1.33775683593750000e+04, 0.00000000000000000e+00, 3439241747, 1.33775683593750000e+04, 0.00000000000000000e+00, 6381716084, 1.33775683593750000e+04, 0.00000000000000000e+00, 2139523819, 1.33775683593750000e+04, 0.00000000000000000e+00, 1070745694, 1.33775683593750000e+04, 0.00000000000000000e+00, 492313914, 4.09599951171875000e+03, 1.16402982360297348e+07, 4101422239
 4,  98101099171013, 1.33775263671875000e+04, 0.00000000000000000e+00, 304385356982, 4.09600000000000000e+03, 1.16402814988237843e+07,  878826366, 1.33775263671875000e+04, 0.00000000000000000e+00, 6426255013, 1.33775263671875000e+04, 0.00000000000000000e+00, 3438090636, 1.33775263671875000e+04, 0.00000000000000000e+00, 6260987022, 1.33775263671875000e+04, 0.00000000000000000e+00, 2014950646, 1.33775263671875000e+04, 0.00000000000000000e+00, 1099000991, 1.33775263671875000e+04, 0.00000000000000000e+00, 515728504, 4.09599951171875000e+03, 1.16402821111940965e+07, 3756324699
 5,  43262801938392, 1.33776679687500000e+04, 0.00000000000000000e+00, 305007633867, 4.09600000000000000e+03, 1.16403358728711531e+07,  841859529, 1.33776689453125000e+04, 1.22472766092511343e+00, 6356570051, 1.33776689453125000e+04, 1.22472766092511343e+00, 3492160381, 1.33776679687500000e+04, 0.00000000000000000e+00, 6284575180, 1.33776679687500000e+04, 0.00000000000000000e+00, 2028329404, 1.33776679687500000e+04, 0.00000000000000000e+00, 1110320955, 1.33776679687500000e+04, 0.00000000000000000e+00, 498632890, 4.09599951171875000e+03, 1.16403364852349833e+07, 4227657676
 6, 143838884838290, 1.33774853515625000e+04, 0.00000000000000000e+00, 298413730405, 4.09600000000000000e+03, 1.16402657488847170e+07, 1105270529, 1.33774853515625000e+04, 0.00000000000000000e+00, 6381197112, 1.33774853515625000e+04, 0.00000000000000000e+00, 3908891316, 1.33774853515625000e+04, 0.00000000000000000e+00, 6627533854, 1.33774843750000000e+04, 1.22474437978632045e+00, 2144485340, 1.33774853515625000e+04, 0.00000000000000000e+00, 1197135599, 1.33774843750000000e+04, 1.22474437978632045e+00, 519418389, 4.09599902343750000e+03, 1.16402669736290965e+07, 3954697275
 7, 214786254272449, 1.33774033203125000e+04, 0.00000000000000000e+00, 324018108991, 4.09600000000000000e+03, 1.16402342487168442e+07,  828917771, 1.33774033203125000e+04, 0.00000000000000000e+00, 6307428970, 1.33774033203125000e+04, 0.00000000000000000e+00, 3801459498, 1.33774023437500000e+04, 1.22475189001158591e+00, 6544582756, 1.33774033203125000e+04, 0.00000000000000000e+00, 2091771921, 1.33774023437500000e+04, 1.22475189001158591e+00, 1132903244, 1.33774033203125000e+04, 0.00000000000000000e+00, 563481850, 4.09599951171875000e+03, 1.16402348610927891e+07, 4071825611
 8, 132582279127473, 1.33778740234375000e+04, 0.00000000000000000e+00, 292642156261, 4.09600000000000000e+03, 1.16404149944286942e+07,  864536100, 1.33778750000000000e+04, 1.22470879687578815e+00, 6190238600, 1.33778750000000000e+04, 1.22470879687578815e+00, 3405309815, 1.33778740234375000e+04, 0.00000000000000000e+00, 6259187178, 1.33778730468750000e+04, 1.22470879687578815e+00, 2032171935, 1.33778740234375000e+04, 0.00000000000000000e+00, 1080510254, 1.33778740234375000e+04, 0.00000000000000000e+00, 508117847, 4.09599877929687500e+03, 1.16404165253146905e+07, 4038809610
 9, 143967321166012, 1.33775810546875000e+04, 0.00000000000000000e+00, 299392492529, 4.09600000000000000e+03, 1.16403024985923059e+07,  935755099, 1.33775800781250000e+04, 1.22473561797325470e+00, 6610231744, 1.33775800781250000e+04, 1.22473561797325470e+00, 3985454095, 1.33775800781250000e+04, 1.22473561797325470e+00, 6468858370, 1.33775800781250000e+04, 1.22473561797325470e+00, 2199943137, 1.33775800781250000e+04, 1.22473561797325470e+00, 1201898273, 1.33775800781250000e+04, 1.22473561797325470e+00, 602808046, 4.09599829101562500e+03, 1.16403046418796368e+07, 4593094257
10,  53715765044733, 1.33775791015625000e+04, 0.00000000000000000e+00, 305275170977, 4.09600000000000000e+03, 1.16403017486035302e+07,  967130811, 1.33775791015625000e+04, 0.00000000000000000e+00, 6520397724, 1.33775791015625000e+04, 0.00000000000000000e+00, 3679961698, 1.33775791015625000e+04, 0.00000000000000000e+00, 6756617513, 1.33775800781250000e+04, 1.22473579678451316e+00, 2332449447, 1.33775800781250000e+04, 1.22473579678451316e+00, 1159595451, 1.33775791015625000e+04, 0.00000000000000000e+00, 600719829, 4.09599926757812500e+03, 1.16403026671553776e+07, 4117768279
