"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
1, 25944849203584, 3.27679090928269688e+04, 0.00000000000000000e+00, 10770489850816, 3.27679090928106234e+04, 4.49301246481511134e+03, 20424391281, 3.27679090928269688e+04, 0.00000000000000000e+00, 233967255059, 3.27679090928269688e+04, 0.00000000000000000e+00, 152195493311, , , , 3.27679090928269688e+04, 0.00000000000000000e+00, 38068329299, 3.27679090928269725e+04, 1.00000277427445172e+00, 20447780389, 3.27679090928269688e+04, 0.00000000000000000e+00, 11579493644, 3.27679090927525140e+04, 2.04660567783009283e+04, 234747336151
2, 153077598009512, 3.27678556563555139e+04, 0.00000000000000000e+00, 10768649881643, 3.27678556563305174e+04, 6.87103026701507952e+03, 20444621449, 3.27678556563555139e+04, 0.00000000000000000e+00, 234019051229, 3.27678556563555103e+04, 1.00000440503785182e+00, 152375547289, , , , 3.27678556563555139e+04, 0.00000000000000000e+00, 38067042235, 3.27678556563555139e+04, 0.00000000000000000e+00, 20464376169, 3.27678556563555139e+04, 0.00000000000000000e+00, 11612852039, 3.27678556562874073e+04, 1.87210824667136221e+04, 234804855637
3, 39162661063339, 3.27677448856611336e+04, 0.00000000000000000e+00, 10776556644467, 3.27677448856413212e+04, 5.44604240000934806e+03, 20431800473, 3.27677448856611336e+04, 0.00000000000000000e+00, 233879538093, 3.27677448856611336e+04, 0.00000000000000000e+00, 152133464013, , , , 3.27677448856611336e+04, 0.00000000000000000e+00, 38097854366, 3.27677448856611372e+04, 1.00000778553238123e+00, 20496490368, 3.27677448856611372e+04, 1.00000778553238123e+00, 11613251853, 3.27677448855828152e+04, 2.15281676069411042e+04, 234705763556
4, 193905104641114, 3.27673015321162638e+04, 0.00000000000000000e+00, 10771805147886, 3.27673015320991217e+04, 4.71210044100411960e+03, 20472060225, 3.27673015321162638e+04, 0.00000000000000000e+00, 234257781689, 3.27673015321162638e+04, 0.00000000000000000e+00, 152352571557, , , , 3.27673015321162638e+04, 0.00000000000000000e+00, 38142628941, 3.27673015321162602e+04, 1.00002131600257194e+00, 20504861472, 3.27673015321162602e+04, 1.00002131600257194e+00, 11620499561, 3.27673015320684754e+04, 1.31362800070097855e+04, 235029987943
5, 125289815541128, 3.27672554105626004e+04, 0.00000000000000000e+00, 10768124568479, 3.27672554105285817e+04, 9.35121248822160669e+03, 20408303516, 3.27672554105625968e+04, 1.00002272358267641e+00, 233865519328, 3.27672554105626041e+04, 1.00002272358267641e+00, 152113045470, , , , 3.27672554105626041e+04, 1.00002272358267641e+00, 38062907230, 3.27672554105626041e+04, 1.00002272358267641e+00, 20433262110, 3.27672554105625968e+04, 1.00002272358267641e+00, 11577638668, 3.27672554105231502e+04, 1.08442464145305421e+04, 234686120805
6, 271689591534628, 3.27688923957255247e+04, 0.00000000000000000e+00, 10767949262191, 3.27688923957051302e+04, 5.60584733172006963e+03, 20425472971, 3.27688923957255247e+04, 0.00000000000000000e+00, 233990980654, 3.27688923957255174e+04, 1.99994553397077035e+00, 152149910517, , , , 3.27688923957255247e+04, 0.00000000000000000e+00, 38147975886, 3.27688923957255247e+04, 0.00000000000000000e+00, 20506728416, 3.27688923957255174e+04, 1.99994553397077035e+00, 11652647077, 3.27688923956956351e+04, 8.21577625355192504e+03, 234878221381
7, 149243941829742, 3.27683901135785418e+04, 0.00000000000000000e+00, 10775387133891, 3.27683901135361230e+04, 1.16598611856026491e+04, 20412321150, 3.27683901135785418e+04, 0.00000000000000000e+00, 233878563621, 3.27683901135785418e+04, 0.00000000000000000e+00, 152120373674, , , , 3.27683901135785418e+04, 0.00000000000000000e+00, 38086111871, 3.27683901135785345e+04, 1.99997618964024837e+00, 20459513652, 3.27683901135785418e+04, 0.00000000000000000e+00, 11578672657, 3.27683901135498891e+04, 7.87590623480329850e+03, 234672826484
8, 153477789009873, 3.27682913147138970e+04, 0.00000000000000000e+00, 10768633976620, 3.27682913146943029e+04, 5.38595211770324022e+03, 20442308174, 3.27682913147138970e+04, 0.00000000000000000e+00, 234003961199, 3.27682913147138970e+04, 0.00000000000000000e+00, 152112239267, , , , 3.27682913147138970e+04, 0.00000000000000000e+00, 38071624133, 3.27682913147138970e+04, 0.00000000000000000e+00, 20442353810, 3.27682913147138970e+04, 0.00000000000000000e+00, 11599022993, 3.27682913146868232e+04, 7.44193383957436163e+03, 234680891330
9, 102464862945811, 3.27685603764021507e+04, 0.00000000000000000e+00, 10777655886598, 3.27685603763830877e+04, 5.23991039055992860e+03, 20417695990, 3.27685603764021507e+04, 0.00000000000000000e+00, 233874362413, 3.27685603764021507e+04, 0.00000000000000000e+00, 152137516357, , , , 3.27685603764021507e+04, 0.00000000000000000e+00, 38089951063, 3.27685603764021507e+04, 0.00000000000000000e+00, 20460391471, 3.27685603764021507e+04, 0.00000000000000000e+00, 11570195438, 3.27685603763054532e+04, 2.65795454544051354e+04, 234677078941
10, 264156136387528, 3.27671645802607491e+04, 0.00000000000000000e+00, 10772441799932, 3.27671645802444727e+04, 4.47411406748070203e+03, 20413290590, 3.27671645802607491e+04, 0.00000000000000000e+00, 233874586451, 3.27671645802607491e+04, 0.00000000000000000e+00, 152124657022, , , , 3.27671645802607454e+04, 1.00002549563717080e+00, 38070848841, 3.27671645802607491e+04, 0.00000000000000000e+00, 20449913187, 3.27671645802607491e+04, 0.00000000000000000e+00, 11577889147, 3.27671645802678613e+04, 1.95504984397066869e+03, 234702853260
