"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
1, 25944849203584, 2.31707091619655657e+04, 0.00000000000000000e+00, 452241906630, 2.31707091619718267e+04, 2.43383694498956538e+03, 1553537784, 2.31707091619655657e+04, 0.00000000000000000e+00, 13670863443, 2.31707091619655657e+04, 0.00000000000000000e+00, 15771686506, 2.31707091619655621e+04, 1.41419927076674323e+00, 10529227672, 2.31707091619655621e+04, 1.41419927076674323e+00, 3750322254, 2.31707091619655657e+04, 0.00000000000000000e+00, 2641237991, 2.31707091619655657e+04, 0.00000000000000000e+00, 1918757814, 2.31707091619411985e+04, 9.47230671559564689e+03, 17598776587
2, 153077598009512, 2.31702190967235620e+04, 0.00000000000000000e+00, 434545716035, 2.31702190967164133e+04, 2.77896034263677257e+03, 1433776426, 2.31702190967235620e+04, 0.00000000000000000e+00, 9977478747, 2.31702190967235620e+04, 0.00000000000000000e+00, 11204839794, 2.31702190967235656e+04, 1.41422918200344649e+00, 7183047130, 2.31702190967235583e+04, 1.41422918200344649e+00, 2148401379, 2.31702190967235620e+04, 0.00000000000000000e+00, 1515922563, 2.31702190967235656e+04, 1.41422918200344649e+00, 1637984077, 2.31702190966931885e+04, 1.18073994405467747e+04, 11676735807
3, 39162661063339, 2.31703214724242425e+04, 0.00000000000000000e+00, 395927369624, 2.31703214724156751e+04, 3.33049500810081236e+03, 1653052497, 2.31703214724242425e+04, 0.00000000000000000e+00, 10735966941, 2.31703214724242425e+04, 0.00000000000000000e+00, 11335630605, 2.31703214724242425e+04, 0.00000000000000000e+00, 7325594107, 2.31703214724242425e+04, 0.00000000000000000e+00, 2536430391, 2.31703214724242425e+04, 0.00000000000000000e+00, 1521022612, 2.31703214724242425e+04, 0.00000000000000000e+00, 1346304550, 2.31703214723936653e+04, 1.18865437550264651e+04, 11818410774
4, 193905104641114, 2.31701665928268303e+04, 0.00000000000000000e+00, 443084933886, 2.31701665928125403e+04, 5.55510481482026626e+03, 1232218673, 2.31701665928268303e+04, 0.00000000000000000e+00, 10186875039, 2.31701665928268267e+04, 1.41423238666503703e+00, 15242403151, 2.31701665928268303e+04, 0.00000000000000000e+00, 8094085064, 2.31701665928268303e+04, 0.00000000000000000e+00, 2793555747, 2.31701665928268267e+04, 1.41423238666503703e+00, 2020436700, 2.31701665928268303e+04, 0.00000000000000000e+00, 2245294676, 2.31701665928113653e+04, 6.01190187571307251e+03, 13137322440
5, 125289815541128, 2.31709235597022052e+04, 0.00000000000000000e+00, 440276520451, 2.31709235597002262e+04, 7.69317284832003452e+02, 1156181397, 2.31709235597022016e+04, 1.41418618535294738e+00, 9523019263, 2.31709235597022052e+04, 0.00000000000000000e+00, 12272692004, 2.31709235597022052e+04, 0.00000000000000000e+00, 7886789134, 2.31709235597022052e+04, 0.00000000000000000e+00, 2705253820, 2.31709235597022052e+04, 0.00000000000000000e+00, 2033013096, 2.31709235597022052e+04, 0.00000000000000000e+00, 1666630535, 2.31709235596947547e+04, 2.89625330760283623e+03, 13138015708
6, 271689591534628, 2.31701340543945407e+04, 0.00000000000000000e+00, 458308909394, 2.31701340543937258e+04, 3.16788499486814999e+02, 1770913080, 2.31701340543945444e+04, 1.41423437270899566e+00, 10852435860, 2.31701340543945407e+04, 0.00000000000000000e+00, 13246597110, 2.31701340543945407e+04, 0.00000000000000000e+00, 8773369774, 2.31701340543945407e+04, 0.00000000000000000e+00, 3115523168, 2.31701340543945407e+04, 0.00000000000000000e+00, 2129009486, 2.31701340543945407e+04, 0.00000000000000000e+00, 1775880264, 2.31701340543972583e+04, 1.05643307641361980e+03, 12457577219
7, 149243941829742, 2.31705235531136095e+04, 0.00000000000000000e+00, 410838717707, 2.31705235531192193e+04, 2.18071274411104605e+03, 1391346169, 2.31705235531136095e+04, 0.00000000000000000e+00, 10894126535, 2.31705235531136095e+04, 0.00000000000000000e+00, 12097882143, 2.31705235531136095e+04, 0.00000000000000000e+00, 7649064811, 2.31705235531136095e+04, 0.00000000000000000e+00, 2886418939, 2.31705235531136095e+04, 0.00000000000000000e+00, 1784578716, 2.31705235531136095e+04, 0.00000000000000000e+00, 1614094846, 2.31705235530953105e+04, 7.11347931444783444e+03, 12410338610
8, 153477789009873, 2.31705200696017091e+04, 0.00000000000000000e+00, 508189515287, 2.31705200696006323e+04, 4.18606400325252935e+02, 1351159546, 2.31705200696017091e+04, 0.00000000000000000e+00, 12495725532, 2.31705200696017091e+04, 0.00000000000000000e+00, 15198032969, 2.31705200696017055e+04, 1.41421081190963815e+00, 8977556130, 2.31705200696017091e+04, 0.00000000000000000e+00, 3116169931, 2.31705200696017091e+04, 0.00000000000000000e+00, 2140784715, 2.31705200696017091e+04, 0.00000000000000000e+00, 1775996565, 2.31705200695883032e+04, 5.21136684188701656e+03, 13328152717
9, 102464862945811, 2.31696580513467015e+04, 0.00000000000000000e+00, 507522134300, 2.31696580513405679e+04, 2.38444813805911372e+03, 1453523226, 2.31696580513466979e+04, 1.41426342708132502e+00, 12770170593, 2.31696580513467015e+04, 0.00000000000000000e+00, 14104651793, 2.31696580513467015e+04, 0.00000000000000000e+00, 8846727118, 2.31696580513466979e+04, 1.41426342708132502e+00, 3131037223, 2.31696580513467015e+04, 0.00000000000000000e+00, 1965083109, 2.31696580513466979e+04, 1.41426342708132502e+00, 1719778409, 2.31696580513241679e+04, 8.75994766734172663e+03, 13272607402
10, 264156136387528, 2.31706791574951421e+04, 0.00000000000000000e+00, 470578652625, 2.31706791574924609e+04, 1.04226621221795585e+03, 2369004413, 2.31706791574951421e+04, 0.00000000000000000e+00, 12614134278, 2.31706791574951421e+04, 0.00000000000000000e+00, 13605308534, 2.31706791574951385e+04, 1.41420110205964167e+00, 8013607877, 2.31706791574951421e+04, 0.00000000000000000e+00, 3058378033, 2.31706791574951421e+04, 0.00000000000000000e+00, 2028782396, 2.31706791574951421e+04, 0.00000000000000000e+00, 1815383914, 2.31706791574982926e+04, 1.22469815438364981e+03, 13896216197
11, 48209008984770, 2.31698819287226652e+04, 0.00000000000000000e+00, 434096546728, 2.31698819287185397e+04, 1.60375922994824418e+03, 1606468087, 2.31698819287226652e+04, 0.00000000000000000e+00, 11014889078, 2.31698819287226688e+04, 1.41424976185912188e+00, 13790586257, 2.31698819287226688e+04, 1.41424976185912188e+00, 11086049814, 2.31698819287226688e+04, 1.41424976185912188e+00, 3381425909, 2.31698819287226688e+04, 1.41424976185912188e+00, 2406847623, 2.31698819287226652e+04, 0.00000000000000000e+00, 1957932764, 2.31698819287273909e+04, 1.83711044065499937e+03, 14975047503
12, 926644888384, 2.31704923946527269e+04, 0.00000000000000000e+00, 385606304154, 2.31704923946524723e+04, 9.89948750734944554e+01, 1417647633, 2.31704923946527233e+04, 1.41421250104992069e+00, 11878616631, 2.31704923946527233e+04, 1.41421250104992069e+00, 15542773938, 2.31704923946527269e+04, 0.00000000000000000e+00, 9909767292, 2.31704923946527269e+04, 0.00000000000000000e+00, 2644416687, 2.31704923946527269e+04, 0.00000000000000000e+00, 1666628869, 2.31704923946527269e+04, 0.00000000000000000e+00, 1562039909, 2.31704923946341551e+04, 7.21955481785984557e+03, 12790539576
