"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  25944849203584, 2.31705234375000000e+04, 0.00000000000000000e+00, 341758448204, 1.24252822265625000e+04, 7.78036945320950914e+06,  954470065, 2.31705234375000000e+04, 0.00000000000000000e+00, 5443078111, 2.31705234375000000e+04, 0.00000000000000000e+00, 3921241169, 2.31705253906250000e+04, 1.41421060635026929e+00, 5997670366, 2.31705234375000000e+04, 0.00000000000000000e+00, 1020231457, 2.31705234375000000e+04, 0.00000000000000000e+00, 672721264, 2.31705234375000000e+04, 0.00000000000000000e+00, 576058874, 9.49882617187500000e+03, 9.89934555128670670e+06, 4431464544
 2, 153077598009512, 2.31708593750000000e+04, 0.00000000000000000e+00, 335643863652, 1.24272890625000000e+04, 7.77904681163773220e+06, 1112886031, 2.31708574218750000e+04, 1.41419010273545376e+00, 5650642193, 2.31708574218750000e+04, 1.41419010273545376e+00, 3884713173, 2.31708593750000000e+04, 0.00000000000000000e+00, 5817059105, 2.31708593750000000e+04, 0.00000000000000000e+00,  971598185, 2.31708613281250000e+04, 1.41419010273545376e+00, 748174465, 2.31708593750000000e+04, 0.00000000000000000e+00, 715107427, 9.50069824218750000e+03, 9.89808976733302511e+06, 6974468158
 3,  39162661063339, 2.31715449218750000e+04, 0.00000000000000000e+00, 358210941634, 1.24278388671875000e+04, 7.77891494622942619e+06,  950641561, 2.31715449218750000e+04, 0.00000000000000000e+00, 5696731937, 2.31715449218750000e+04, 0.00000000000000000e+00, 3791926432, 2.31715449218750000e+04, 0.00000000000000000e+00, 5807302544, 2.31715449218750000e+04, 0.00000000000000000e+00, 1019964454, 2.31715449218750000e+04, 0.00000000000000000e+00, 597332560, 2.31715449218750000e+04, 0.00000000000000000e+00, 546101007, 9.50299609375000000e+03, 9.89662954581467062e+06, 4691048154
 4, 193905104641114, 2.31703359375000000e+04, 0.00000000000000000e+00, 340912332575, 1.24268691406250000e+04, 7.77914759312064853e+06, 1038444472, 2.31703339843750000e+04, 1.41422205048683280e+00, 5559369069, 2.31703339843750000e+04, 1.41422205048683280e+00, 4286824401, 2.31703339843750000e+04, 1.41422205048683280e+00, 5889571697, 2.31703359375000000e+04, 0.00000000000000000e+00,  996075456, 2.31703339843750000e+04, 1.41422205048683280e+00, 663152416, 2.31703359375000000e+04, 0.00000000000000000e+00, 620308378, 9.50062109375000000e+03, 9.89799022381999157e+06, 4440366051
 5, 125289815541128, 2.31707382812500000e+04, 0.00000000000000000e+00, 332480212400, 1.24273515625000000e+04, 7.77895453153753839e+06, 1053005668, 2.31707382812500000e+04, 0.00000000000000000e+00, 5539759536, 2.31707382812500000e+04, 0.00000000000000000e+00, 4116544074, 2.31707363281250000e+04, 1.41419749350482293e+00, 6102552717, 2.31707382812500000e+04, 0.00000000000000000e+00,  998294233, 2.31707382812500000e+04, 0.00000000000000000e+00, 672621499, 2.31707382812500000e+04, 0.00000000000000000e+00, 645121814, 9.50183789062500000e+03, 9.89722863175115362e+06, 4622326228
 6, 271689591534628, 2.31704941406250000e+04, 0.00000000000000000e+00, 355942807949, 1.24262949218750000e+04, 7.77962480843050871e+06, 1525562371, 2.31704941406250000e+04, 0.00000000000000000e+00, 7286597253, 2.31704941406250000e+04, 0.00000000000000000e+00, 6193991989, 2.31704941406250000e+04, 0.00000000000000000e+00, 7433671750, 2.31704941406250000e+04, 0.00000000000000000e+00, 1445836746, 2.31704941406250000e+04, 0.00000000000000000e+00, 914627346, 2.31704941406250000e+04, 0.00000000000000000e+00, 756472452, 9.50053222656250000e+03, 9.89810154035039060e+06, 6035431660
 7, 149243941829742, 2.31716601562500000e+04, 0.00000000000000000e+00, 371042853336, 1.24290039062500000e+04, 7.77811616020040680e+06, 1224500684, 2.31716621093750000e+04, 1.41414123023729998e+00, 6265814780, 2.31716621093750000e+04, 1.41414123023729998e+00, 4851237935, 2.31716601562500000e+04, 0.00000000000000000e+00, 6644926086, 2.31716621093750000e+04, 1.41414123023729998e+00, 1172724093, 2.31716621093750000e+04, 1.41414123023729998e+00, 745608321, 2.31716621093750000e+04, 1.41414123023729998e+00, 688448985, 9.50346484375000000e+03, 9.89632436958333291e+06, 5086792475
 8, 153477789009873, 2.31699414062500000e+04, 0.00000000000000000e+00, 419544369370, 1.24260058593750000e+04, 7.77961947333096713e+06, 1192467630, 2.31699414062500000e+04, 0.00000000000000000e+00, 6638108711, 2.31699414062500000e+04, 0.00000000000000000e+00, 5646684741, 2.31699414062500000e+04, 0.00000000000000000e+00, 7304893216, 2.31699414062500000e+04, 0.00000000000000000e+00, 1389109693, 2.31699433593750000e+04, 1.41424613146241973e+00, 845241925, 2.31699414062500000e+04, 0.00000000000000000e+00, 659861750, 9.50078125000000000e+03, 9.89775711811420508e+06, 4979809367
 9, 102464862945811, 2.31699863281250000e+04, 0.00000000000000000e+00, 342139851881, 1.24261533203125000e+04, 7.77953014245850965e+06, 1269546378, 2.31699863281250000e+04, 0.00000000000000000e+00, 5456484672, 2.31699863281250000e+04, 0.00000000000000000e+00, 4141540477, 2.31699843750000000e+04, 1.41424338952778772e+00, 6272581313, 2.31699863281250000e+04, 0.00000000000000000e+00, 1042034478, 2.31699863281250000e+04, 0.00000000000000000e+00, 611409696, 2.31699863281250000e+04, 0.00000000000000000e+00, 595268827, 9.50071875000000000e+03, 9.89781571176949516e+06, 4489825876
10, 264156136387528, 2.31705058593750000e+04, 0.00000000000000000e+00, 333120608533, 1.24267382812500000e+04, 7.77930833301461954e+06, 1056175921, 2.31705058593750000e+04, 0.00000000000000000e+00, 5469704618, 2.31705058593750000e+04, 0.00000000000000000e+00, 4140417028, 2.31705058593750000e+04, 0.00000000000000000e+00, 5826117968, 2.31705058593750000e+04, 0.00000000000000000e+00, 1006232878, 2.31705058593750000e+04, 0.00000000000000000e+00, 731077944, 2.31705058593750000e+04, 0.00000000000000000e+00, 622870510, 9.50151367187500000e+03, 9.89739437817288376e+06, 4463392292
