"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
 1,  84225929407270, 1.89187402343750000e+04, 0.00000000000000000e+00, 10749119196689, 4.09600000000000000e+03, 1.31448664944479354e+07, 21076028475, 1.89187402343750000e+04, 0.00000000000000000e+00, 139567097662, 1.89187402343750000e+04, 0.00000000000000000e+00, 100451980134, , , , 1.89187402343750000e+04, 0.00000000000000000e+00, 19378921910, 1.89187402343750000e+04, 0.00000000000000000e+00, 10383992730, 1.89187402343750000e+04, 0.00000000000000000e+00, 9010952257, 4.09599951171875000e+03, 1.31448669274577387e+07, 135540372833
 2, 133283450964053, 1.89184628906250000e+04, 0.00000000000000000e+00, 10749966002860, 4.09600000000000000e+03, 1.31448132443800513e+07, 21079001154, 1.89184628906250000e+04, 0.00000000000000000e+00, 139581535174, 1.89184628906250000e+04, 0.00000000000000000e+00, 100468219590, , , , 1.89184628906250000e+04, 0.00000000000000000e+00, 19374268467, 1.89184628906250000e+04, 0.00000000000000000e+00, 10387838175, 1.89184628906250000e+04, 0.00000000000000000e+00, 9049811723, 4.09599951171875000e+03, 1.31448136773962025e+07, 135554665611
 3,  17688476434090, 1.89183144531250000e+04, 0.00000000000000000e+00, 10747412715010, 4.09600000000000000e+03, 1.31447847437022887e+07, 21111777975, 1.89183144531250000e+04, 0.00000000000000000e+00, 139776253239, 1.89183144531250000e+04, 0.00000000000000000e+00, 100604408957, , , , 1.89183125000000000e+04, 1.73207819762120807e+00, 19403940222, 1.89183144531250000e+04, 0.00000000000000000e+00, 10396132723, 1.89183125000000000e+04, 1.73207819762120807e+00, 9094439479, 4.09599951171875000e+03, 1.31447851767218374e+07, 135751006244
 4,  98101099171013, 1.89184980468750000e+04, 0.00000000000000000e+00, 10758411663410, 4.09600000000000000e+03, 1.31448199944750667e+07, 21080185742, 1.89184980468750000e+04, 0.00000000000000000e+00, 139576527302, 1.89184980468750000e+04, 0.00000000000000000e+00, 100462988262, , , , 1.89184960937500000e+04, 1.73206138874289195e+00, 19391331416, 1.89184960937500000e+04, 1.73206138874289195e+00, 10400072747, 1.89184960937500000e+04, 1.73206138874289195e+00, 8706630490, 4.09599951171875000e+03, 1.31448204274904132e+07, 135553560396
 5,  43262801938392, 1.89188613281250000e+04, 0.00000000000000000e+00, 10754263840377, 4.09600000000000000e+03, 1.31448897439879198e+07, 21118549793, 1.89188613281250000e+04, 0.00000000000000000e+00, 139795367739, 1.89188613281250000e+04, 0.00000000000000000e+00, 100628046910, , , , 1.89188613281250000e+04, 0.00000000000000000e+00, 19430031214, 1.89188613281250000e+04, 0.00000000000000000e+00, 10419050772, 1.89188613281250000e+04, 0.00000000000000000e+00, 8985299207, 4.09599951171875000e+03, 1.31448901769949533e+07, 140738920582
 6, 143838884838290, 1.89186757812500000e+04, 0.00000000000000000e+00, 10747400146636, 4.09600000000000000e+03, 1.31448541195714138e+07, 21077537973, 1.89186757812500000e+04, 0.00000000000000000e+00, 139586075276, 1.89186757812500000e+04, 0.00000000000000000e+00, 100460121728, , , , 1.89186757812500000e+04, 0.00000000000000000e+00, 19372965677, 1.89186757812500000e+04, 0.00000000000000000e+00, 10392358531, 1.89186757812500000e+04, 0.00000000000000000e+00, 9002508695, 4.09599951171875000e+03, 1.31448545525826924e+07, 135562415148
 7, 214786254272449, 1.89187773437500000e+04, 0.00000000000000000e+00, 10747378834619, 4.09600000000000000e+03, 1.31448736193385907e+07, 21079338965, 1.89187792968750000e+04, 1.73203581841535992e+00, 139593547572, 1.89187792968750000e+04, 1.73203581841535992e+00, 100466851679, , , , 1.89187773437500000e+04, 0.00000000000000000e+00, 19373049770, 1.89187773437500000e+04, 0.00000000000000000e+00, 10385041172, 1.89187773437500000e+04, 0.00000000000000000e+00, 9010696826, 4.09599951171875000e+03, 1.31448740523475464e+07, 135585023963
 8, 132582279127473, 1.89189199218750000e+04, 0.00000000000000000e+00, 10751336295443, 4.09600000000000000e+03, 1.31449009936584849e+07, 21083447179, 1.89189218750000000e+04, 1.73202276532245381e+00, 139603932691, 1.89189218750000000e+04, 1.73202276532245381e+00, 100479713080, , , , 1.89189218750000000e+04, 1.73202276532245381e+00, 19376682114, 1.89189218750000000e+04, 1.73202276532245381e+00, 10395071089, 1.89189199218750000e+04, 0.00000000000000000e+00, 9010606728, 4.09599951171875000e+03, 1.31449014266641773e+07, 135572413503
 9, 143967321166012, 1.89186210937500000e+04, 0.00000000000000000e+00, 10747448979931, 4.09600000000000000e+03, 1.31448436196100600e+07, 21076423087, 1.89186210937500000e+04, 0.00000000000000000e+00, 139582147550, 1.89186210937500000e+04, 0.00000000000000000e+00, 100454244035, , , , 1.89186210937500000e+04, 0.00000000000000000e+00, 19367901153, 1.89186191406250000e+04, 1.73205012340065911e+00, 10387235884, 1.89186210937500000e+04, 0.00000000000000000e+00, 9040599957, 4.09599951171875000e+03, 1.31448440526225921e+07, 135559991358
10,  53715765044733, 1.89187480468750000e+04, 0.00000000000000000e+00, 10745462956406, 4.09600000000000000e+03, 1.31448679944272377e+07, 21087112839, 1.89187480468750000e+04, 0.00000000000000000e+00, 139593378602, 1.89187480468750000e+04, 0.00000000000000000e+00, 100470636295, , , , 1.89187480468750000e+04, 0.00000000000000000e+00, 19371933311, 1.89187480468750000e+04, 0.00000000000000000e+00, 10393098842, 1.89187480468750000e+04, 0.00000000000000000e+00, 9217665700, 4.09599951171875000e+03, 1.31448684274368621e+07, 135575884183
11, 189489026904977, 1.89186074218750000e+04, 0.00000000000000000e+00, 10745054819152, 4.09600000000000000e+03, 1.31448409946102370e+07, 21078597322, 1.89186093750000000e+04, 1.73205137509811502e+00, 139594683428, 1.89186093750000000e+04, 1.73205137509811502e+00, 100460880190, , , , 1.89186074218750000e+04, 0.00000000000000000e+00, 19367877829, 1.89186074218750000e+04, 0.00000000000000000e+00, 10369108214, 1.89186074218750000e+04, 0.00000000000000000e+00, 9042063468, 4.09599951171875000e+03, 1.31448414276230820e+07, 135575147801
12, 261677460603461, 1.89188476562500000e+04, 0.00000000000000000e+00, 10758624299088, 4.09600000000000000e+03, 1.31448871190547626e+07, 21114221853, 1.89188476562500000e+04, 0.00000000000000000e+00, 139773753884, 1.89188476562500000e+04, 0.00000000000000000e+00, 100622754560, , , , 1.89188476562500000e+04, 0.00000000000000000e+00, 19439049763, 1.89188457031250000e+04, 1.73202938124906436e+00, 10406769693, 1.89188457031250000e+04, 1.73202938124906436e+00, 8327898535, 4.09599951171875000e+03, 1.31448875520621073e+07, 135713190250
13, 196194720220788, 1.89186210937500000e+04, 0.00000000000000000e+00, 10745765618538, 4.09600000000000000e+03, 1.31448436196100600e+07, 21078765029, 1.89186210937500000e+04, 0.00000000000000000e+00, 139579210883, 1.89186210937500000e+04, 0.00000000000000000e+00, 100450223074, , , , 1.89186210937500000e+04, 0.00000000000000000e+00, 19367497039, 1.89186210937500000e+04, 0.00000000000000000e+00, 10384009769, 1.89186210937500000e+04, 0.00000000000000000e+00, 9148086126, 4.09599951171875000e+03, 1.31448440526225921e+07, 135544102862
