"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
1, 84225929407270, 1.33775031958362306e+04, 0.00000000000000000e+00, 411878935695, 1.33775031958398595e+04, 2.44336177846502733e+03, 1365957116, 1.33775031958362306e+04, 0.00000000000000000e+00, 11731361069, 1.33775031958362306e+04, 0.00000000000000000e+00, 12489721977, 1.33775031958362306e+04, 0.00000000000000000e+00, 8109623951, 1.33775031958362288e+04, 1.22474274609775802e+00, 3023851927, 1.33775031958362288e+04, 1.22474274609775802e+00, 1853176654, 1.33775031958362306e+04, 0.00000000000000000e+00, 1721068686, 1.33775031958277850e+04, 5.68648057013189100e+03, 12494855607
2, 133283450964053, 1.33774124342671785e+04, 0.00000000000000000e+00, 366959450890, 1.33774124342644482e+04, 1.83835133444827397e+03, 1401679294, 1.33774124342671785e+04, 0.00000000000000000e+00, 9762083662, 1.33774124342671785e+04, 0.00000000000000000e+00, 11111607534, 1.33774124342671803e+04, 1.22475105559511910e+00, 7483714647, 1.33774124342671785e+04, 0.00000000000000000e+00, 2394540209, 1.33774124342671803e+04, 1.22475105559511910e+00, 1804293689, 1.33774124342671803e+04, 1.22475105559511910e+00, 1676525319, 1.33774124342688610e+04, 1.13289472642548526e+03, 11982208902
3, 17688476434090, 1.33775691645847346e+04, 0.00000000000000000e+00, 374879477867, 1.33775691645721054e+04, 8.50334695343218846e+03, 1353222501, 1.33775691645847364e+04, 1.22473670652919342e+00, 9388415801, 1.33775691645847346e+04, 0.00000000000000000e+00, 11274751679, 1.33775691645847346e+04, 0.00000000000000000e+00, 7182228030, 1.33775691645847346e+04, 0.00000000000000000e+00, 2879217913, 1.33775691645847346e+04, 0.00000000000000000e+00, 2413483399, 1.33775691645847346e+04, 0.00000000000000000e+00, 1599778065, 1.33775691645722636e+04, 8.39679485996414951e+03, 11728670858
4, 98101099171013, 1.33775270732905083e+04, 0.00000000000000000e+00, 360986949270, 1.33775270732914632e+04, 6.42988794033084332e+02, 1608179434, 1.33775270732905083e+04, 0.00000000000000000e+00, 10222884901, 1.33775270732905083e+04, 0.00000000000000000e+00, 11341720539, 1.33775270732905083e+04, 0.00000000000000000e+00, 7181121046, 1.33775270732905065e+04, 1.22474056006301768e+00, 2355071085, 1.33775270732905065e+04, 1.22474056006301768e+00, 1638686906, 1.33775270732905083e+04, 0.00000000000000000e+00, 1636787419, 1.33775270732825975e+04, 5.32639669571406466e+03, 12266361475
5, 43262801938392, 1.33776687191144647e+04, 0.00000000000000000e+00, 361479293284, 1.33776687191195488e+04, 3.42311362028041685e+03, 1386968046, 1.33776687191144629e+04, 1.22472759222912941e+00, 10229708631, 1.33776687191144629e+04, 1.22472759222912941e+00, 12066801787, 1.33776687191144629e+04, 1.22472759222912941e+00, 7657995721, 1.33776687191144629e+04, 1.22472759222912941e+00, 2777887361, 1.33776687191144647e+04, 0.00000000000000000e+00, 1976908123, 1.33776687191144647e+04, 0.00000000000000000e+00, 1731178664, 1.33776687191110905e+04, 2.27186968358503509e+03, 12408875613
6, 143838884838290, 1.33774854176959016e+04, 0.00000000000000000e+00, 396079045790, 1.33774854176952576e+04, 4.33559508300997550e+02, 1257726943, 1.33774854176959016e+04, 0.00000000000000000e+00, 10953637252, 1.33774854176959016e+04, 0.00000000000000000e+00, 11466960032, 1.33774854176959016e+04, 0.00000000000000000e+00, 7299030790, 1.33774854176958997e+04, 1.22474437373163147e+00, 2968800579, 1.33774854176959016e+04, 0.00000000000000000e+00, 1647353895, 1.33774854176959016e+04, 0.00000000000000000e+00, 1675871893, 1.33774854177072139e+04, 7.61668526023701634e+03, 11752713393
7, 214786254272449, 1.33774033175764343e+04, 0.00000000000000000e+00, 356519043371, 1.33774033175706973e+04, 3.86286746188661027e+03, 1010506712, 1.33774033175764343e+04, 0.00000000000000000e+00, 8801283673, 1.33774033175764343e+04, 0.00000000000000000e+00, 10897172650, 1.33774033175764343e+04, 0.00000000000000000e+00, 7193819399, 1.33774033175764343e+04, 0.00000000000000000e+00, 2266432438, 1.33774033175764343e+04, 0.00000000000000000e+00, 1568649667, 1.33774033175764343e+04, 0.00000000000000000e+00, 1397191250, 1.33774033175764525e+04, 1.22475189026208309e+01, 11353467943
8, 132582279127473, 1.33778744683810655e+04, 0.00000000000000000e+00, 330523020716, 1.33778744683840687e+04, 2.02199415639108452e+03, 1047024896, 1.33778744683810655e+04, 0.00000000000000000e+00, 8836218243, 1.33778744683810655e+04, 0.00000000000000000e+00, 10516273798, 1.33778744683810655e+04, 0.00000000000000000e+00, 6545562041, 1.33778744683810655e+04, 0.00000000000000000e+00, 2055475363, 1.33778744683810655e+04, 0.00000000000000000e+00, 1490525050, 1.33778744683810637e+04, 1.22470875614238905e+00, 1429366351, 1.33778744683755194e+04, 3.73413699747814462e+03, 11204719545
9, 143967321166012, 1.33775809852667262e+04, 0.00000000000000000e+00, 327691371486, 1.33775809852614857e+04, 3.52846333369133163e+03, 1233514674, 1.33775809852667280e+04, 1.22473562432882033e+00, 9549845771, 1.33775809852667280e+04, 1.22473562432882033e+00, 10687324981, 1.33775809852667280e+04, 1.22473562432882033e+00, 7401336436, 1.33775809852667280e+04, 1.22473562432882033e+00, 2209401382, 1.33775809852667280e+04, 1.22473562432882033e+00, 1499684270, 1.33775809852667280e+04, 1.22473562432882033e+00, 1452921585, 1.33775809852635175e+04, 2.16043364131603903e+03, 11117195877
10, 53715765044733, 1.33775797806093815e+04, 0.00000000000000000e+00, 325905237853, 1.33775797806025257e+04, 4.61602898377086512e+03, 1162892858, 1.33775797806093815e+04, 0.00000000000000000e+00, 8993001179, 1.33775797806093815e+04, 0.00000000000000000e+00, 10443800872, 1.33775797806093797e+04, 1.22473573461683882e+00, 6809073808, 1.33775797806093815e+04, 0.00000000000000000e+00, 2184977506, 1.33775797806093797e+04, 1.22473573461683882e+00, 1525720237, 1.33775797806093797e+04, 1.22473573461683882e+00, 1412818480, 1.33775797806148057e+04, 3.65216196062741346e+03, 11261583394
11, 189489026904977, 1.33771942565410864e+04, 0.00000000000000000e+00, 323803648280, 1.33771942565341524e+04, 4.66882716975278981e+03, 1283746561, 1.33771942565410864e+04, 0.00000000000000000e+00, 9697096103, 1.33771942565410845e+04, 1.22477103089002881e+00, 11589192974, 1.33771942565410845e+04, 1.22477103089002881e+00, 7093114879, 1.33771942565410864e+04, 0.00000000000000000e+00, 2491002961, 1.33771942565410845e+04, 1.22477103089002881e+00, 1871130782, 1.33771942565410864e+04, 0.00000000000000000e+00, 1485865140, 1.33771942565511326e+04, 6.76441040360562965e+03, 11801140104
12, 261677460603461, 1.33779126510376846e+04, 0.00000000000000000e+00, 350251886776, 1.33779126510363094e+04, 9.25877177037722049e+02, 1519143955, 1.33779126510376827e+04, 1.22470526063190754e+00, 12757605031, 1.33779126510376809e+04, 2.44941052126381509e+00, 13664373175, 1.33779126510376827e+04, 1.22470526063190754e+00, 8185819051, 1.33779126510376846e+04, 0.00000000000000000e+00, 2673381053, 1.33779126510376846e+04, 0.00000000000000000e+00, 1799240388, 1.33779126510376846e+04, 0.00000000000000000e+00, 1543882814, 1.33779126510411515e+04, 2.33428822676441587e+03, 12203959195
13, 196194720220788, 1.33773710799088203e+04, 0.00000000000000000e+00, 350299372832, 1.33773710799067230e+04, 1.41214233253734028e+03, 1449245438, 1.33773710799088203e+04, 0.00000000000000000e+00, 10028074312, 1.33773710799088203e+04, 0.00000000000000000e+00, 11603066534, 1.33773710799088203e+04, 0.00000000000000000e+00, 7302770754, 1.33773710799088221e+04, 1.22475484174964455e+00, 2282329290, 1.33773710799088203e+04, 0.00000000000000000e+00, 1609524409, 1.33773710799088203e+04, 0.00000000000000000e+00, 1465222618, 1.33773710798951470e+04, 9.20648214543207905e+03, 11580926480
14, 11625128473918, 1.33776440417344002e+04, 0.00000000000000000e+00, 335723632979, 1.33776440417308550e+04, 2.38699848047833029e+03, 1053981777, 1.33776440417344020e+04, 1.22472985145116997e+00, 9762489544, 1.33776440417344020e+04, 1.22472985145116997e+00, 10708314094, 1.33776440417343983e+04, 1.22472985145116997e+00, 6620382248, 1.33776440417344002e+04, 0.00000000000000000e+00, 2163920029, 1.33776440417344002e+04, 0.00000000000000000e+00, 1507450234, 1.33776440417344020e+04, 1.22472985145116997e+00, 1399356314, 1.33776440417328704e+04, 1.02999780507043397e+03, 11358908813
15, 102881259758035, 1.33774211419628919e+04, 0.00000000000000000e+00, 323111373353, 1.33774211419561489e+04, 4.54014920779328713e+03, 1268805998, 1.33774211419628919e+04, 0.00000000000000000e+00, 8623011920, 1.33774211419628919e+04, 0.00000000000000000e+00, 10681366709, 1.33774211419628919e+04, 0.00000000000000000e+00, 6635047075, 1.33774211419628919e+04, 0.00000000000000000e+00, 2482521161, 1.33774211419628919e+04, 0.00000000000000000e+00, 2535558765, 1.33774211419628919e+04, 0.00000000000000000e+00, 1750696955, 1.33774211419623225e+04, 3.83346830871135410e+02, 11237320163
16, 22363808349355, 1.33773482857117633e+04, 0.00000000000000000e+00, 332824572707, 1.33773482857111921e+04, 3.84573675598689420e+02, 1240807270, 1.33773482857117651e+04, 1.22475692865824670e+00, 9350318312, 1.33773482857117633e+04, 0.00000000000000000e+00, 10305471826, 1.33773482857117669e+04, 2.44951385731649340e+00, 6737299156, 1.33773482857117651e+04, 1.22475692865824670e+00, 2436366317, 1.33773482857117651e+04, 1.22475692865824670e+00, 1602899210, 1.33773482857117633e+04, 0.00000000000000000e+00, 1470521142, 1.33773482857202507e+04, 5.71471582911937912e+03, 11260770631
17, 107432400246448, 1.33772046048266329e+04, 0.00000000000000000e+00, 332353050319, 1.33772046048176198e+04, 6.06873576342761771e+03, 1331775172, 1.33772046048266329e+04, 0.00000000000000000e+00, 9007744647, 1.33772046048266329e+04, 0.00000000000000000e+00, 10682302375, 1.33772046048266347e+04, 1.22477008343645166e+00, 7065594656, 1.33772046048266329e+04, 0.00000000000000000e+00, 2211827545, 1.33772046048266347e+04, 1.22477008343645166e+00, 1436714302, 1.33772046048266329e+04, 0.00000000000000000e+00, 1465315551, 1.33772046048042848e+04, 1.50475252451002452e+04, 11329279336
18, 223413620295979, 1.33775075331608641e+04, 0.00000000000000000e+00, 341318003350, 1.33775075331618427e+04, 6.58911383764870152e+02, 1364594657, 1.33775075331608641e+04, 0.00000000000000000e+00, 9815699784, 1.33775075331608641e+04, 0.00000000000000000e+00, 11679988405, 1.33775075331608641e+04, 0.00000000000000000e+00, 8258010785, 1.33775075331608641e+04, 0.00000000000000000e+00, 2769711828, 1.33775075331608641e+04, 0.00000000000000000e+00, 1647976886, 1.33775075331608659e+04, 1.22474234900533485e+00, 1764365298, 1.33775075331510434e+04, 6.61238394227980280e+03, 12105193402
19, 38718330254922, 1.33776655934789578e+04, 0.00000000000000000e+00, 357987960441, 1.33776655934803202e+04, 9.17321180907817734e+02, 1556828688, 1.33776655934789578e+04, 0.00000000000000000e+00, 9114408903, 1.33776655934789596e+04, 1.22472787838159913e+00, 10764960365, 1.33776655934789560e+04, 1.22472787838159913e+00, 6875391438, 1.33776655934789578e+04, 0.00000000000000000e+00, 2112293521, 1.33776655934789578e+04, 0.00000000000000000e+00, 1546670470, 1.33776655934789596e+04, 1.22472787838159913e+00, 1413364489, 1.33776655934619430e+04, 1.14561045743814775e+04, 11222872989
20, 69349230660948, 1.33777913968014855e+04, 0.00000000000000000e+00, 352971525221, 1.33777913967979548e+04, 2.37717445703357498e+03, 1579606879, 1.33777913968014855e+04, 0.00000000000000000e+00, 10147077062, 1.33777913968014855e+04, 0.00000000000000000e+00, 11518790534, 1.33777913968014836e+04, 1.22471636117134208e+00, 7353169754, 1.33777913968014855e+04, 0.00000000000000000e+00, 2494737650, 1.33777913968014855e+04, 0.00000000000000000e+00, 1733547091, 1.33777913968014855e+04, 0.00000000000000000e+00, 1522063005, 1.33777913967872137e+04, 9.60912456975034911e+03, 12154555431
21, 74576340801069, 1.33769550351033977e+04, 0.00000000000000000e+00, 362975701030, 1.33769550351019097e+04, 1.00188061967993360e+03, 1785752360, 1.33769550351033977e+04, 0.00000000000000000e+00, 9531240469, 1.33769550351033995e+04, 1.22479293359405084e+00, 11858581314, 1.33769550351033995e+04, 1.22479293359405084e+00, 9315441663, 1.33769550351033977e+04, 0.00000000000000000e+00, 3090738546, 1.33769550351033995e+04, 1.22479293359405084e+00, 1726085068, 1.33769550351033995e+04, 1.22479293359405084e+00, 1552009204, 1.33769550350915742e+04, 7.96115406836133025e+03, 12114974615
22, 131770223446223, 1.33775850393754226e+04, 0.00000000000000000e+00, 394515796752, 1.33775850393786095e+04, 2.14573616355349122e+03, 1702943493, 1.33775850393754226e+04, 0.00000000000000000e+00, 10893917335, 1.33775850393754226e+04, 0.00000000000000000e+00, 11963104649, 1.33775850393754208e+04, 1.22473525316980103e+00, 7776452425, 1.33775850393754226e+04, 0.00000000000000000e+00, 2881784640, 1.33775850393754226e+04, 0.00000000000000000e+00, 1819620170, 1.33775850393754226e+04, 0.00000000000000000e+00, 1543489354, 1.33775850393692235e+04, 4.17389774280268193e+03, 11881774641
23, 148678105992986, 1.33774603793233746e+04, 0.00000000000000000e+00, 421273261467, 1.33774603793248461e+04, 9.90820052847012334e+02, 1407593062, 1.33774603793233746e+04, 0.00000000000000000e+00, 12008813865, 1.33774603793233746e+04, 0.00000000000000000e+00, 12351755837, 1.33774603793233764e+04, 1.22474666606552818e+00, 7740898667, 1.33774603793233746e+04, 0.00000000000000000e+00, 2936319897, 1.33774603793233764e+04, 1.22474666606552818e+00, 1978652958, 1.33774603793233746e+04, 0.00000000000000000e+00, 1590026548, 1.33774603793133138e+04, 6.77407381000843634e+03, 12808910469
24, 176742582567176, 1.33775925037958805e+04, 0.00000000000000000e+00, 425468931376, 1.33775925037979632e+04, 1.40232108241277024e+03, 1710980315, 1.33775925037958787e+04, 1.22473456979281248e+00, 11318491454, 1.33775925037958805e+04, 0.00000000000000000e+00, 12906251813, 1.33775925037958787e+04, 1.22473456979281248e+00, 7989159312, 1.33775925037958787e+04, 1.22473456979281248e+00, 2596189316, 1.33775925037958805e+04, 0.00000000000000000e+00, 1682083321, 1.33775925037958805e+04, 0.00000000000000000e+00, 1489223250, 1.33775925037718607e+04, 1.61726199941140876e+04, 12219508868
25, 114328562737265, 1.33774629100385409e+04, 0.00000000000000000e+00, 458543929828, 1.33774629100342336e+04, 2.90019955659052721e+03, 1399296456, 1.33774629100385428e+04, 1.22474643437099973e+00, 12126113812, 1.33774629100385409e+04, 0.00000000000000000e+00, 13493270515, 1.33774629100385409e+04, 0.00000000000000000e+00, 8520371330, 1.33774629100385446e+04, 2.44949286874199945e+00, 2785151513, 1.33774629100385409e+04, 0.00000000000000000e+00, 1917590803, 1.33774629100385409e+04, 0.00000000000000000e+00, 1627557137, 1.33774629100280636e+04, 7.05453946197695768e+03, 12486138093
