"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
1, 84225929407270, 1.33775029296875000e+04, 0.00000000000000000e+00, 475706584138, 4.09600000000000000e+03, 1.16402724988704287e+07, 1558355833, 1.33775029296875000e+04, 0.00000000000000000e+00, 9016846878, 1.33775029296875000e+04, 0.00000000000000000e+00, 6565631828, 1.33775029296875000e+04, 0.00000000000000000e+00, 7606403849, 1.33775029296875000e+04, 0.00000000000000000e+00, 1534616971, 1.33775029296875000e+04, 0.00000000000000000e+00, 1092134663, 1.33775029296875000e+04, 0.00000000000000000e+00, 774462745, 4.09599902343750000e+03, 1.16402737236131988e+07, 6420822133
2, 133283450964053, 1.33774121093750000e+04, 0.00000000000000000e+00, 503626722966, 4.09600000000000000e+03, 1.16402376237533092e+07, 1287154376, 1.33774121093750000e+04, 0.00000000000000000e+00, 8948458274, 1.33774121093750000e+04, 0.00000000000000000e+00, 6755823960, 1.33774111328125000e+04, 1.22475108534018773e+00, 7642314054, 1.33774121093750000e+04, 0.00000000000000000e+00, 1302484970, 1.33774121093750000e+04, 0.00000000000000000e+00, 861086552, 1.33774121093750000e+04, 0.00000000000000000e+00, 768177875, 4.09599902343750000e+03, 1.16402388485043943e+07, 6168348022
3, 17688476434090, 1.33775683593750000e+04, 0.00000000000000000e+00, 480744491042, 4.09600000000000000e+03, 1.16402976236613449e+07, 1220535434, 1.33775683593750000e+04, 0.00000000000000000e+00, 6406258734, 1.33775683593750000e+04, 0.00000000000000000e+00, 5739939226, 1.33775683593750000e+04, 0.00000000000000000e+00, 7150266955, 1.33775683593750000e+04, 0.00000000000000000e+00, 1232278332, 1.33775683593750000e+04, 0.00000000000000000e+00, 855966201, 1.33775683593750000e+04, 0.00000000000000000e+00, 658497933, 4.09599951171875000e+03, 1.16402982360297348e+07, 4419126549
4, 98101099171013, 1.33775263671875000e+04, 0.00000000000000000e+00, 457506545172, 4.09600000000000000e+03, 1.16402814988237843e+07, 1252511033, 1.33775263671875000e+04, 0.00000000000000000e+00, 11294157115, 1.33775263671875000e+04, 0.00000000000000000e+00, 6755763209, 1.33775263671875000e+04, 0.00000000000000000e+00, 7535134956, 1.33775263671875000e+04, 0.00000000000000000e+00, 1481152078, 1.33775263671875000e+04, 0.00000000000000000e+00, 914115702, 1.33775263671875000e+04, 0.00000000000000000e+00, 830764913, 4.09599951171875000e+03, 1.16402821111940965e+07, 5862620520
5, 43262801938392, 1.33776679687500000e+04, 0.00000000000000000e+00, 432427430458, 4.09600000000000000e+03, 1.16403358728711531e+07, 1014547066, 1.33776689453125000e+04, 1.22472766092511343e+00, 6572585404, 1.33776689453125000e+04, 1.22472766092511343e+00, 4491461038, 1.33776679687500000e+04, 0.00000000000000000e+00, 6377591978, 1.33776679687500000e+04, 0.00000000000000000e+00, 1123344298, 1.33776679687500000e+04, 0.00000000000000000e+00, 672675149, 1.33776689453125000e+04, 1.22472766092511343e+00, 593566940, 4.09599951171875000e+03, 1.16403364852349833e+07, 5090577919
6, 143838884838290, 1.33774853515625000e+04, 0.00000000000000000e+00, 404439012154, 4.09600000000000000e+03, 1.16402657488847170e+07, 1032982415, 1.33774853515625000e+04, 0.00000000000000000e+00, 7524335006, 1.33774853515625000e+04, 0.00000000000000000e+00, 6008145587, 1.33774853515625000e+04, 0.00000000000000000e+00, 7222620466, 1.33774843750000000e+04, 1.22474437978632045e+00, 1257518630, 1.33774853515625000e+04, 0.00000000000000000e+00, 818928070, 1.33774853515625000e+04, 0.00000000000000000e+00, 731374082, 4.09599902343750000e+03, 1.16402669736290965e+07, 5676136801
7, 214786254272449, 1.33774033203125000e+04, 0.00000000000000000e+00, 386569503665, 4.09600000000000000e+03, 1.16402342487168442e+07, 957543382, 1.33774033203125000e+04, 0.00000000000000000e+00, 7005681364, 1.33774033203125000e+04, 0.00000000000000000e+00, 4744119935, 1.33774023437500000e+04, 1.22475189001158591e+00, 6056206431, 1.33774023437500000e+04, 1.22475189001158591e+00, 1095114208, 1.33774023437500000e+04, 1.22475189001158591e+00, 753376584, 1.33774023437500000e+04, 1.22475189001158591e+00, 587852967, 4.09599951171875000e+03, 1.16402348610927891e+07, 4783022314
8, 132582279127473, 1.33778740234375000e+04, 0.00000000000000000e+00, 403350474163, 4.09600000000000000e+03, 1.16404149944286942e+07, 1158801947, 1.33778750000000000e+04, 1.22470879687578815e+00, 6775025669, 1.33778750000000000e+04, 1.22470879687578815e+00, 5149273050, 1.33778740234375000e+04, 0.00000000000000000e+00, 6417991742, 1.33778750000000000e+04, 1.22470879687578815e+00, 1306971039, 1.33778740234375000e+04, 0.00000000000000000e+00, 740002725, 1.33778740234375000e+04, 0.00000000000000000e+00, 791265704, 4.09599877929687500e+03, 1.16404165253146905e+07, 7551789493
9, 143967321166012, 1.33775810546875000e+04, 0.00000000000000000e+00, 453006724491, 4.09600000000000000e+03, 1.16403024985923059e+07, 1101531250, 1.33775800781250000e+04, 1.22473561797325470e+00, 6852864858, 1.33775800781250000e+04, 1.22473561797325470e+00, 6532082910, 1.33775800781250000e+04, 1.22473561797325470e+00, 7561652469, 1.33775810546875000e+04, 0.00000000000000000e+00, 1257035696, 1.33775800781250000e+04, 1.22473561797325470e+00, 892519036, 1.33775800781250000e+04, 1.22473561797325470e+00, 713837213, 4.09599829101562500e+03, 1.16403046418796368e+07, 5798684375
10, 53715765044733, 1.33775791015625000e+04, 0.00000000000000000e+00, 483074440784, 4.09600000000000000e+03, 1.16403017486035302e+07, 1264021775, 1.33775791015625000e+04, 0.00000000000000000e+00, 7505349272, 1.33775791015625000e+04, 0.00000000000000000e+00, 6666084864, 1.33775791015625000e+04, 0.00000000000000000e+00, 8429759440, 1.33775800781250000e+04, 1.22473579678451316e+00, 1770046796, 1.33775800781250000e+04, 1.22473579678451316e+00, 954351750, 1.33775791015625000e+04, 0.00000000000000000e+00, 815405776, 4.09599926757812500e+03, 1.16403026671553776e+07, 7246039125
